dailyViewcount,numShare,numSubscriber,watchTime,date
475334,6730,375,1257683.03333,2016-09-22
687296,7141,402,1809123.0,2016-09-23
684624,5315,376,1723144.3,2016-09-24
750864,5871,483,1933301.21667,2016-09-25
615664,4732,328,1729505.13333,2016-09-26
575951,4413,283,1639049.76667,2016-09-27
573101,4164,297,1630506.78333,2016-09-28
578479,3835,205,1710137.48333,2016-09-29
665672,4214,206,1985053.0,2016-09-30
666668,3932,222,1961077.31667,2016-10-01
611936,3821,222,1790270.1,2016-10-02
606961,3668,196,1866688.25,2016-10-03
593814,3519,212,1831726.66667,2016-10-04
607327,3579,212,1852831.78333,2016-10-05
623658,3621,209,1918776.61667,2016-10-06
663259,3521,186,2079925.38333,2016-10-07
656551,3437,153,2053152.35,2016-10-08
577488,3370,172,1800035.1,2016-10-09
595759,3403,160,1904526.66667,2016-10-10
645865,3971,196,2073325.41667,2016-10-11
672320,3659,223,2167379.58333,2016-10-12
671405,3514,204,2193542.03333,2016-10-13
747722,3486,175,2409971.45,2016-10-14
828521,3912,205,2645628.33333,2016-10-15
732022,3872,169,2331356.9,2016-10-16
744206,3948,183,2422978.6,2016-10-17
752030,3795,199,2452746.81667,2016-10-18
785173,4028,215,2566235.85,2016-10-19
843453,4221,200,2766906.45,2016-10-20
950919,4220,242,3100597.68333,2016-10-21
931928,3850,202,3002682.93333,2016-10-22
815234,3844,180,2627840.73333,2016-10-23
877124,4285,233,2870970.01667,2016-10-24
913429,4302,246,2955827.21667,2016-10-25
944554,4347,234,3068921.78333,2016-10-26
1034982,4830,291,3365641.83333,2016-10-27
1155443,4858,240,3749572.15,2016-10-28
1207084,4958,273,3874408.16667,2016-10-29
993158,4783,253,3166812.1,2016-10-30
1028219,4360,233,3386732.33333,2016-10-31
1081498,5203,286,3475148.38333,2016-11-01
1231169,6498,370,3919409.15,2016-11-02
1470544,9111,398,4716906.06667,2016-11-03
1796630,11086,459,5838531.5,2016-11-04
2158967,13069,458,6835392.5,2016-11-05
2299597,17698,638,7194955.23333,2016-11-06
2614511,20977,748,8457444.08333,2016-11-07
2695875,21327,819,8696756.68333,2016-11-08
2647297,20173,810,8474141.38333,2016-11-09
3132511,24140,1059,9930242.98333,2016-11-10
3742969,27133,1139,11559857.7667,2016-11-11
3845259,28494,1167,11775346.9333,2016-11-12
3373358,29119,1207,10228037.8333,2016-11-13
3570052,29389,1299,11004370.05,2016-11-14
3842196,33879,1419,11712701.9,2016-11-15
4285720,43401,1688,13013065.9667,2016-11-16
4605372,47409,1805,13820314.95,2016-11-17
5127293,48078,1850,15238138.3833,2016-11-18
5457747,47978,1812,15924357.0333,2016-11-19
4816860,50980,1934,13864024.2,2016-11-20
4692618,47221,1830,13818604.0833,2016-11-21
4813710,46258,1828,14107865.2167,2016-11-22
5325516,50221,1969,15514717.8167,2016-11-23
5530131,53671,1941,15710350.4667,2016-11-24
5372749,53290,2047,15182121.6333,2016-11-25
5477632,52846,1991,15332215.6167,2016-11-26
4650926,50508,1784,13022697.8167,2016-11-27
4664399,45027,1933,13210582.3,2016-11-28
4849120,42628,1937,13612438.5833,2016-11-29
4969658,43483,2010,13847435.5833,2016-11-30
5055264,44228,1987,14070559.95,2016-12-01
5666193,45824,2156,15794847.3167,2016-12-02
5852734,44283,1856,16312045.1833,2016-12-03
4754477,42817,1634,13336260.7333,2016-12-04
4380875,37303,1550,12607997.6833,2016-12-05
4312880,36052,1616,12345636.9333,2016-12-06
4500755,36229,1659,12930300.2667,2016-12-07
4502440,35459,1466,12892696.7333,2016-12-08
5010844,35804,1517,14297973.55,2016-12-09
5312304,37506,1514,15037492.1667,2016-12-10
4205862,34443,1293,11848713.8,2016-12-11
3843937,29934,1305,11110725.5667,2016-12-12
3862569,29057,1192,11187907.4,2016-12-13
3910963,29536,1292,11339715.5333,2016-12-14
4058977,30211,1294,11699438.4,2016-12-15
4491948,32445,1384,12740845.9833,2016-12-16
4700243,33159,1288,13218272.5,2016-12-17
3857748,29964,1134,10790024.65,2016-12-18
3803409,27549,1290,10884189.1333,2016-12-19
3868773,28317,1207,11052234.1833,2016-12-20
3939227,29170,1152,11198991.75,2016-12-21
4140125,29513,1243,11727776.8833,2016-12-22
4364412,28907,1155,12410367.7833,2016-12-23
4478702,31104,1036,12592126.2,2016-12-24
4206793,32097,990,11457747.7,2016-12-25
3990423,28777,1007,11068435.6167,2016-12-26
4043324,27043,1104,11286430.9,2016-12-27
3806661,26228,1065,10676070.5333,2016-12-28
3817706,26417,1077,10699505.3333,2016-12-29
4175875,27446,1043,11801159.8833,2016-12-30
5475987,31266,955,15708694.25,2016-12-31
3316845,26350,855,9047383.0,2017-01-01
3300292,25192,968,9225881.95,2017-01-02
3204434,22570,935,9062545.53333,2017-01-03
3366730,22583,1004,9590814.03333,2017-01-04
3387570,22275,668,9625903.7,2017-01-05
3571477,23597,764,10040592.75,2017-01-06
3695363,23926,729,10215490.8333,2017-01-07
2998698,22688,657,8247475.7,2017-01-08
2789562,19555,641,7872106.58333,2017-01-09
2809020,19157,622,7959663.81667,2017-01-10
2876464,19396,693,8149742.08333,2017-01-11
2850089,18540,609,8091988.41667,2017-01-12
3216867,19646,660,9056356.71667,2017-01-13
3550344,21572,709,9832582.38333,2017-01-14
2866803,19874,575,7906290.23333,2017-01-15
2652467,17445,551,7496357.6,2017-01-16
2601306,17228,0,7401061.31667,2017-01-17
2493250,16576,0,7062277.7,2017-01-18
2514166,16523,0,7088829.13333,2017-01-19
2735748,16944,0,7628950.35,2017-01-20
3039956,18206,0,8420155.23333,2017-01-21
2501188,16978,0,6896408.46667,2017-01-22
2305545,14530,0,6565804.4,2017-01-23
2328603,14137,0,6639859.46667,2017-01-24
2267055,13973,0,6489814.71667,2017-01-25
2195308,13682,0,6260264.86667,2017-01-26
2533142,14419,0,7191783.71667,2017-01-27
2814352,16716,868,7708244.56667,2017-01-28
2212891,15255,668,6062215.16667,2017-01-29
2200477,13626,677,6247249.13333,2017-01-30
2092575,13047,585,6013944.43333,2017-01-31
2152620,12894,588,6182741.15,2017-02-01
2247190,12792,606,6478539.08333,2017-02-02
2618036,13433,634,7532794.95,2017-02-03
2907258,14749,654,8208913.55,2017-02-04
2367023,13345,594,6658668.1,2017-02-05
1947579,11335,569,5592790.9,2017-02-06
1944212,10944,542,5599833.46667,2017-02-07
1947242,11209,495,5594712.03333,2017-02-08
1923591,10904,510,5468600.46667,2017-02-09
2108257,11886,594,5967730.35,2017-02-10
2205213,12600,585,6157230.35,2017-02-11
1670804,11874,486,4637128.53333,2017-02-12
1575194,9593,420,4518392.03333,2017-02-13
1580409,8956,402,4561268.96667,2017-02-14
1590209,9522,467,4540691.96667,2017-02-15
1756113,10236,506,4950923.81667,2017-02-16
2085676,10904,575,5814401.8,2017-02-17
2259402,12103,579,6242157.6,2017-02-18
1835240,11313,450,5069619.85,2017-02-19
1647103,9722,454,4672196.48333,2017-02-20
1543093,9604,390,4371833.45,2017-02-21
1723043,9627,501,4845353.06667,2017-02-22
1648740,9290,478,4651970.66667,2017-02-23
1916871,9873,474,5372436.93333,2017-02-24
1914118,10183,462,5309482.21667,2017-02-25
1512818,8998,393,4223115.95,2017-02-26
1434272,7893,380,4136417.13333,2017-02-27
1437445,8184,386,4134471.05,2017-02-28
1469651,8237,391,4222844.76667,2017-03-01
1583240,8353,421,4572370.96667,2017-03-02
1865491,8741,432,5341007.48333,2017-03-03
1995991,9515,470,5623878.76667,2017-03-04
1587276,9082,422,4452605.16667,2017-03-05
1429919,7615,355,4115844.75,2017-03-06
1406513,7525,337,4043788.35,2017-03-07
1419764,7267,370,4087783.05,2017-03-08
1448999,7701,382,4158371.43333,2017-03-09
1529694,7838,404,4349450.28333,2017-03-10
1600415,8280,446,4474977.25,2017-03-11
1182524,7826,341,3283778.2,2017-03-12
1066033,6644,325,3049805.61667,2017-03-13
1090155,6661,315,3136453.81667,2017-03-14
1096054,6877,291,3145212.71667,2017-03-15
1064571,6683,283,3057987.38333,2017-03-16
1228157,7048,304,3524177.7,2017-03-17
1368412,7840,302,3892230.61667,2017-03-18
1174978,7183,244,3347402.05,2017-03-19
1088772,6244,269,3180499.28333,2017-03-20
1097286,6235,281,3221536.45,2017-03-21
1060983,6301,286,3106365.25,2017-03-22
1054160,6080,271,3085559.48333,2017-03-23
1173245,6161,276,3404596.85,2017-03-24
1266964,6793,317,3593512.06667,2017-03-25
1010465,6320,209,2858270.7,2017-03-26
913995,5486,243,2658648.7,2017-03-27
940344,5521,235,2737440.08333,2017-03-28
995356,5825,235,2907273.91667,2017-03-29
1002636,5667,257,2928456.35,2017-03-30
1171555,6195,293,3363452.78333,2017-03-31
1209380,6395,255,3405054.25,2017-04-01
983446,6040,210,2759538.9,2017-04-02
925390,5256,206,2646651.85,2017-04-03
937358,5571,234,2665825.58333,2017-04-04
961132,5493,223,2709938.21667,2017-04-05
992635,5712,259,2790560.15,2017-04-06
1117838,5919,259,3162018.35,2017-04-07
1152115,5969,259,3214754.96667,2017-04-08
943223,5697,235,2612674.6,2017-04-09
878404,5366,239,2477924.41667,2017-04-10
903515,5314,226,2550430.13333,2017-04-11
908490,5508,230,2537131.58333,2017-04-12
940653,5596,244,2600654.25,2017-04-13
991854,5482,211,2736900.55,2017-04-14
973871,5270,227,2672915.8,2017-04-15
833792,4911,203,2302039.36667,2017-04-16
817432,4986,194,2277336.21667,2017-04-17
786743,5035,193,2208933.38333,2017-04-18
772954,4826,205,2151217.05,2017-04-19
830692,5181,224,2317988.38333,2017-04-20
911579,5468,228,2518485.96667,2017-04-21
938763,5800,243,2562760.71667,2017-04-22
773988,5519,211,2111795.58333,2017-04-23
714446,4805,229,1993393.31667,2017-04-24
753696,4895,207,2128553.03333,2017-04-25
751629,4872,187,2120671.51667,2017-04-26
770226,4860,220,2140251.01667,2017-04-27
856426,5144,213,2372275.68333,2017-04-28
930394,5243,231,2532483.56667,2017-04-29
770634,4770,183,2077591.15,2017-04-30
719056,4809,192,1965218.81667,2017-05-01
668341,4138,178,1877405.8,2017-05-02
666731,4337,159,1855797.81667,2017-05-03
688200,4557,215,1906784.83333,2017-05-04
836547,4613,216,2366812.6,2017-05-05
938258,4856,216,2646924.5,2017-05-06
759257,4530,180,2144811.2,2017-05-07
679057,4132,223,1954887.21667,2017-05-08
664624,3923,171,1921768.41667,2017-05-09
662772,4083,182,1906203.25,2017-05-10
664916,4097,184,1912569.88333,2017-05-11
782184,4480,197,2208602.38333,2017-05-12
837274,4560,189,2331781.25,2017-05-13
696968,4375,156,1939912.61667,2017-05-14
605005,3933,164,1733895.38333,2017-05-15
618123,3796,150,1772932.06667,2017-05-16
602998,3872,161,1722300.4,2017-05-17
603568,3845,162,1701968.13333,2017-05-18
676355,3958,150,1913504.55,2017-05-19
763427,4197,176,2151652.66667,2017-05-20
589748,3980,163,1651961.93333,2017-05-21
