dailyViewcount,numShare,numSubscriber,watchTime,date
22162,49,29,82681.05,2013-07-15
11234,48,38,39800.3666667,2013-07-16
18531,58,37,62272.4333333,2013-07-17
21874,65,37,79014.6166667,2013-07-18
26529,77,38,102135.233333,2013-07-19
35649,82,39,134930.3,2013-07-20
33879,76,30,126768.333333,2013-07-21
39986,94,52,151900.033333,2013-07-22
48492,107,47,180238.1,2013-07-23
81063,131,89,264590.733333,2013-07-24
120323,225,176,375144.55,2013-07-25
77438,148,71,288897.683333,2013-07-26
71981,142,42,267416.75,2013-07-27
71969,142,75,263238.616667,2013-07-28
73837,158,72,275706.916667,2013-07-29
82951,172,56,305936.516667,2013-07-30
87253,167,73,320492.65,2013-07-31
82960,186,59,312092.483333,2013-08-01
103278,177,60,385781.616667,2013-08-02
107617,193,85,385342.433333,2013-08-03
98215,143,82,351692.55,2013-08-04
95349,166,56,347728.516667,2013-08-05
119084,203,114,423486.15,2013-08-06
123193,235,75,445077.833333,2013-08-07
135292,239,86,477972.1,2013-08-08
134511,201,72,483573.533333,2013-08-09
121586,174,79,439879.7,2013-08-10
122944,192,92,432943.716667,2013-08-11
144941,291,101,507310.25,2013-08-12
140618,235,88,497245.233333,2013-08-13
132265,224,77,490817.066667,2013-08-14
125203,203,72,454950.066667,2013-08-15
145283,203,93,524505.933333,2013-08-16
145424,190,78,518499.933333,2013-08-17
148904,233,86,515696.55,2013-08-18
141348,250,87,500170.8,2013-08-19
146598,230,85,520849.883333,2013-08-20
151601,235,84,538509.583333,2013-08-21
159033,234,88,560027.866667,2013-08-22
174999,248,105,623174.616667,2013-08-23
179390,211,87,631926.3,2013-08-24
147439,212,77,518715.266667,2013-08-25
135953,165,77,491005.283333,2013-08-26
142776,178,90,511965.283333,2013-08-27
147725,214,83,526452.2,2013-08-28
157462,185,84,566587.7,2013-08-29
176050,232,82,638154.783333,2013-08-30
176754,192,100,625631.666667,2013-08-31
173882,199,94,600616.566667,2013-09-01
154375,200,87,540807.733333,2013-09-02
144197,196,73,519129.166667,2013-09-03
145776,165,95,521845.25,2013-09-04
137578,205,61,492434.083333,2013-09-05
158146,193,73,555349.933333,2013-09-06
170703,184,89,584691.133333,2013-09-07
147381,191,89,494172.866667,2013-09-08
131196,181,73,462151.983333,2013-09-09
145683,180,66,512973.2,2013-09-10
145627,190,79,521204.916667,2013-09-11
153397,173,75,537600.033333,2013-09-12
181607,195,66,641445.016667,2013-09-13
188151,168,79,656728.75,2013-09-14
158620,155,78,546636.366667,2013-09-15
146554,171,68,523976.783333,2013-09-16
140022,165,73,505283.85,2013-09-17
137802,162,67,490113.183333,2013-09-18
140401,169,77,506516.183333,2013-09-19
170774,203,61,603856.85,2013-09-20
205503,195,93,702972.05,2013-09-21
168828,164,78,574840.933333,2013-09-22
158242,193,83,559598.566667,2013-09-23
152840,163,97,541963.3,2013-09-24
160864,190,79,558456.35,2013-09-25
162593,171,68,567995.233333,2013-09-26
188323,191,96,655777.416667,2013-09-27
206371,193,84,704417.25,2013-09-28
164436,153,86,558080.816667,2013-09-29
149074,174,82,518900.583333,2013-09-30
154333,180,73,537948.733333,2013-10-01
159612,143,81,554225.616667,2013-10-02
158689,178,76,547884.6,2013-10-03
178882,161,96,609028.616667,2013-10-04
207060,170,102,685065.316667,2013-10-05
170598,166,88,561420.9,2013-10-06
160691,169,94,542734.016667,2013-10-07
160546,170,101,541118.183333,2013-10-08
163403,170,87,551822.816667,2013-10-09
169219,177,86,562928.75,2013-10-10
188749,164,84,632490.25,2013-10-11
195968,177,120,649516.75,2013-10-12
165731,153,100,540863.45,2013-10-13
162420,150,98,529815.6,2013-10-14
156334,165,89,511842.3,2013-10-15
166622,195,128,554798.783333,2013-10-16
188097,192,115,617994.1,2013-10-17
212497,243,142,702673.8,2013-10-18
228446,206,172,738751.15,2013-10-19
182999,155,126,589907.766667,2013-10-20
174441,167,119,574452.783333,2013-10-21
175875,185,114,578930.95,2013-10-22
176631,213,128,580373.55,2013-10-23
179651,197,135,588477.716667,2013-10-24
205931,211,147,676045.0,2013-10-25
218116,192,142,703501.75,2013-10-26
183055,187,136,574388.566667,2013-10-27
174134,156,116,564953.45,2013-10-28
166020,176,118,539108.633333,2013-10-29
167257,184,110,546926.716667,2013-10-30
163934,132,82,541816.566667,2013-10-31
181664,165,113,586348.25,2013-11-01
218928,198,159,684869.966667,2013-11-02
182847,167,120,567287.616667,2013-11-03
164393,170,108,520296.7,2013-11-04
160518,167,111,510714.733333,2013-11-05
163986,168,96,518478.066667,2013-11-06
163435,167,102,514335.916667,2013-11-07
191057,176,101,594264.716667,2013-11-08
206062,159,112,629810.05,2013-11-09
153528,131,117,468353.316667,2013-11-10
146253,158,88,455817.633333,2013-11-11
133422,140,82,425178.333333,2013-11-12
136151,124,82,435122.5,2013-11-13
140161,252,103,447657.616667,2013-11-14
166161,362,82,527439.9,2013-11-15
182449,350,115,568893.266667,2013-11-16
138509,277,91,428666.55,2013-11-17
130603,335,98,414152.2,2013-11-18
136007,309,112,427305.15,2013-11-19
152118,406,82,471351.483333,2013-11-20
162984,389,112,504306.566667,2013-11-21
182871,433,103,544759.416667,2013-11-22
196818,351,136,576714.433333,2013-11-23
164022,347,88,493313.216667,2013-11-24
156140,340,112,476050.483333,2013-11-25
167550,413,110,506271.7,2013-11-26
200868,451,120,603402.233333,2013-11-27
194031,349,102,576207.2,2013-11-28
153164,309,76,464533.566667,2013-11-29
152433,298,83,463607.1,2013-11-30
122950,264,70,369103.25,2013-12-01
127706,295,103,391532.283333,2013-12-02
128264,297,83,393096.466667,2013-12-03
125081,265,73,384735.733333,2013-12-04
129605,285,64,400940.933333,2013-12-05
155514,352,94,471498.816667,2013-12-06
173770,324,105,515085.5,2013-12-07
156690,285,88,460636.683333,2013-12-08
165272,316,113,484346.5,2013-12-09
166604,343,94,501837.05,2013-12-10
162924,365,123,487195.916667,2013-12-11
155071,356,106,472454.233333,2013-12-12
195958,385,102,592246.783333,2013-12-13
207828,349,132,620605.766667,2013-12-14
171613,316,108,508349.05,2013-12-15
163960,356,104,492281.0,2013-12-16
160873,333,113,487328.466667,2013-12-17
172178,336,112,518484.716667,2013-12-18
183345,329,95,550654.366667,2013-12-19
199465,369,98,592416.416667,2013-12-20
191263,374,113,569823.95,2013-12-21
162040,297,121,478643.566667,2013-12-22
171428,338,125,512624.866667,2013-12-23
176725,266,107,532679.9,2013-12-24
186647,249,81,533628.816667,2013-12-25
163424,274,110,480507.316667,2013-12-26
167374,299,101,499490.933333,2013-12-27
162502,292,86,482831.05,2013-12-28
139860,247,80,407261.0,2013-12-29
155757,331,112,458957.066667,2013-12-30
207028,354,95,622722.383333,2013-12-31
164940,273,105,470395.666667,2014-01-01
177583,338,102,514848.883333,2014-01-02
178408,300,106,524404.083333,2014-01-03
168043,263,105,489881.6,2014-01-04
148095,267,103,429268.516667,2014-01-05
141006,320,73,420472.433333,2014-01-06
146329,272,81,429874.15,2014-01-07
153909,293,91,456964.2,2014-01-08
153627,277,111,455804.083333,2014-01-09
172883,296,101,514228.283333,2014-01-10
172828,272,101,508413.166667,2014-01-11
147662,230,81,432215.816667,2014-01-12
132487,229,94,399982.983333,2014-01-13
140937,298,95,422789.216667,2014-01-14
141124,267,106,422929.7,2014-01-15
147071,242,102,437279.133333,2014-01-16
164147,316,104,489625.683333,2014-01-17
169306,296,97,497433.85,2014-01-18
144060,257,88,416836.766667,2014-01-19
138249,225,102,406442.616667,2014-01-20
132820,294,91,394445.833333,2014-01-21
133657,261,105,397694.1,2014-01-22
135544,281,113,404597.116667,2014-01-23
154076,272,107,461795.983333,2014-01-24
162098,335,127,479175.116667,2014-01-25
137339,256,94,391764.433333,2014-01-26
127290,244,73,375368.5,2014-01-27
132221,242,98,394019.266667,2014-01-28
130016,260,68,387517.716667,2014-01-29
132493,234,76,398012.733333,2014-01-30
144337,268,99,433619.066667,2014-01-31
150343,264,100,448532.883333,2014-02-01
124798,224,82,369860.766667,2014-02-02
117416,255,88,353572.783333,2014-02-03
119350,225,81,359333.15,2014-02-04
119542,225,109,357942.85,2014-02-05
129358,249,124,387248.066667,2014-02-06
137871,271,102,417324.35,2014-02-07
150019,248,107,446823.7,2014-02-08
118248,204,84,351491.833333,2014-02-09
112387,226,82,339170.85,2014-02-10
117032,191,79,351858.233333,2014-02-11
120502,197,77,360476.966667,2014-02-12
123940,193,78,370566.3,2014-02-13
134692,193,97,405689.95,2014-02-14
142086,197,93,416911.533333,2014-02-15
121136,196,77,354501.633333,2014-02-16
120379,173,85,353450.266667,2014-02-17
120569,220,87,356002.1,2014-02-18
121767,227,64,357512.816667,2014-02-19
111925,172,73,332062.516667,2014-02-20
135714,191,120,403882.05,2014-02-21
142981,199,92,421492.416667,2014-02-22
113642,190,88,330164.0,2014-02-23
106447,165,88,316862.033333,2014-02-24
115224,192,101,337146.383333,2014-02-25
109159,160,79,324274.466667,2014-02-26
119177,181,83,352899.783333,2014-02-27
137228,201,85,402962.233333,2014-02-28
134979,188,102,394729.75,2014-03-01
108142,155,76,315766.666667,2014-03-02
100208,212,59,298119.166667,2014-03-03
97860,187,58,291389.466667,2014-03-04
100122,162,68,300682.4,2014-03-05
103636,165,70,311802.25,2014-03-06
116967,141,85,351827.45,2014-03-07
119952,158,68,356003.783333,2014-03-08
92677,129,60,275471.616667,2014-03-09
98826,164,71,296376.783333,2014-03-10
93030,175,71,278828.45,2014-03-11
93162,123,84,279061.766667,2014-03-12
99470,150,77,298869.666667,2014-03-13
105658,147,79,320827.55,2014-03-14
114672,171,85,341364.016667,2014-03-15
94863,137,70,280375.816667,2014-03-16
94924,149,82,286779.05,2014-03-17
91456,168,87,277595.366667,2014-03-18
98745,155,81,298754.55,2014-03-19
100578,143,83,306550.233333,2014-03-20
115919,157,89,349410.516667,2014-03-21
122696,158,68,366687.6,2014-03-22
98697,127,65,292833.3,2014-03-23
96084,168,78,288970.9,2014-03-24
95879,200,71,288643.333333,2014-03-25
98291,179,81,294351.85,2014-03-26
104466,156,74,315143.566667,2014-03-27
113186,182,79,339323.833333,2014-03-28
119789,175,80,355714.033333,2014-03-29
95762,133,76,284672.466667,2014-03-30
91231,159,80,278044.2,2014-03-31
100017,132,75,302982.35,2014-04-01
104736,171,76,314893.333333,2014-04-02
110357,160,79,329820.916667,2014-04-03
124721,181,68,373003.266667,2014-04-04
129104,135,88,383727.716667,2014-04-05
107524,135,88,316722.516667,2014-04-06
101390,148,69,300429.95,2014-04-07
103076,144,60,310553.383333,2014-04-08
107032,117,63,321434.033333,2014-04-09
104360,147,72,314191.416667,2014-04-10
121737,155,78,366818.85,2014-04-11
129713,147,86,383968.966667,2014-04-12
109472,117,58,320162.4,2014-04-13
106025,109,60,314839.85,2014-04-14
107077,137,72,316673.716667,2014-04-15
110771,171,68,330894.5,2014-04-16
116109,132,78,346838.45,2014-04-17
127605,140,62,378408.116667,2014-04-18
121760,144,66,363665.466667,2014-04-19
105289,113,68,309175.033333,2014-04-20
101319,152,80,301463.283333,2014-04-21
101981,140,83,303712.05,2014-04-22
104851,134,72,309692.066667,2014-04-23
107167,137,64,320022.966667,2014-04-24
121361,160,70,361429.95,2014-04-25
124554,150,58,368048.5,2014-04-26
102368,148,71,299749.133333,2014-04-27
100649,134,72,297926.55,2014-04-28
103214,161,61,305376.433333,2014-04-29
107869,158,67,318345.766667,2014-04-30
112602,154,84,330164.733333,2014-05-01
126787,162,87,371295.783333,2014-05-02
127589,130,72,370141.833333,2014-05-03
107787,124,74,310882.933333,2014-05-04
101607,115,76,299270.633333,2014-05-05
105438,153,69,305999.5,2014-05-06
110864,162,94,320379.15,2014-05-07
113610,140,87,328076.7,2014-05-08
126128,125,84,370782.95,2014-05-09
130212,131,67,381035.066667,2014-05-10
103848,115,61,302241.5,2014-05-11
110761,117,60,335381.766667,2014-05-12
115315,153,80,349811.816667,2014-05-13
117531,146,87,356846.55,2014-05-14
121396,130,77,369881.9,2014-05-15
134302,146,64,409419.716667,2014-05-16
143411,144,98,431477.933333,2014-05-17
121735,135,67,362960.033333,2014-05-18
113599,133,65,346337.266667,2014-05-19
114089,131,69,347495.916667,2014-05-20
116593,133,69,355490.466667,2014-05-21
118388,137,84,361755.0,2014-05-22
137820,128,90,417180.6,2014-05-23
136943,130,80,411537.3,2014-05-24
122566,119,64,366519.733333,2014-05-25
118824,111,60,356673.05,2014-05-26
107988,131,74,325567.966667,2014-05-27
109791,142,107,334654.666667,2014-05-28
114662,139,65,349166.516667,2014-05-29
122659,138,79,373984.1,2014-05-30
126532,135,71,380351.766667,2014-05-31
112658,122,66,334621.683333,2014-06-01
122536,145,76,363221.166667,2014-06-02
133171,176,87,395294.416667,2014-06-03
159574,165,118,461849.516667,2014-06-04
160855,179,117,466365.4,2014-06-05
167793,184,109,493524.1,2014-06-06
158829,171,95,465082.65,2014-06-07
135962,115,86,394120.7,2014-06-08
137323,150,71,401829.766667,2014-06-09
133593,173,103,391756.6,2014-06-10
136066,149,83,401378.133333,2014-06-11
142370,142,98,419797.35,2014-06-12
153345,165,89,451781.266667,2014-06-13
147680,138,92,435335.233333,2014-06-14
133252,137,68,387718.5,2014-06-15
141805,142,109,412422.933333,2014-06-16
140532,155,109,410749.9,2014-06-17
135928,138,90,397991.183333,2014-06-18
138781,158,91,409790.9,2014-06-19
149146,180,80,444860.45,2014-06-20
144599,163,71,427056.116667,2014-06-21
126089,132,80,367382.016667,2014-06-22
135793,135,102,393297.283333,2014-06-23
136623,180,71,398276.4,2014-06-24
134993,159,85,397558.383333,2014-06-25
135050,145,78,399378.683333,2014-06-26
146505,171,82,434766.35,2014-06-27
138798,140,67,410035.666667,2014-06-28
122978,135,60,357666.816667,2014-06-29
105368,138,69,317740.333333,2014-06-30
99856,111,70,301509.25,2014-07-01
123130,122,68,361746.9,2014-07-02
151364,181,104,438972.783333,2014-07-03
150100,147,89,438772.066667,2014-07-04
132919,139,65,382823.6,2014-07-05
122604,132,77,350304.866667,2014-07-06
125510,153,101,364077.233333,2014-07-07
129264,141,97,375768.7,2014-07-08
126888,123,89,373199.466667,2014-07-09
135837,157,75,397016.383333,2014-07-10
141109,156,90,417826.75,2014-07-11
137619,125,79,402880.816667,2014-07-12
118807,132,77,343005.033333,2014-07-13
130766,130,80,379155.483333,2014-07-14
134682,143,67,390977.583333,2014-07-15
142463,138,84,413313.5,2014-07-16
142013,143,77,412597.716667,2014-07-17
153391,137,79,447594.483333,2014-07-18
149559,142,84,431372.816667,2014-07-19
131924,102,71,376858.75,2014-07-20
139527,131,90,399361.616667,2014-07-21
140196,131,81,404675.716667,2014-07-22
141832,160,75,411837.533333,2014-07-23
138481,141,97,403221.85,2014-07-24
146719,145,85,429220.433333,2014-07-25
145682,112,63,423422.6,2014-07-26
129552,99,81,369668.883333,2014-07-27
143011,136,82,411332.116667,2014-07-28
142102,122,81,411036.683333,2014-07-29
139544,116,83,400037.466667,2014-07-30
137441,124,78,395762.283333,2014-07-31
152052,136,78,441725.9,2014-08-01
148620,126,72,427730.55,2014-08-02
131362,90,62,374713.6,2014-08-03
132210,119,68,378506.883333,2014-08-04
130189,115,72,378336.133333,2014-08-05
130287,105,67,377381.833333,2014-08-06
131798,121,74,383106.716667,2014-08-07
146810,107,75,427567.2,2014-08-08
144950,129,69,416232.466667,2014-08-09
128559,122,47,364827.083333,2014-08-10
130084,88,57,372158.05,2014-08-11
131252,128,69,378141.433333,2014-08-12
129578,149,70,375404.566667,2014-08-13
134527,117,61,391409.183333,2014-08-14
145783,121,58,423090.616667,2014-08-15
146325,84,55,420436.216667,2014-08-16
128416,155,74,364347.816667,2014-08-17
125288,118,71,363302.35,2014-08-18
122245,115,75,360299.35,2014-08-19
127468,138,79,372303.633333,2014-08-20
133687,118,81,389684.316667,2014-08-21
143592,95,71,420616.533333,2014-08-22
148803,141,67,429569.516667,2014-08-23
126593,114,79,363137.866667,2014-08-24
120980,100,76,353302.683333,2014-08-25
122454,127,81,362013.633333,2014-08-26
123659,96,75,365157.9,2014-08-27
128239,120,72,377099.45,2014-08-28
142980,175,66,422285.033333,2014-08-29
148076,102,75,426886.483333,2014-08-30
137347,113,65,391989.95,2014-08-31
134062,109,75,386329.3,2014-09-01
119605,119,54,350300.183333,2014-09-02
126240,108,71,374000.116667,2014-09-03
123859,100,58,368523.383333,2014-09-04
140337,106,57,416545.533333,2014-09-05
155546,112,68,448603.166667,2014-09-06
127316,110,64,366790.35,2014-09-07
121172,109,64,358907.516667,2014-09-08
122397,106,70,361327.7,2014-09-09
127420,135,62,376172.833333,2014-09-10
127112,112,65,376519.233333,2014-09-11
140927,112,51,415816.033333,2014-09-12
149662,110,70,429154.433333,2014-09-13
124563,94,71,355047.666667,2014-09-14
116980,91,49,343334.45,2014-09-15
115773,88,65,341767.016667,2014-09-16
116367,127,75,340850.916667,2014-09-17
113982,102,58,326373.8,2014-09-18
138757,115,75,410219.766667,2014-09-19
147136,109,59,424248.4,2014-09-20
120921,84,65,348544.4,2014-09-21
113391,105,73,337503.166667,2014-09-22
118741,93,59,352148.25,2014-09-23
134282,89,84,392107.616667,2014-09-24
133053,117,78,390188.433333,2014-09-25
142015,98,73,420191.833333,2014-09-26
151359,107,69,440132.116667,2014-09-27
124940,91,65,359868.133333,2014-09-28
119902,96,50,353037.35,2014-09-29
116249,81,65,342178.533333,2014-09-30
121362,79,49,361072.266667,2014-10-01
129758,101,73,382805.616667,2014-10-02
142331,104,69,422213.733333,2014-10-03
152634,88,58,440756.933333,2014-10-04
127193,91,76,362664.366667,2014-10-05
120350,81,43,355058.4,2014-10-06
123169,87,69,364832.35,2014-10-07
132604,105,65,388324.533333,2014-10-08
134509,94,65,391002.633333,2014-10-09
150978,113,69,438865.366667,2014-10-10
156557,88,57,447392.35,2014-10-11
127478,87,68,361170.416667,2014-10-12
120320,114,57,348781.05,2014-10-13
123539,77,58,358659.75,2014-10-14
130605,91,55,377908.283333,2014-10-15
137443,96,61,399019.666667,2014-10-16
150955,91,71,445435.1,2014-10-17
159735,93,74,457775.816667,2014-10-18
133913,79,60,378620.483333,2014-10-19
132784,91,63,383438.75,2014-10-20
135141,85,44,391511.866667,2014-10-21
141145,95,60,410579.05,2014-10-22
151349,99,76,437772.366667,2014-10-23
164893,89,64,480846.166667,2014-10-24
162657,90,59,472057.1,2014-10-25
130737,66,60,371596.516667,2014-10-26
126156,90,49,367185.633333,2014-10-27
116716,116,66,342081.666667,2014-10-28
127958,92,47,373984.233333,2014-10-29
131573,78,53,386709.416667,2014-10-30
146014,89,59,429733.583333,2014-10-31
153492,84,60,435193.716667,2014-11-01
135470,65,58,376247.7,2014-11-02
126504,96,61,365975.516667,2014-11-03
128930,75,58,373100.95,2014-11-04
126428,124,51,371207.633333,2014-11-05
136358,102,53,394468.216667,2014-11-06
152519,102,69,444595.883333,2014-11-07
160514,95,70,459610.083333,2014-11-08
132550,100,64,376348.616667,2014-11-09
131278,84,75,380069.366667,2014-11-10
131908,83,60,379985.983333,2014-11-11
130382,83,55,372695.8,2014-11-12
139661,93,58,401181.7,2014-11-13
156739,106,78,447915.4,2014-11-14
162650,107,65,461777.916667,2014-11-15
138639,75,55,388650.083333,2014-11-16
130607,99,64,372877.483333,2014-11-17
132299,72,52,380758.283333,2014-11-18
136275,89,54,392729.133333,2014-11-19
143697,91,50,412445.166667,2014-11-20
159726,96,53,455993.8,2014-11-21
169913,85,57,478107.783333,2014-11-22
142170,79,59,397220.7,2014-11-23
131704,79,29,380813.716667,2014-11-24
139768,97,70,401430.116667,2014-11-25
156232,86,61,445286.85,2014-11-26
