dailyViewcount,numShare,numSubscriber,watchTime,date
98164,1529,77,378588.166667,2015-12-17
44184,523,34,177478.05,2015-12-18
29729,332,16,123167.9,2015-12-19
24397,243,17,98196.2333333,2015-12-20
21879,222,11,89475.2,2015-12-21
20422,218,11,85068.45,2015-12-22
16605,168,11,71116.1333333,2015-12-23
19143,175,14,82428.3,2015-12-24
16915,136,8,70545.8833333,2015-12-25
16297,170,2,67755.95,2015-12-26
15249,157,4,63112.5333333,2015-12-27
16342,161,8,67514.8,2015-12-28
15950,184,11,65644.3333333,2015-12-29
15743,193,11,66269.4666667,2015-12-30
16618,130,5,70839.4833333,2015-12-31
14572,130,10,60132.1166667,2016-01-01
16045,177,10,66169.3333333,2016-01-02
16812,247,13,70002.7,2016-01-03
17399,242,4,74775.05,2016-01-04
17816,216,11,74526.6666667,2016-01-05
17874,215,7,75018.0333333,2016-01-06
17066,187,9,72827.2,2016-01-07
18721,180,8,79148.05,2016-01-08
18973,210,8,76941.4666667,2016-01-09
17248,207,10,69452.05,2016-01-10
16963,192,9,69509.6833333,2016-01-11
17204,196,10,70175.7666667,2016-01-12
16761,172,9,68099.0166667,2016-01-13
17565,163,9,70421.5333333,2016-01-14
18641,136,7,75192.0666667,2016-01-15
18547,178,13,73932.6333333,2016-01-16
16063,164,3,63011.7,2016-01-17
15358,145,7,61704.3,2016-01-18
15446,151,8,61899.95,2016-01-19
16144,156,12,65619.9833333,2016-01-20
17265,176,5,68096.9333333,2016-01-21
18506,162,10,72786.3166667,2016-01-22
17701,170,5,69232.2666667,2016-01-23
15335,157,9,59918.3,2016-01-24
14888,123,6,58596.6333333,2016-01-25
15385,172,7,60487.0833333,2016-01-26
15654,149,1,62538.4666667,2016-01-27
15862,170,6,63535.0666667,2016-01-28
15948,129,5,65545.7666667,2016-01-29
15775,118,9,65224.1333333,2016-01-30
13806,111,7,55871.15,2016-01-31
14036,163,6,56696.7,2016-02-01
14405,127,4,57830.2,2016-02-02
14468,112,3,57770.4333333,2016-02-03
14773,127,4,60462.5,2016-02-04
15763,130,6,64437.05,2016-02-05
15735,124,4,63166.4333333,2016-02-06
13343,131,6,53144.7166667,2016-02-07
13009,117,10,52381.1166667,2016-02-08
13666,106,9,55304.45,2016-02-09
13866,131,4,54946.2,2016-02-10
14254,132,0,56619.2666667,2016-02-11
19741,182,6,80041.6,2016-02-12
21853,167,8,86200.9666667,2016-02-13
19694,180,5,76269.0166667,2016-02-14
20801,199,4,81246.8333333,2016-02-15
22411,199,12,88087.9166667,2016-02-16
23895,207,9,93424.35,2016-02-17
26803,217,9,105662.266667,2016-02-18
30081,225,9,119016.833333,2016-02-19
37123,261,19,143328.25,2016-02-20
33060,233,21,125660.65,2016-02-21
33308,228,31,129587.75,2016-02-22
35534,294,24,137741.266667,2016-02-23
36813,282,32,143945.15,2016-02-24
38244,259,23,150397.866667,2016-02-25
36639,233,8,146777.766667,2016-02-26
35464,259,8,139592.65,2016-02-27
32354,245,18,126196.116667,2016-02-28
31630,242,20,125272.566667,2016-02-29
32891,232,22,130097.366667,2016-03-01
34151,227,25,135914.9,2016-03-02
37719,326,23,149205.816667,2016-03-03
39183,240,29,157123.8,2016-03-04
40909,261,25,158056.516667,2016-03-05
38669,289,23,147335.016667,2016-03-06
37857,293,29,147658.466667,2016-03-07
37480,299,25,148257.016667,2016-03-08
41016,315,24,160715.166667,2016-03-09
46988,381,30,186389.333333,2016-03-10
51554,335,27,201728.0,2016-03-11
54387,402,35,212232.9,2016-03-12
44407,329,22,171497.65,2016-03-13
42307,383,16,168104.3,2016-03-14
42024,298,19,167585.166667,2016-03-15
47398,366,21,184626.833333,2016-03-16
46110,319,29,183262.55,2016-03-17
44799,301,18,181641.3,2016-03-18
45022,304,14,177346.05,2016-03-19
40742,270,7,158409.75,2016-03-20
40124,260,12,157801.066667,2016-03-21
39390,284,20,155917.916667,2016-03-22
40564,260,18,160176.8,2016-03-23
41568,292,15,163715.283333,2016-03-24
41534,291,10,164251.033333,2016-03-25
41084,236,16,163071.216667,2016-03-26
37524,236,21,144933.416667,2016-03-27
35543,274,11,138431.316667,2016-03-28
35600,250,16,139887.966667,2016-03-29
36003,279,12,144102.933333,2016-03-30
36349,253,13,146445.1,2016-03-31
39376,250,11,156881.366667,2016-04-01
40038,255,14,157804.2,2016-04-02
35004,234,11,137463.716667,2016-04-03
36024,282,12,141461.066667,2016-04-04
36102,255,10,142680.55,2016-04-05
36374,224,17,146166.516667,2016-04-06
38116,204,14,150989.5,2016-04-07
