dailyViewcount,numShare,numSubscriber,watchTime,date
224416,3415,220,831887.883333,2015-11-12
216949,2054,149,712176.416667,2015-11-13
206646,1507,115,565576.166667,2015-11-14
173727,1633,102,506265.266667,2015-11-15
115042,1218,63,390624.733333,2015-11-16
104571,1120,55,365336.25,2015-11-17
153839,1470,106,508377.1,2015-11-18
136686,1199,58,445126.316667,2015-11-19
123688,1070,56,413246.9,2015-11-20
121914,1068,67,410633.433333,2015-11-21
99953,968,53,339608.133333,2015-11-22
81229,875,43,291512.0,2015-11-23
78557,842,49,283643.816667,2015-11-24
80282,785,18,296384.016667,2015-11-25
72957,557,43,269188.816667,2015-11-26
66794,635,28,248610.183333,2015-11-27
67835,720,22,253547.683333,2015-11-28
61008,672,24,225631.1,2015-11-29
59990,724,20,229183.65,2015-11-30
62806,787,28,243048.716667,2015-12-01
63293,712,18,242253.05,2015-12-02
68219,771,30,260322.3,2015-12-03
72157,780,20,278876.133333,2015-12-04
76609,871,29,296036.316667,2015-12-05
66825,805,32,253845.883333,2015-12-06
66742,869,24,261743.1,2015-12-07
67386,850,39,266556.333333,2015-12-08
64483,799,29,259838.366667,2015-12-09
71621,812,32,285117.266667,2015-12-10
78993,715,39,314385.166667,2015-12-11
98683,873,47,381651.85,2015-12-12
92702,885,50,348737.516667,2015-12-13
111565,1039,58,426086.933333,2015-12-14
119870,1053,55,457375.45,2015-12-15
101001,953,62,390625.333333,2015-12-16
65502,734,19,264768.1,2015-12-17
66358,644,24,271800.133333,2015-12-18
65164,667,11,261861.833333,2015-12-19
54269,612,18,212175.2,2015-12-20
54699,622,12,216406.683333,2015-12-21
55285,630,18,220889.5,2015-12-22
56313,617,12,230635.383333,2015-12-23
58127,508,14,241760.216667,2015-12-24
53193,428,13,209786.716667,2015-12-25
51577,547,11,202497.133333,2015-12-26
47464,567,17,183713.066667,2015-12-27
47630,609,16,187891.45,2015-12-28
49524,592,6,196753.533333,2015-12-29
50815,519,16,202207.316667,2015-12-30
55861,445,13,225101.05,2015-12-31
47861,470,8,181247.116667,2016-01-01
52532,563,18,199509.983333,2016-01-02
45818,607,12,170866.216667,2016-01-03
44871,539,13,173116.183333,2016-01-04
45340,523,16,176859.55,2016-01-05
46361,591,14,179979.716667,2016-01-06
50053,597,11,195791.283333,2016-01-07
50260,562,22,202994.866667,2016-01-08
53020,571,20,201416.933333,2016-01-09
44227,491,18,167086.283333,2016-01-10
41752,512,6,161207.216667,2016-01-11
42530,570,12,164155.416667,2016-01-12
42425,520,11,165335.716667,2016-01-13
43514,543,12,169336.35,2016-01-14
46176,517,18,184607.033333,2016-01-15
49021,568,9,187142.233333,2016-01-16
41886,479,19,156426.616667,2016-01-17
40027,509,12,151940.733333,2016-01-18
39112,520,11,152161.1,2016-01-19
39309,507,14,152319.933333,2016-01-20
39467,424,11,153644.9,2016-01-21
42631,461,9,165337.033333,2016-01-22
43191,452,15,164090.116667,2016-01-23
