dailyViewcount,numShare,numSubscriber,watchTime,date
83382,733,404,201530.866667,2014-03-24
95136,362,239,212307.216667,2014-03-25
47785,215,123,124883.25,2014-03-26
48551,171,101,118104.016667,2014-03-27
39451,159,116,105672.466667,2014-03-28
44341,143,140,128430.85,2014-03-29
40071,96,102,121748.233333,2014-03-30
37948,113,88,120053.166667,2014-03-31
38146,114,102,124234.716667,2014-04-01
42082,132,107,133339.366667,2014-04-02
55196,156,105,156178.716667,2014-04-03
46824,144,107,152580.6,2014-04-04
45404,117,89,149346.45,2014-04-05
43315,152,85,140723.916667,2014-04-06
44704,125,108,150352.083333,2014-04-07
42124,136,96,148770.633333,2014-04-08
41917,154,104,150776.516667,2014-04-09
42885,148,81,155939.783333,2014-04-10
44321,146,77,158663.9,2014-04-11
48381,100,96,168263.266667,2014-04-12
43606,126,94,153218.0,2014-04-13
48217,144,91,173752.683333,2014-04-14
51724,159,110,185035.6,2014-04-15
52043,169,113,192385.1,2014-04-16
52177,152,90,190025.183333,2014-04-17
52011,113,77,189521.2,2014-04-18
53357,147,72,191758.533333,2014-04-19
47376,111,70,169423.333333,2014-04-20
52005,124,94,190316.333333,2014-04-21
53769,139,69,199804.416667,2014-04-22
52653,117,67,194225.233333,2014-04-23
55079,179,95,204929.383333,2014-04-24
58532,166,93,217640.866667,2014-04-25
57731,115,101,210859.45,2014-04-26
56493,117,71,204274.25,2014-04-27
55957,132,84,209276.283333,2014-04-28
57404,140,83,213948.566667,2014-04-29
58371,150,85,219399.5,2014-04-30
61351,135,92,229220.1,2014-05-01
64193,134,72,240286.3,2014-05-02
66434,119,74,247149.716667,2014-05-03
60499,151,82,224049.15,2014-05-04
61811,138,82,235874.333333,2014-05-05
62059,121,73,236485.816667,2014-05-06
64696,146,100,243190.366667,2014-05-07
67657,139,78,257408.966667,2014-05-08
71899,150,79,273812.666667,2014-05-09
74793,136,79,279101.9,2014-05-10
65304,139,66,245266.016667,2014-05-11
74293,129,70,278783.383333,2014-05-12
80728,151,85,299003.783333,2014-05-13
82631,176,101,308776.933333,2014-05-14
86004,166,108,324074.216667,2014-05-15
90839,176,118,336129.15,2014-05-16
100195,174,94,360497.183333,2014-05-17
92638,127,102,334835.583333,2014-05-18
91096,142,85,335025.583333,2014-05-19
89559,206,117,328073.733333,2014-05-20
90679,170,120,336828.983333,2014-05-21
94528,175,90,345041.6,2014-05-22
103444,163,117,375058.033333,2014-05-23
106886,175,123,377489.75,2014-05-24
103109,190,111,359849.15,2014-05-25
104671,213,128,367073.3,2014-05-26
101329,223,118,366750.183333,2014-05-27
