dailyViewcount,numShare,numSubscriber,watchTime,date
66017,1092,109,197949.5,2015-05-04
56711,528,61,165218.3,2015-05-05
70049,593,53,220707.316667,2015-05-06
76414,472,47,228522.333333,2015-05-07
87777,492,57,255470.066667,2015-05-08
96214,437,54,277565.583333,2015-05-09
117290,506,50,295791.416667,2015-05-10
119355,596,71,310822.733333,2015-05-11
93501,504,41,266116.633333,2015-05-12
84518,586,43,253410.516667,2015-05-13
90788,587,45,267897.283333,2015-05-14
102664,599,57,300382.833333,2015-05-15
94370,481,51,283914.516667,2015-05-16
85026,555,46,254249.216667,2015-05-17
82273,544,44,251845.683333,2015-05-18
80928,547,50,251523.85,2015-05-19
85349,595,60,268342.666667,2015-05-20
91318,583,56,288862.15,2015-05-21
98891,551,47,311665.2,2015-05-22
98233,545,60,308351.933333,2015-05-23
85221,490,53,268666.433333,2015-05-24
104511,570,35,291200.516667,2015-05-25
100311,531,42,281891.5,2015-05-26
94270,485,26,278834.25,2015-05-27
94305,572,44,282093.7,2015-05-28
98591,485,37,299208.933333,2015-05-29
98982,514,45,297392.783333,2015-05-30
87346,468,26,262212.166667,2015-05-31
84275,479,26,260818.533333,2015-06-01
87901,470,34,271296.733333,2015-06-02
91894,491,29,283655.433333,2015-06-03
92827,479,32,289833.8,2015-06-04
94515,480,35,301146.466667,2015-06-05
91469,500,27,287824.15,2015-06-06
84396,460,38,261142.5,2015-06-07
83239,459,36,264154.1,2015-06-08
86243,510,32,271064.916667,2015-06-09
88852,538,24,278881.283333,2015-06-10
89774,501,39,281655.5,2015-06-11
92801,484,29,294471.733333,2015-06-12
90456,470,34,286456.883333,2015-06-13
81497,394,24,254544.083333,2015-06-14
85891,505,26,270621.883333,2015-06-15
87290,547,32,275944.666667,2015-06-16
85727,493,25,271797.55,2015-06-17
84962,499,39,273886.4,2015-06-18
89746,496,32,290626.633333,2015-06-19
89444,549,34,284689.583333,2015-06-20
78750,362,31,249749.066667,2015-06-21
77609,461,31,248681.8,2015-06-22
78648,462,26,250934.816667,2015-06-23
80965,511,28,259026.283333,2015-06-24
86440,521,23,273689.766667,2015-06-25
93057,492,22,295026.783333,2015-06-26
94986,499,29,296329.116667,2015-06-27
87570,480,28,265476.7,2015-06-28
92140,519,39,282992.766667,2015-06-29
89530,499,28,276611.4,2015-06-30
87587,505,30,271784.816667,2015-07-01
89418,552,23,278313.283333,2015-07-02
91107,449,33,284167.316667,2015-07-03
85354,363,23,268748.85,2015-07-04
77105,423,23,233573.15,2015-07-05
81254,440,19,248292.916667,2015-07-06
79560,438,11,244201.55,2015-07-07
80575,460,23,249093.2,2015-07-08
81431,466,23,254608.083333,2015-07-09
85099,436,26,265359.55,2015-07-10
84368,434,20,262792.45,2015-07-11
75621,437,17,230481.816667,2015-07-12
76938,472,15,235487.683333,2015-07-13
79953,484,22,246022.883333,2015-07-14
79169,407,24,243772.666667,2015-07-15
80159,435,28,246463.283333,2015-07-16
88152,428,25,271478.183333,2015-07-17
85058,403,17,259795.016667,2015-07-18
76758,428,28,230981.766667,2015-07-19
76280,488,31,232232.683333,2015-07-20
77185,427,25,234337.666667,2015-07-21
77623,484,27,235074.683333,2015-07-22
80308,447,26,244250.033333,2015-07-23
86142,414,25,262338.75,2015-07-24
84618,399,22,256730.033333,2015-07-25
77877,368,18,231998.083333,2015-07-26
77714,426,28,228299.15,2015-07-27
73936,411,25,221382.2,2015-07-28
71209,386,24,218003.783333,2015-07-29
74570,403,21,225814.733333,2015-07-30
81610,398,25,246968.366667,2015-07-31
97035,426,24,287909.55,2015-08-01
83408,380,24,248397.6,2015-08-02
85488,408,20,253997.633333,2015-08-03
97219,503,31,286992.716667,2015-08-04
94250,439,35,276958.516667,2015-08-05
94727,477,29,277988.166667,2015-08-06
103205,415,28,305104.366667,2015-08-07
