dailyViewcount,numShare,numSubscriber,watchTime,date
131790,1605,283,440194.483333,2015-07-27
101078,943,189,329796.95,2015-07-28
91899,515,105,251302.666667,2015-07-29
90779,464,87,257271.916667,2015-07-30
80658,399,90,213404.483333,2015-07-31
105238,380,97,228773.066667,2015-08-01
78637,363,86,191473.616667,2015-08-02
68204,281,72,178921.483333,2015-08-03
64660,308,65,174490.833333,2015-08-04
58598,301,64,167534.433333,2015-08-05
56521,273,56,163682.916667,2015-08-06
53806,247,39,158827.066667,2015-08-07
45336,189,43,130635.716667,2015-08-08
47237,238,46,136606.966667,2015-08-09
47214,264,56,145429.216667,2015-08-10
44436,230,34,137475.583333,2015-08-11
44134,284,35,139985.833333,2015-08-12
43202,225,40,135654.016667,2015-08-13
41713,241,40,133017.216667,2015-08-14
39017,214,26,121263.45,2015-08-15
38438,184,30,119443.833333,2015-08-16
42564,253,50,135168.633333,2015-08-17
42059,213,54,134824.166667,2015-08-18
40795,190,34,132568.483333,2015-08-19
43639,306,42,142282.966667,2015-08-20
45330,269,47,147818.15,2015-08-21
41961,213,31,136009.233333,2015-08-22
42111,265,56,134457.7,2015-08-23
41499,311,41,138047.2,2015-08-24
41255,322,46,138230.266667,2015-08-25
40255,258,28,136671.033333,2015-08-26
40851,265,33,137791.516667,2015-08-27
41741,227,44,138923.433333,2015-08-28
43646,237,39,142465.916667,2015-08-29
42054,275,42,135346.633333,2015-08-30
38697,236,34,122046.783333,2015-08-31
40779,258,44,136822.933333,2015-09-01
40703,241,39,136663.716667,2015-09-02
41399,242,33,140770.683333,2015-09-03
40258,226,36,134990.233333,2015-09-04
40506,212,28,135168.216667,2015-09-05
39903,218,36,131268.033333,2015-09-06
40224,209,30,132263.833333,2015-09-07
37005,239,36,126898.316667,2015-09-08
38711,254,37,133169.166667,2015-09-09
37655,226,28,130984.116667,2015-09-10
35240,218,28,122667.383333,2015-09-11
41354,252,36,141783.75,2015-09-12
44262,356,57,153294.35,2015-09-13
42342,284,39,151049.1,2015-09-14
39751,304,38,141896.983333,2015-09-15
40214,259,24,142166.533333,2015-09-16
39666,231,31,140496.466667,2015-09-17
39336,260,43,137695.283333,2015-09-18
42045,239,36,143870.383333,2015-09-19
40851,242,43,138074.7,2015-09-20
38140,226,31,132422.783333,2015-09-21
38020,219,35,130770.583333,2015-09-22
38370,235,37,132948.666667,2015-09-23
39172,266,36,136717.75,2015-09-24
39147,237,35,134534.416667,2015-09-25
41024,270,27,140373.516667,2015-09-26
40610,245,38,138682.05,2015-09-27
37797,247,25,130595.566667,2015-09-28
38570,225,34,131069.716667,2015-09-29
39876,222,40,136544.5,2015-09-30
42171,242,31,145281.616667,2015-10-01
42982,263,38,144505.55,2015-10-02
45277,254,30,151917.3,2015-10-03
46575,321,57,153647.466667,2015-10-04
42816,297,43,146157.95,2015-10-05
43116,244,43,147190.75,2015-10-06
44687,249,44,151220.316667,2015-10-07
43826,242,41,149256.15,2015-10-08
43027,204,32,146642.566667,2015-10-09
43437,225,22,144863.8,2015-10-10
42447,249,31,140376.283333,2015-10-11
43091,297,33,145835.516667,2015-10-12
41208,250,33,139882.333333,2015-10-13
41872,181,31,142131.683333,2015-10-14
44050,238,45,148864.85,2015-10-15
43925,215,42,148335.416667,2015-10-16
45863,226,37,151754.866667,2015-10-17
48924,569,48,162660.0,2015-10-18
55776,750,61,195918.766667,2015-10-19
56606,573,54,201847.016667,2015-10-20
54436,364,42,191696.65,2015-10-21
55008,373,33,193232.183333,2015-10-22
54353,303,62,189369.533333,2015-10-23
55837,297,50,190046.15,2015-10-24
55289,334,39,186653.483333,2015-10-25
57703,355,42,196254.333333,2015-10-26
53229,304,34,183213.616667,2015-10-27
56854,365,61,198238.116667,2015-10-28
60290,367,57,211938.0,2015-10-29
56639,313,58,198556.55,2015-10-30
53099,259,36,184208.233333,2015-10-31
58805,347,47,198547.4,2015-11-01
61153,322,62,208056.8,2015-11-02
61404,367,61,212075.916667,2015-11-03
59738,321,61,207006.416667,2015-11-04
62296,365,63,214546.333333,2015-11-05
60367,328,53,205619.3,2015-11-06
58945,319,32,198276.133333,2015-11-07
60778,310,50,203674.916667,2015-11-08
60162,370,49,205892.483333,2015-11-09
60360,291,49,207724.3,2015-11-10
62868,324,60,214995.733333,2015-11-11
62015,333,47,212448.983333,2015-11-12
59842,339,39,205782.133333,2015-11-13
60748,260,30,205050.983333,2015-11-14
58987,282,46,198585.5,2015-11-15
59825,316,41,203751.983333,2015-11-16
63402,331,70,216378.283333,2015-11-17
67618,331,52,230545.433333,2015-11-18
69445,376,46,236954.6,2015-11-19
67332,347,49,229447.083333,2015-11-20
71350,396,49,240026.216667,2015-11-21
69303,334,44,232859.55,2015-11-22
70622,319,48,240691.316667,2015-11-23
71981,312,58,245316.733333,2015-11-24
82927,363,63,278671.183333,2015-11-25
71886,247,56,238509.783333,2015-11-26
62290,257,47,209083.4,2015-11-27
64867,322,49,218208.2,2015-11-28
63950,298,51,215948.0,2015-11-29
64260,311,61,218871.483333,2015-11-30
59989,339,47,207735.716667,2015-12-01
58668,316,52,202913.65,2015-12-02
58930,299,35,205696.683333,2015-12-03
58007,290,31,202047.4,2015-12-04
61758,304,55,209975.383333,2015-12-05
61528,343,43,208321.833333,2015-12-06
63949,363,44,214580.3,2015-12-07
65645,328,59,219793.75,2015-12-08
64955,326,47,221511.45,2015-12-09
69456,315,49,236327.083333,2015-12-10
70791,301,46,240694.25,2015-12-11
72285,294,55,243612.4,2015-12-12
69607,338,43,231582.216667,2015-12-13
71429,333,37,243053.683333,2015-12-14
74184,279,58,252972.05,2015-12-15
75111,323,56,253877.566667,2015-12-16
77095,372,55,260286.8,2015-12-17
72297,338,29,244485.6,2015-12-18
73210,305,22,242058.75,2015-12-19
67805,396,46,222971.25,2015-12-20
74993,369,56,247545.5,2015-12-21
75914,370,43,252688.816667,2015-12-22
77001,357,37,257666.566667,2015-12-23
74522,296,33,251254.883333,2015-12-24
67052,309,32,220705.633333,2015-12-25
64109,371,34,210462.15,2015-12-26
66610,344,35,216562.883333,2015-12-27
74261,401,52,239174.85,2015-12-28
72264,393,40,237609.666667,2015-12-29
73653,382,42,241335.75,2015-12-30
72313,327,43,242342.783333,2015-12-31
63594,267,43,199505.2,2016-01-01
68754,330,45,219557.016667,2016-01-02
64413,360,30,205825.366667,2016-01-03
65541,357,46,212018.25,2016-01-04
65172,336,61,213101.966667,2016-01-05
65378,353,46,213481.783333,2016-01-06
73615,432,60,240681.65,2016-01-07
81691,519,73,271411.316667,2016-01-08
81669,406,52,266664.15,2016-01-09
76684,439,45,247800.616667,2016-01-10
76947,384,47,246756.45,2016-01-11
72575,403,49,237135.266667,2016-01-12
73304,357,41,240989.866667,2016-01-13
76232,352,59,250969.533333,2016-01-14
79278,391,46,259821.55,2016-01-15
80933,394,41,262205.95,2016-01-16
69720,380,44,223516.983333,2016-01-17
76028,372,40,246959.55,2016-01-18
70962,292,51,234833.616667,2016-01-19
71646,385,50,237519.066667,2016-01-20
75018,354,45,246109.883333,2016-01-21
78514,321,56,254597.8,2016-01-22
83506,439,36,269175.266667,2016-01-23
79413,433,46,257225.15,2016-01-24
75750,385,48,251328.7,2016-01-25
80446,369,59,264418.716667,2016-01-26
80169,383,53,262690.066667,2016-01-27
80728,377,58,264462.25,2016-01-28
82475,456,49,269508.966667,2016-01-29
89045,568,57,288223.7,2016-01-30
80276,513,52,260267.35,2016-01-31
74973,406,27,249948.933333,2016-02-01
75697,405,51,251445.816667,2016-02-02
77077,380,63,257306.983333,2016-02-03
77268,356,53,258117.783333,2016-02-04
80073,397,50,265482.733333,2016-02-05
86888,370,40,281701.35,2016-02-06
74894,367,32,242755.733333,2016-02-07
72762,420,36,238471.933333,2016-02-08
74797,344,51,246687.85,2016-02-09
75914,361,33,250216.216667,2016-02-10
80717,375,41,265008.116667,2016-02-11
83512,370,47,271165.1,2016-02-12
84606,337,37,268363.9,2016-02-13
79140,377,37,251307.45,2016-02-14
81521,427,49,256365.816667,2016-02-15
77350,381,37,250014.0,2016-02-16
79674,380,49,260646.15,2016-02-17
77233,346,33,253460.2,2016-02-18
77515,308,29,253660.733333,2016-02-19
79134,303,37,253834.35,2016-02-20
73883,369,30,237108.883333,2016-02-21
70762,321,27,232004.566667,2016-02-22
75560,400,39,244315.583333,2016-02-23
77852,353,26,251082.133333,2016-02-24
76812,394,38,249361.016667,2016-02-25
75649,330,30,244962.383333,2016-02-26
76364,315,41,244226.55,2016-02-27
67048,309,22,216314.883333,2016-02-28
64830,286,38,216176.266667,2016-02-29
66787,306,31,220569.75,2016-03-01
67895,307,29,225313.283333,2016-03-02
70002,342,48,232205.7,2016-03-03
71006,311,28,232922.733333,2016-03-04
72998,310,31,234086.366667,2016-03-05
67917,343,45,218522.45,2016-03-06
67453,315,28,220477.583333,2016-03-07
69062,283,45,226475.1,2016-03-08
69247,327,35,227313.933333,2016-03-09
71295,313,41,233622.25,2016-03-10
74176,358,37,243142.466667,2016-03-11
76293,335,37,245554.683333,2016-03-12
68320,343,37,218709.466667,2016-03-13
69430,324,36,225959.1,2016-03-14
70420,311,28,229605.016667,2016-03-15
73068,368,47,237023.75,2016-03-16
74944,369,37,242675.3,2016-03-17
74513,327,36,241337.666667,2016-03-18
80411,412,35,253162.316667,2016-03-19
73975,371,36,234998.083333,2016-03-20
74294,349,38,241649.033333,2016-03-21
77844,312,56,250025.533333,2016-03-22
78114,355,48,250395.016667,2016-03-23
77707,367,33,251830.583333,2016-03-24
77696,333,56,247817.666667,2016-03-25
76100,325,35,242693.266667,2016-03-26
66974,302,34,212938.483333,2016-03-27
109697,450,44,293841.55,2016-03-28
197001,809,117,449900.633333,2016-03-29
129986,570,81,354192.433333,2016-03-30
111878,476,92,331368.783333,2016-03-31
100488,441,59,309534.433333,2016-04-01
94841,378,53,291402.433333,2016-04-02
82178,399,33,255214.183333,2016-04-03
77156,380,49,248672.316667,2016-04-04
73700,366,33,239036.05,2016-04-05
74932,354,28,240838.15,2016-04-06
80499,379,44,256670.916667,2016-04-07
79925,317,35,256964.05,2016-04-08
79026,324,46,248953.766667,2016-04-09
71919,378,47,226222.9,2016-04-10
70471,337,37,227354.616667,2016-04-11
66696,336,24,216864.95,2016-04-12
66329,276,33,216197.6,2016-04-13
70362,347,32,228989.783333,2016-04-14
78288,310,37,250997.266667,2016-04-15
80046,296,36,250868.55,2016-04-16
73771,282,30,230601.316667,2016-04-17
63429,289,29,201636.266667,2016-04-18
71174,312,30,230933.7,2016-04-19
68817,310,33,221378.283333,2016-04-20
68756,304,29,223084.1,2016-04-21
69130,320,30,223338.983333,2016-04-22
72745,301,17,231641.966667,2016-04-23
66631,337,29,211074.333333,2016-04-24
63428,322,26,204139.133333,2016-04-25
61148,292,27,197955.716667,2016-04-26
62411,287,32,202777.9,2016-04-27
65384,352,35,209152.75,2016-04-28
63946,358,26,203911.316667,2016-04-29
65650,355,19,205992.783333,2016-04-30
58391,353,23,182562.15,2016-05-01
59627,377,21,189696.483333,2016-05-02
61924,326,20,197062.95,2016-05-03
60776,329,21,191501.666667,2016-05-04
61653,308,26,196001.083333,2016-05-05
62349,359,21,197016.95,2016-05-06
63510,350,27,198650.65,2016-05-07
59684,287,22,188246.1,2016-05-08
57756,361,13,182150.666667,2016-05-09
60867,307,17,192225.9,2016-05-10
57725,362,24,182168.85,2016-05-11
57915,313,11,182713.083333,2016-05-12
61699,360,18,194142.166667,2016-05-13
63857,416,15,197939.45,2016-05-14
59210,381,17,182545.666667,2016-05-15
56068,382,15,177419.216667,2016-05-16
56235,322,18,178564.666667,2016-05-17
53209,304,23,169340.666667,2016-05-18
53773,325,18,171891.683333,2016-05-19
54130,287,11,171548.75,2016-05-20
57729,295,13,181793.916667,2016-05-21
53717,327,19,168033.366667,2016-05-22
56466,355,17,178741.583333,2016-05-23
55912,302,18,177994.75,2016-05-24
57502,362,13,182070.933333,2016-05-25
56941,329,19,180639.183333,2016-05-26
58685,296,7,185407.65,2016-05-27
57079,302,15,179539.333333,2016-05-28
54987,312,16,169679.283333,2016-05-29
53583,329,14,168426.966667,2016-05-30
53713,311,18,167717.8,2016-05-31
55243,335,18,174190.5,2016-06-01
55645,323,16,176125.983333,2016-06-02
56288,306,22,180419.716667,2016-06-03
56775,308,17,177345.8,2016-06-04
52358,328,16,162557.75,2016-06-05
52822,285,18,166811.466667,2016-06-06
52578,335,13,168123.766667,2016-06-07
51738,322,9,166605.433333,2016-06-08
51915,313,14,167003.483333,2016-06-09
52941,326,14,169603.05,2016-06-10
51532,296,14,163167.666667,2016-06-11
48134,334,21,151375.183333,2016-06-12
48144,322,16,152687.616667,2016-06-13
49174,365,15,158602.166667,2016-06-14
47299,334,16,151618.083333,2016-06-15
49162,343,18,156400.6,2016-06-16
48518,310,14,154953.183333,2016-06-17
46341,269,19,147022.716667,2016-06-18
42214,254,12,131359.316667,2016-06-19
48026,295,16,150543.966667,2016-06-20
50565,319,10,159669.216667,2016-06-21
48973,329,15,156130.233333,2016-06-22
49653,373,18,156405.65,2016-06-23
48636,355,12,153187.983333,2016-06-24
46459,278,17,146004.366667,2016-06-25
42160,307,11,128312.866667,2016-06-26
45001,319,20,141663.45,2016-06-27
44721,304,11,140735.983333,2016-06-28
44806,354,15,142309.3,2016-06-29
45096,315,10,143450.9,2016-06-30
46253,363,10,147242.85,2016-07-01
43409,298,7,136469.266667,2016-07-02
41892,314,7,130251.85,2016-07-03
40825,217,10,127857.466667,2016-07-04
41653,298,11,131131.383333,2016-07-05
42054,302,8,131287.066667,2016-07-06
41689,290,10,130209.516667,2016-07-07
42241,287,17,133112.383333,2016-07-08
41887,278,15,131552.733333,2016-07-09
39411,254,11,121851.866667,2016-07-10
43601,302,10,137145.316667,2016-07-11
43887,308,12,137663.316667,2016-07-12
42967,324,21,133235.333333,2016-07-13
44149,326,14,139096.816667,2016-07-14
46362,305,17,143452.883333,2016-07-15
44581,288,10,137172.483333,2016-07-16
43107,296,17,133250.35,2016-07-17
42235,279,17,131605.483333,2016-07-18
43884,305,15,136851.35,2016-07-19
43882,303,20,136870.916667,2016-07-20
49016,327,13,152299.283333,2016-07-21
47913,358,9,149221.883333,2016-07-22
46064,307,19,139958.616667,2016-07-23
45210,352,14,137502.85,2016-07-24
47380,344,16,145903.033333,2016-07-25
48245,380,8,148756.566667,2016-07-26
48423,348,16,150802.5,2016-07-27
47930,400,14,149709.55,2016-07-28
48126,340,13,151373.666667,2016-07-29
44972,278,14,140216.033333,2016-07-30
41960,327,14,129658.216667,2016-07-31
48730,338,21,150359.916667,2016-08-01
50377,349,11,156178.05,2016-08-02
49599,342,12,154467.066667,2016-08-03
49030,330,10,152596.95,2016-08-04
51710,354,13,159109.433333,2016-08-05
49110,325,17,147197.5,2016-08-06
48355,313,24,140047.016667,2016-08-07
58150,359,24,164180.566667,2016-08-08
61988,454,34,169860.816667,2016-08-09
61718,385,31,171059.966667,2016-08-10
61343,450,40,177100.65,2016-08-11
58493,423,18,171417.2,2016-08-12
58584,375,20,166878.033333,2016-08-13
55500,344,20,155303.116667,2016-08-14
57087,436,20,163183.016667,2016-08-15
54748,406,21,158767.016667,2016-08-16
56175,456,22,164057.45,2016-08-17
56788,414,13,164532.9,2016-08-18
57108,357,29,166765.516667,2016-08-19
58429,378,16,167564.733333,2016-08-20
55898,399,23,158774.166667,2016-08-21
53934,390,16,156399.783333,2016-08-22
58171,413,18,167562.116667,2016-08-23
61201,409,25,178505.466667,2016-08-24
58887,380,21,174539.683333,2016-08-25
59725,401,21,175759.733333,2016-08-26
60515,368,25,175045.8,2016-08-27
53830,333,24,155524.8,2016-08-28
53715,367,15,159295.9,2016-08-29
53650,368,18,160651.9,2016-08-30
54553,381,23,165493.966667,2016-08-31
56543,403,23,172465.883333,2016-09-01
58542,347,15,177358.783333,2016-09-02
61808,369,21,183686.516667,2016-09-03
59115,389,20,174171.6,2016-09-04
58603,353,15,175984.4,2016-09-05
52602,355,22,163180.216667,2016-09-06
54419,353,22,166712.0,2016-09-07
53432,308,15,164988.866667,2016-09-08
55395,331,13,168598.85,2016-09-09
61910,320,25,187014.95,2016-09-10
56765,362,16,172617.583333,2016-09-11
55208,351,22,171296.85,2016-09-12
58107,396,10,180213.55,2016-09-13
58608,357,15,180578.633333,2016-09-14
58902,358,24,181513.833333,2016-09-15
62581,374,21,190706.583333,2016-09-16
62653,356,16,191113.233333,2016-09-17
59504,351,19,181723.083333,2016-09-18
65670,446,28,200521.55,2016-09-19
57063,361,11,178746.083333,2016-09-20
59810,401,31,184015.483333,2016-09-21
66240,382,24,200390.133333,2016-09-22
65648,361,17,200372.966667,2016-09-23
