dailyViewcount,numShare,numSubscriber,watchTime,date
92452,1665,148,209145.466667,2017-03-17
118236,1740,181,268983.966667,2017-03-18
87085,1177,107,183012.45,2017-03-19
91768,1262,118,213460.05,2017-03-20
84476,1069,68,185883.983333,2017-03-21
75780,920,62,172508.516667,2017-03-22
53376,776,47,142721.783333,2017-03-23
46809,712,31,127996.316667,2017-03-24
42902,568,18,117615.666667,2017-03-25
39539,554,16,108800.8,2017-03-26
40662,721,19,120268.033333,2017-03-27
45449,750,15,129547.383333,2017-03-28
44210,682,12,137134.533333,2017-03-29
45978,767,8,142959.066667,2017-03-30
47338,702,22,146996.133333,2017-03-31
46276,585,17,139489.833333,2017-04-01
42805,598,12,129008.8,2017-04-02
43502,677,14,135529.05,2017-04-03
44424,705,14,139680.083333,2017-04-04
47284,799,13,150238.75,2017-04-05
48662,684,15,156366.783333,2017-04-06
50854,707,10,161593.916667,2017-04-07
52447,743,11,165664.766667,2017-04-08
45222,585,11,142666.466667,2017-04-09
45510,605,16,151546.066667,2017-04-10
45328,635,10,151551.85,2017-04-11
46815,632,15,157047.883333,2017-04-12
48827,664,9,164073.233333,2017-04-13
49180,599,7,164531.483333,2017-04-14
48578,553,11,159770.316667,2017-04-15
41922,443,7,135098.35,2017-04-16
41543,522,6,139591.583333,2017-04-17
43218,636,9,145478.166667,2017-04-18
47347,609,18,158007.016667,2017-04-19
46104,577,15,156007.35,2017-04-20
48045,610,7,163664.683333,2017-04-21
46966,560,7,157038.166667,2017-04-22
43894,522,10,143831.0,2017-04-23
44040,587,10,148730.366667,2017-04-24
47730,619,11,161142.033333,2017-04-25
47426,599,12,156163.3,2017-04-26
47843,580,25,158148.183333,2017-04-27
50005,595,13,164315.383333,2017-04-28
47724,561,9,151381.416667,2017-04-29
43873,517,17,140504.216667,2017-04-30
42058,560,18,139878.616667,2017-05-01
42301,524,21,142748.333333,2017-05-02
41426,510,15,139655.016667,2017-05-03
43212,532,15,145684.633333,2017-05-04
46372,479,11,154526.383333,2017-05-05
47944,532,13,158092.916667,2017-05-06
40325,473,11,131646.766667,2017-05-07
40328,468,8,137138.416667,2017-05-08
39932,506,13,134826.283333,2017-05-09
40815,479,17,138270.633333,2017-05-10
42429,490,13,143350.75,2017-05-11
47698,508,8,157483.783333,2017-05-12
50127,442,6,160256.866667,2017-05-13
43054,412,9,139975.35,2017-05-14
39247,461,10,132007.8,2017-05-15
39918,431,18,136576.2,2017-05-16
39906,461,7,135111.716667,2017-05-17
39995,481,13,134821.983333,2017-05-18
42154,449,13,142019.483333,2017-05-19
42599,415,7,139879.85,2017-05-20
34554,411,14,113136.666667,2017-05-21
34783,416,5,116666.2,2017-05-22
