dailyViewcount,numShare,numSubscriber,watchTime,date
27137,895,43,49660.9666667,2017-03-06
105355,2235,106,201886.3,2017-03-07
61145,1421,46,125288.566667,2017-03-08
67744,1583,73,150373.066667,2017-03-09
60273,1201,40,137128.783333,2017-03-10
58362,968,40,130948.083333,2017-03-11
36426,622,22,86057.7166667,2017-03-12
30976,504,20,77531.1166667,2017-03-13
27154,482,17,67574.4333333,2017-03-14
25360,471,11,67141.6166667,2017-03-15
22819,423,6,62674.1166667,2017-03-16
26692,474,8,71493.9333333,2017-03-17
28299,509,12,73324.3333333,2017-03-18
24983,432,15,62641.2166667,2017-03-19
24794,467,10,63410.4166667,2017-03-20
27341,534,20,68547.35,2017-03-21
24349,454,14,63910.65,2017-03-22
27124,482,15,70932.9833333,2017-03-23
30793,456,12,79227.9666667,2017-03-24
34942,488,16,86825.55,2017-03-25
28861,444,12,70614.9666667,2017-03-26
24787,360,14,65543.9666667,2017-03-27
21510,311,6,57556.7833333,2017-03-28
23153,355,4,61372.05,2017-03-29
24287,303,5,64966.05,2017-03-30
24398,291,8,64632.7833333,2017-03-31
25303,277,10,66414.8833333,2017-04-01
23213,244,9,60488.9166667,2017-04-02
19689,261,1,52819.8166667,2017-04-03
20080,300,8,52489.4833333,2017-04-04
21429,280,6,56187.0166667,2017-04-05
22368,356,9,57731.25,2017-04-06
22146,241,6,60424.6833333,2017-04-07
24843,270,5,66884.0,2017-04-08
21773,257,5,56346.85,2017-04-09
20425,214,5,54765.0,2017-04-10
20296,227,5,53606.1833333,2017-04-11
21289,305,8,54862.4666667,2017-04-12
20011,203,2,53899.1833333,2017-04-13
23124,239,8,60892.9333333,2017-04-14
23361,243,7,60779.8,2017-04-15
20764,204,4,53112.3,2017-04-16
19459,203,2,50256.9,2017-04-17
18005,187,5,47247.1,2017-04-18
16919,178,3,45024.3666667,2017-04-19
18806,195,3,49972.1,2017-04-20
19819,208,4,52644.15,2017-04-21
20731,208,3,53475.1833333,2017-04-22
16445,134,1,43164.1,2017-04-23
15532,150,2,41889.75,2017-04-24
15736,164,1,41124.9666667,2017-04-25
16336,166,3,43010.6666667,2017-04-26
16412,190,4,42821.9833333,2017-04-27
18933,171,4,49168.9833333,2017-04-28
18840,161,4,48044.4666667,2017-04-29
15222,182,4,37873.4333333,2017-04-30
14964,164,3,38294.7166667,2017-05-01
14544,133,0,38340.15,2017-05-02
14626,119,2,38416.2666667,2017-05-03
14680,125,6,38264.5,2017-05-04
15569,136,5,40428.4666667,2017-05-05
16516,129,6,42460.1,2017-05-06
13722,132,6,34383.5166667,2017-05-07
12072,140,4,30863.2166667,2017-05-08
12085,133,2,31319.6333333,2017-05-09
12846,110,3,33151.85,2017-05-10
13396,117,5,34168.4,2017-05-11
16270,154,4,41061.5333333,2017-05-12
16380,118,2,40404.7333333,2017-05-13
13853,134,2,35155.65,2017-05-14
11940,128,2,30991.1833333,2017-05-15
13429,112,3,34586.0166667,2017-05-16
13359,122,2,34515.0833333,2017-05-17
12921,105,1,32415.5166667,2017-05-18
14544,128,3,36782.0333333,2017-05-19
15957,129,1,39823.25,2017-05-20
12376,99,4,30427.1666667,2017-05-21
11179,102,1,28281.5,2017-05-22
