dailyViewcount,numShare,numSubscriber,watchTime,date
248867,9963,619,687732.316667,2016-09-09
368715,12392,1125,927396.65,2016-09-10
463774,14808,1274,1256259.33333,2016-09-11
613542,16343,1489,1725585.05,2016-09-12
517280,11700,767,1545146.55,2016-09-13
729755,15924,863,2019988.86667,2016-09-14
556255,11217,662,1700941.11667,2016-09-15
499711,9518,564,1505569.93333,2016-09-16
543502,8475,581,1615975.68333,2016-09-17
569054,9482,599,1721667.23333,2016-09-18
578110,9863,527,1796521.21667,2016-09-19
606578,9819,525,1887370.56667,2016-09-20
601239,9284,518,1891905.75,2016-09-21
595346,8619,447,1902869.63333,2016-09-22
579273,7614,352,1788756.48333,2016-09-23
633123,7662,500,1901471.51667,2016-09-24
667315,8422,505,2047130.33333,2016-09-25
650258,8407,455,2064330.8,2016-09-26
655439,8473,471,2089222.8,2016-09-27
683920,8815,472,2159138.45,2016-09-28
703635,8933,466,2228507.56667,2016-09-29
710213,7941,479,2183633.51667,2016-09-30
810729,8882,622,2387296.08333,2016-10-01
814875,9215,588,2445651.26667,2016-10-02
817141,9549,591,2498985.56667,2016-10-03
824509,9010,586,2525245.95,2016-10-04
802074,9096,585,2472812.81667,2016-10-05
831144,9398,503,2538581.73333,2016-10-06
909863,9138,573,2690753.26667,2016-10-07
891473,9266,520,2614033.4,2016-10-08
933182,12193,568,2775451.71667,2016-10-09
919292,10893,549,2845509.83333,2016-10-10
958076,10710,544,2933947.86667,2016-10-11
966918,10222,559,2935915.55,2016-10-12
984584,10054,550,2974715.6,2016-10-13
1004227,9366,597,2944208.7,2016-10-14
1089992,9688,611,3127547.08333,2016-10-15
1060196,10623,584,3096932.25,2016-10-16
1023600,9710,558,3018471.38333,2016-10-17
1054279,9899,568,3061282.26667,2016-10-18
1041884,9828,600,3062932.26667,2016-10-19
1034234,10226,559,3034207.35,2016-10-20
1056418,9602,629,3010156.78333,2016-10-21
1095144,9663,668,3080562.7,2016-10-22
1050938,10489,625,3016388.96667,2016-10-23
1053178,9853,595,3086123.38333,2016-10-24
1063450,9685,587,3106744.66667,2016-10-25
1063602,9679,501,3115735.61667,2016-10-26
1080614,10115,568,3139949.9,2016-10-27
1074819,9321,506,3068476.55,2016-10-28
1076477,9280,576,3023436.73333,2016-10-29
1069231,10611,610,3056709.05,2016-10-30
1019555,9229,562,2971995.43333,2016-10-31
1132620,11636,644,3279817.8,2016-11-01
1153606,11797,617,3366353.96667,2016-11-02
1147727,11607,623,3346537.6,2016-11-03
1181759,11373,624,3369718.13333,2016-11-04
1236406,11391,660,3455147.31667,2016-11-05
1227399,12198,667,3504608.31667,2016-11-06
1147338,11171,586,3351786.05,2016-11-07
