dailyViewcount,numShare,numSubscriber,watchTime,date
67,0,1,114.033333333,2016-03-27
915,22,1,1888.8,2016-03-28
2434,48,3,7353.3,2016-03-29
3228,45,0,9300.86666667,2016-03-30
4942,71,2,13995.5666667,2016-03-31
40867,321,20,105973.033333,2016-04-01
66368,402,20,160291.933333,2016-04-02
94140,553,31,211700.75,2016-04-03
127650,597,30,292991.516667,2016-04-04
277285,694,49,622543.066667,2016-04-05
302089,580,39,681563.166667,2016-04-06
414696,650,41,960927.35,2016-04-07
246346,558,22,567552.883333,2016-04-08
182473,586,25,380262.383333,2016-04-09
167978,565,26,344187.483333,2016-04-10
177022,597,26,389908.55,2016-04-11
176738,481,30,391349.683333,2016-04-12
161967,549,28,380617.566667,2016-04-13
173324,471,23,408389.566667,2016-04-14
187881,515,28,433463.7,2016-04-15
188943,489,28,428448.316667,2016-04-16
184543,494,31,406186.833333,2016-04-17
191362,424,32,436638.966667,2016-04-18
172726,403,21,404126.883333,2016-04-19
167456,441,15,398199.25,2016-04-20
210085,483,20,493174.533333,2016-04-21
241498,426,26,573852.816667,2016-04-22
217310,470,22,510155.483333,2016-04-23
172635,501,19,405308.733333,2016-04-24
177565,442,24,426824.316667,2016-04-25
162943,466,19,384745.033333,2016-04-26
152676,451,21,363617.316667,2016-04-27
150652,580,18,357727.616667,2016-04-28
145850,600,13,349210.566667,2016-04-29
143517,578,20,335727.166667,2016-04-30
121655,588,9,284032.433333,2016-05-01
127769,551,10,309020.683333,2016-05-02
125795,526,18,302415.25,2016-05-03
123175,498,16,290039.233333,2016-05-04
121446,493,13,291314.05,2016-05-05
127476,455,14,300855.383333,2016-05-06
124179,466,6,289888.15,2016-05-07
105471,416,5,247236.35,2016-05-08
110756,509,17,267667.433333,2016-05-09
110093,445,13,267317.883333,2016-05-10
110561,461,9,269276.116667,2016-05-11
109096,420,15,264143.2,2016-05-12
107445,397,8,260698.583333,2016-05-13
105119,347,10,248875.1,2016-05-14
93116,435,9,220688.616667,2016-05-15
95031,371,8,230413.016667,2016-05-16
94672,375,5,233303.183333,2016-05-17
91835,379,10,225410.05,2016-05-18
96168,385,16,235180.583333,2016-05-19
100753,375,9,244666.15,2016-05-20
92778,334,10,221015.75,2016-05-21
80228,336,10,190474.183333,2016-05-22
82573,388,7,203375.6,2016-05-23
83919,381,6,203908.083333,2016-05-24
88605,353,6,213418.583333,2016-05-25
89841,395,5,217935.5,2016-05-26
87079,331,5,210291.566667,2016-05-27
80543,371,7,191019.433333,2016-05-28
76416,321,5,179783.2,2016-05-29
77195,325,7,181385.716667,2016-05-30
81468,314,5,195311.4,2016-05-31
82233,289,3,198224.8,2016-06-01
80134,277,5,192578.616667,2016-06-02
84590,290,5,200735.266667,2016-06-03
81657,293,9,191143.516667,2016-06-04
69623,317,7,161024.05,2016-06-05
73315,324,4,175207.2,2016-06-06
69655,274,6,169060.166667,2016-06-07
70195,290,7,167239.9,2016-06-08
71113,263,6,170279.783333,2016-06-09
70912,260,7,170094.016667,2016-06-10
67644,249,4,159907.916667,2016-06-11
58686,239,9,136321.4,2016-06-12
60524,211,5,144570.65,2016-06-13
65825,248,7,154511.283333,2016-06-14
70650,263,8,165686.816667,2016-06-15
73474,228,8,169197.933333,2016-06-16
76512,248,6,178739.866667,2016-06-17
68372,217,4,158802.133333,2016-06-18
56463,208,1,128360.366667,2016-06-19
62403,237,6,143952.1,2016-06-20
63065,203,7,147184.65,2016-06-21
63038,223,0,145870.833333,2016-06-22
65564,231,5,150795.333333,2016-06-23
102056,367,15,194899.866667,2016-06-24
294108,806,19,380944.466667,2016-06-25
236925,561,16,314547.666667,2016-06-26
238795,614,26,332544.966667,2016-06-27
216320,531,26,312039.4,2016-06-28
146151,452,10,258543.9,2016-06-29
102179,331,6,210314.3,2016-06-30
85882,340,11,192613.45,2016-07-01
72753,307,4,166992.566667,2016-07-02
64551,264,7,149747.25,2016-07-03
64146,221,4,147746.183333,2016-07-04
63980,230,4,150803.483333,2016-07-05
64557,224,4,151926.166667,2016-07-06
63672,275,3,148575.95,2016-07-07
66015,239,11,155118.016667,2016-07-08
62075,196,5,143463.683333,2016-07-09
54858,212,8,125681.033333,2016-07-10
58573,232,1,138411.933333,2016-07-11
57320,195,3,133343.8,2016-07-12
57679,181,6,125439.716667,2016-07-13
56259,172,8,116482.183333,2016-07-14
56464,179,6,120323.0,2016-07-15
51309,153,6,107653.55,2016-07-16
53841,266,6,111447.133333,2016-07-17
102835,578,8,222304.816667,2016-07-18
89348,376,8,199543.033333,2016-07-19
75864,312,11,173827.733333,2016-07-20
71016,296,8,163117.333333,2016-07-21
67674,282,3,158195.5,2016-07-22
61743,246,6,145631.6,2016-07-23
55296,266,7,128841.133333,2016-07-24
56914,263,1,135362.483333,2016-07-25
60887,287,6,143376.316667,2016-07-26
61906,293,7,148195.25,2016-07-27
64546,260,5,155344.066667,2016-07-28
68760,249,4,162946.333333,2016-07-29
62685,226,3,145707.933333,2016-07-30
55548,216,3,127031.133333,2016-07-31
60183,232,9,142208.916667,2016-08-01
57133,222,6,135814.5,2016-08-02
56953,185,5,135202.733333,2016-08-03
56552,196,3,132718.216667,2016-08-04
60748,192,3,143367.2,2016-08-05
55907,184,5,129968.45,2016-08-06
50699,184,9,116933.733333,2016-08-07
53001,216,7,123305.45,2016-08-08
51929,191,6,122067.866667,2016-08-09
50623,156,3,119561.55,2016-08-10
51468,161,1,120695.566667,2016-08-11
52821,159,1,122950.516667,2016-08-12
51265,155,2,117693.533333,2016-08-13
46932,190,1,105926.266667,2016-08-14
48325,168,1,112620.066667,2016-08-15
48109,145,4,113561.733333,2016-08-16
48786,181,1,115404.716667,2016-08-17
47680,173,6,112083.983333,2016-08-18
51667,140,2,120824.316667,2016-08-19
52577,168,1,121479.2,2016-08-20
46245,169,2,106485.3,2016-08-21
47208,150,5,112584.466667,2016-08-22
47131,135,4,112886.933333,2016-08-23
47913,154,8,114132.033333,2016-08-24
48865,173,5,115446.25,2016-08-25
51102,135,4,119000.6,2016-08-26
52855,178,6,120734.883333,2016-08-27
52202,259,7,115946.5,2016-08-28
62316,273,8,145393.95,2016-08-29
63301,250,6,150273.583333,2016-08-30
68029,216,4,160949.883333,2016-08-31
68044,198,8,161129.683333,2016-09-01
71779,200,6,166976.066667,2016-09-02
68945,204,1,158663.533333,2016-09-03
63198,199,4,144358.333333,2016-09-04
60467,199,4,139052.566667,2016-09-05
59155,201,3,140692.85,2016-09-06
66714,207,5,159904.15,2016-09-07
64299,184,8,155086.95,2016-09-08
66932,156,5,160597.016667,2016-09-09
72054,178,7,167127.166667,2016-09-10
60132,192,6,140953.983333,2016-09-11
59892,190,7,144618.833333,2016-09-12
60446,157,2,144559.65,2016-09-13
60080,160,4,143627.65,2016-09-14
59896,141,4,144923.05,2016-09-15
64540,161,5,152467.75,2016-09-16
67130,155,3,154977.55,2016-09-17
55712,148,3,128805.733333,2016-09-18
56646,137,2,135166.233333,2016-09-19
55153,143,1,131775.366667,2016-09-20
55503,141,4,132563.866667,2016-09-21
55330,128,2,132532.266667,2016-09-22
59878,130,3,141380.216667,2016-09-23
58077,160,3,134511.566667,2016-09-24
49854,154,2,116274.766667,2016-09-25
50013,121,6,118415.366667,2016-09-26
51342,128,5,121131.783333,2016-09-27
52840,138,4,124639.583333,2016-09-28
51380,132,4,121268.116667,2016-09-29
56058,109,5,131816.4,2016-09-30
54546,138,1,126755.333333,2016-10-01
45370,149,5,105247.483333,2016-10-02
47246,110,4,113052.3,2016-10-03
48742,127,4,115625.366667,2016-10-04
50779,108,2,119462.7,2016-10-05
52961,129,3,124723.233333,2016-10-06
57237,112,5,134554.066667,2016-10-07
51657,109,3,119993.633333,2016-10-08
44338,159,2,101965.2,2016-10-09
48993,122,5,115082.283333,2016-10-10
49149,97,1,116485.15,2016-10-11
51147,118,8,119971.6,2016-10-12
51480,133,3,121801.85,2016-10-13
55895,105,2,129194.266667,2016-10-14
53826,128,3,121495.35,2016-10-15
46032,113,2,103539.366667,2016-10-16
47561,112,2,110515.5,2016-10-17
47134,107,1,110483.283333,2016-10-18
48327,4243,2,113301.216667,2016-10-19
48588,108,3,114517.25,2016-10-20
51448,91,3,120062.55,2016-10-21
49162,116,1,112846.6,2016-10-22
44488,123,5,101952.716667,2016-10-23
47684,119,2,113100.466667,2016-10-24
46249,92,4,110810.4,2016-10-25
48328,94,2,116821.133333,2016-10-26
49753,107,6,119483.983333,2016-10-27
53109,107,3,127515.4,2016-10-28
52717,111,6,123394.333333,2016-10-29
42343,87,2,100003.433333,2016-10-30
42169,76,4,104570.583333,2016-10-31
42736,86,-1,104134.533333,2016-11-01
44978,109,1,107886.05,2016-11-02
45263,126,1,109870.55,2016-11-03
46344,95,1,110640.466667,2016-11-04
44885,93,4,105460.916667,2016-11-05
40951,129,2,95832.35,2016-11-06
42906,93,2,102936.1,2016-11-07
40789,107,2,97234.3666667,2016-11-08
38685,84,3,91856.9166667,2016-11-09
40052,107,6,95771.6833333,2016-11-10
43560,115,0,102141.45,2016-11-11
42624,87,5,99130.1333333,2016-11-12
35577,96,0,82925.8,2016-11-13
36421,78,2,87363.0333333,2016-11-14
36143,107,2,86834.0,2016-11-15
37491,72,3,89916.3666667,2016-11-16
38574,97,2,91803.6333333,2016-11-17
38963,78,5,93128.6166667,2016-11-18
35563,75,3,83978.6333333,2016-11-19
30184,101,2,70840.6166667,2016-11-20
33797,93,0,79648.0833333,2016-11-21
35367,106,2,83972.8833333,2016-11-22
40094,94,5,94694.8333333,2016-11-23
34514,65,0,79589.8333333,2016-11-24
