dailyViewcount,numShare,numSubscriber,watchTime,date
171149,1995,566,675122.766667,2013-03-25
519923,4024,1336,1853082.11667,2013-03-26
585187,2325,837,1796633.08333,2013-03-27
537021,1639,664,1619951.03333,2013-03-28
471270,1335,587,1374818.93333,2013-03-29
421784,1190,539,1181096.5,2013-03-30
364265,1034,466,1019001.53333,2013-03-31
321011,1049,482,1006619.35,2013-04-01
189035,701,316,654650.966667,2013-04-02
160262,615,211,553946.916667,2013-04-03
139028,521,218,483432.616667,2013-04-04
142947,499,185,499641.933333,2013-04-05
136347,406,153,472807.733333,2013-04-06
114406,335,132,390532.15,2013-04-07
114897,359,145,392637.1,2013-04-08
126914,359,109,419985.95,2013-04-09
154820,377,187,503234.933333,2013-04-10
144944,366,171,481178.616667,2013-04-11
160975,398,154,531372.783333,2013-04-12
162438,417,179,541608.283333,2013-04-13
132306,322,127,438103.433333,2013-04-14
108573,308,140,390326.866667,2013-04-15
97571,254,96,362424.983333,2013-04-16
94031,276,118,355891.266667,2013-04-17
94206,266,114,360503.133333,2013-04-18
105013,286,80,404991.466667,2013-04-19
105372,274,120,410209.7,2013-04-20
85226,263,120,328010.7,2013-04-21
80052,266,89,310571.333333,2013-04-22
78469,250,87,305866.533333,2013-04-23
86399,263,105,336497.666667,2013-04-24
86019,227,85,338293.85,2013-04-25
95587,270,108,373571.4,2013-04-26
98717,212,88,384244.516667,2013-04-27
80852,222,89,313031.666667,2013-04-28
79987,257,97,310936.85,2013-04-29
80117,210,77,312087.9,2013-04-30
79506,195,91,307534.983333,2013-05-01
82147,229,89,320832.733333,2013-05-02
90706,251,84,351294.016667,2013-05-03
94738,209,88,367044.016667,2013-05-04
80070,164,87,309306.7,2013-05-05
72890,186,80,281926.416667,2013-05-06
75814,173,68,293823.95,2013-05-07
77984,195,85,302988.433333,2013-05-08
81445,169,67,317028.45,2013-05-09
72056,196,81,285152.733333,2013-05-10
81796,203,78,317209.2,2013-05-11
64857,190,60,253274.25,2013-05-12
62419,156,75,243533.483333,2013-05-13
66387,151,89,255341.933333,2013-05-14
85974,184,95,318876.483333,2013-05-15
83552,230,85,318901.483333,2013-05-16
100314,257,96,379901.033333,2013-05-17
105145,201,83,392137.316667,2013-05-18
88619,219,88,324029.916667,2013-05-19
85612,185,86,319205.333333,2013-05-20
86507,180,84,318235.533333,2013-05-21
86595,194,95,315576.583333,2013-05-22
94801,239,99,347670.133333,2013-05-23
107469,209,92,393015.966667,2013-05-24
109166,190,99,396725.25,2013-05-25
93998,182,106,342301.65,2013-05-26
88199,202,85,322586.433333,2013-05-27
89210,205,95,322539.583333,2013-05-28
91527,219,93,330975.55,2013-05-29
93475,176,100,340383.516667,2013-05-30
94837,183,94,358864.383333,2013-05-31
96121,192,78,359318.716667,2013-06-01
80760,173,86,299728.416667,2013-06-02
78943,156,94,295582.45,2013-06-03
81615,168,86,307686.683333,2013-06-04
