dailyViewcount,numShare,numSubscriber,watchTime,date
7668,120,4,20691.0,2015-10-02
9186,98,5,28048.25,2015-10-03
15752,132,13,48344.5833333,2015-10-04
13108,164,6,42972.05,2015-10-05
19070,188,7,61844.9,2015-10-06
23651,199,11,76176.05,2015-10-07
27796,225,14,88338.8666667,2015-10-08
27111,203,10,87293.7166667,2015-10-09
27678,152,13,88326.3666667,2015-10-10
26591,180,7,85334.55,2015-10-11
33285,237,16,106982.566667,2015-10-12
35271,218,10,113599.633333,2015-10-13
35959,220,10,116744.05,2015-10-14
37584,184,20,122803.316667,2015-10-15
36892,200,15,120476.166667,2015-10-16
36671,171,13,116686.283333,2015-10-17
39719,261,14,127010.916667,2015-10-18
44146,237,12,144550.383333,2015-10-19
42133,204,14,137848.766667,2015-10-20
44751,200,17,144853.45,2015-10-21
49365,242,24,159518.65,2015-10-22
47244,223,17,150673.366667,2015-10-23
50258,248,22,156751.833333,2015-10-24
52863,256,21,167046.8,2015-10-25
60351,289,26,193329.283333,2015-10-26
63874,269,20,205162.566667,2015-10-27
66312,262,14,212644.566667,2015-10-28
59868,281,21,190916.816667,2015-10-29
54984,220,14,175337.466667,2015-10-30
54951,202,13,172002.016667,2015-10-31
65664,288,23,205435.35,2015-11-01
73384,312,31,233827.816667,2015-11-02
72482,307,18,233112.116667,2015-11-03
77918,339,36,248860.883333,2015-11-04
80944,326,27,258418.866667,2015-11-05
73370,305,19,233016.4,2015-11-06
70003,350,19,218441.083333,2015-11-07
80324,368,27,250300.05,2015-11-08
89183,360,31,283025.416667,2015-11-09
93590,405,23,296931.75,2015-11-10
93902,400,23,299454.683333,2015-11-11
97767,445,21,311737.116667,2015-11-12
91882,326,20,289803.85,2015-11-13
89116,374,19,278572.983333,2015-11-14
89180,435,20,279103.066667,2015-11-15
94424,380,35,300438.683333,2015-11-16
89643,381,24,283839.95,2015-11-17
91407,417,29,288922.05,2015-11-18
91951,349,25,291612.5,2015-11-19
89170,395,19,280950.383333,2015-11-20
94044,381,18,291777.2,2015-11-21
95932,453,16,297596.016667,2015-11-22
104775,446,30,331951.733333,2015-11-23
104040,414,34,327066.4,2015-11-24
109234,448,33,342983.816667,2015-11-25
96090,320,20,300037.7,2015-11-26
87083,370,25,271270.7,2015-11-27
93199,473,22,287608.3,2015-11-28
98003,491,26,309180.65,2015-11-29
108135,465,21,338086.7,2015-11-30
105666,475,22,335144.833333,2015-12-01
108419,518,35,346974.266667,2015-12-02
113293,436,28,361189.7,2015-12-03
111396,394,12,353368.383333,2015-12-04
110158,509,25,342284.316667,2015-12-05
110433,466,28,349433.233333,2015-12-06
113862,444,26,368235.883333,2015-12-07
92869,424,21,300780.733333,2015-12-08
95937,426,21,313524.9,2015-12-09
115324,495,18,372727.183333,2015-12-10
113259,443,18,364420.233333,2015-12-11
108639,450,17,338113.383333,2015-12-12
108074,539,32,340802.833333,2015-12-13
117219,521,32,375132.3,2015-12-14
119318,478,25,382188.616667,2015-12-15
124798,533,22,399530.366667,2015-12-16
126721,532,31,404798.783333,2015-12-17
119659,500,21,379441.866667,2015-12-18
116146,494,22,365865.166667,2015-12-19
116079,487,29,364490.016667,2015-12-20
129196,550,22,408633.583333,2015-12-21
131365,593,21,414046.9,2015-12-22
136167,552,18,428694.616667,2015-12-23
135574,442,20,426826.733333,2015-12-24
112989,464,13,349471.933333,2015-12-25
117654,504,18,360309.0,2015-12-26
128023,592,28,391152.766667,2015-12-27
135859,614,35,423507.883333,2015-12-28
137696,687,26,428703.7,2015-12-29
145778,640,24,452581.35,2015-12-30
157374,463,35,494650.5,2015-12-31
121401,549,25,364529.3,2016-01-01
126397,609,22,379587.4,2016-01-02
130394,621,28,395376.216667,2016-01-03
140630,702,31,436636.333333,2016-01-04
139030,692,28,430176.066667,2016-01-05
142176,620,23,440672.616667,2016-01-06
141470,630,27,444550.166667,2016-01-07
128882,575,25,404032.033333,2016-01-08
133992,586,28,406508.1,2016-01-09
134296,674,31,408869.083333,2016-01-10
140503,653,32,438924.266667,2016-01-11
143953,642,28,452217.716667,2016-01-12
151177,611,42,477327.016667,2016-01-13
144799,673,30,455762.416667,2016-01-14
144777,582,35,451390.883333,2016-01-15
144786,644,27,441077.183333,2016-01-16
133925,659,24,404776.366667,2016-01-17
141841,768,27,436734.95,2016-01-18
139652,655,25,437565.0,2016-01-19
143447,695,29,448752.5,2016-01-20
146502,655,35,456401.866667,2016-01-21
147208,605,22,453874.816667,2016-01-22
150573,678,30,458250.516667,2016-01-23
144021,682,28,441268.133333,2016-01-24
145058,612,37,455372.733333,2016-01-25
148884,830,31,464565.85,2016-01-26
150351,697,30,466808.183333,2016-01-27
149807,698,31,465149.366667,2016-01-28
144602,639,24,453192.666667,2016-01-29
144866,618,28,448716.35,2016-01-30
142451,711,28,439938.45,2016-01-31
149841,621,41,465973.5,2016-02-01
146336,751,19,456502.15,2016-02-02
144652,636,28,449706.816667,2016-02-03
145277,591,27,452516.5,2016-02-04
148354,596,40,456279.066667,2016-02-05
152024,616,26,461250.65,2016-02-06
132478,557,28,405429.833333,2016-02-07
133448,677,24,417015.1,2016-02-08
136824,639,22,427124.15,2016-02-09
140681,591,37,437792.366667,2016-02-10
141953,614,26,439683.066667,2016-02-11
140523,542,20,434065.583333,2016-02-12
146373,599,13,440117.033333,2016-02-13
136511,568,20,413237.083333,2016-02-14
140397,655,25,426992.783333,2016-02-15
135478,552,23,417970.233333,2016-02-16
138238,554,31,424028.333333,2016-02-17
136778,665,26,419145.966667,2016-02-18
136199,531,17,409718.6,2016-02-19
142086,621,27,425349.416667,2016-02-20
134269,659,25,407564.9,2016-02-21
127738,635,31,391930.05,2016-02-22
123322,613,24,376599.5,2016-02-23
122394,565,28,377564.066667,2016-02-24
123748,583,26,381063.15,2016-02-25
123716,466,20,377343.55,2016-02-26
118043,494,11,356616.6,2016-02-27
114505,540,17,350635.833333,2016-02-28
117798,488,19,364990.1,2016-02-29
116962,488,23,364263.633333,2016-03-01
119488,549,23,372284.866667,2016-03-02
131600,535,26,410740.783333,2016-03-03
134913,475,23,418167.716667,2016-03-04
131930,528,30,400929.233333,2016-03-05
133700,603,20,416581.55,2016-03-06
126718,595,25,397732.933333,2016-03-07
132815,505,19,414318.516667,2016-03-08
133206,491,25,414115.25,2016-03-09
140277,545,25,434387.35,2016-03-10
151537,507,25,459870.233333,2016-03-11
151992,588,23,459303.666667,2016-03-12
140245,657,29,425639.183333,2016-03-13
136338,642,21,420587.116667,2016-03-14
144665,614,21,447475.566667,2016-03-15
146007,626,29,449822.333333,2016-03-16
150928,643,21,467756.733333,2016-03-17
150117,553,29,467201.933333,2016-03-18
144856,563,33,441257.583333,2016-03-19
143285,621,15,442391.083333,2016-03-20
146267,603,26,455700.883333,2016-03-21
147300,586,23,459655.033333,2016-03-22
146778,666,34,454432.683333,2016-03-23
147796,572,35,453180.033333,2016-03-24
143470,527,18,440759.633333,2016-03-25
109530,546,26,338825.266667,2016-03-26
94260,506,13,286391.65,2016-03-27
127472,595,22,393753.783333,2016-03-28
132131,558,21,410828.6,2016-03-29
129089,589,18,399465.9,2016-03-30
123378,540,21,378604.133333,2016-03-31
123568,498,23,370996.116667,2016-04-01
117971,552,29,350384.5,2016-04-02
115630,600,19,347808.5,2016-04-03
117536,562,20,360399.833333,2016-04-04
120071,569,19,365073.716667,2016-04-05
121585,556,33,370260.816667,2016-04-06
127323,602,30,387603.5,2016-04-07
121905,530,19,365160.2,2016-04-08
109222,501,12,321510.05,2016-04-09
102635,550,8,307522.616667,2016-04-10
103041,504,16,309826.566667,2016-04-11
107724,523,15,328949.566667,2016-04-12
103297,477,21,316711.0,2016-04-13
102179,442,20,308601.166667,2016-04-14
106042,389,23,321390.033333,2016-04-15
98789,409,15,291819.1,2016-04-16
98378,489,15,297521.583333,2016-04-17
109561,438,17,333788.866667,2016-04-18
110998,462,16,336766.45,2016-04-19
108194,446,21,333634.566667,2016-04-20
110745,568,21,337099.683333,2016-04-21
109564,483,15,329013.316667,2016-04-22
107843,478,13,322342.966667,2016-04-23
97475,510,14,292454.95,2016-04-24
101500,499,15,309777.5,2016-04-25
103886,490,21,316772.583333,2016-04-26
97088,453,16,300684.25,2016-04-27
103380,585,23,314337.816667,2016-04-28
101655,563,12,303034.166667,2016-04-29
92839,603,10,275294.733333,2016-04-30
87326,617,16,260876.583333,2016-05-01
100999,607,18,303259.45,2016-05-02
103949,587,19,310209.983333,2016-05-03
100825,556,20,300522.2,2016-05-04
104724,580,26,313392.4,2016-05-05
101868,503,20,308030.683333,2016-05-06
102607,506,14,304602.533333,2016-05-07
92514,515,18,277651.716667,2016-05-08
94474,529,17,283468.966667,2016-05-09
97513,604,22,291443.183333,2016-05-10
99061,604,13,295479.55,2016-05-11
101130,527,18,299541.666667,2016-05-12
95358,475,10,279539.716667,2016-05-13
93797,481,17,274465.333333,2016-05-14
84783,532,10,249204.25,2016-05-15
85073,531,19,254244.966667,2016-05-16
81861,511,12,248188.766667,2016-05-17
81751,483,17,242808.3,2016-05-18
83516,508,22,250345.016667,2016-05-19
85004,510,14,252636.516667,2016-05-20
84542,435,14,249894.7,2016-05-21
79806,567,13,237842.75,2016-05-22
80510,471,17,245737.55,2016-05-23
84749,556,11,254226.616667,2016-05-24
84056,545,12,253334.916667,2016-05-25
87743,506,16,262907.1,2016-05-26
87248,469,10,259429.3,2016-05-27
81842,451,6,246224.05,2016-05-28
77932,442,16,229082.783333,2016-05-29
76251,558,5,226277.633333,2016-05-30
78011,461,11,232077.983333,2016-05-31
83239,570,13,243460.7,2016-06-01
94211,571,14,277656.383333,2016-06-02
91253,558,19,270004.25,2016-06-03
87027,544,10,257059.0,2016-06-04
82439,570,14,242003.766667,2016-06-05
85441,520,11,256842.4,2016-06-06
84547,537,13,253133.166667,2016-06-07
81872,539,7,246358.9,2016-06-08
82871,495,15,250866.75,2016-06-09
80011,498,12,241223.2,2016-06-10
80260,435,12,240837.133333,2016-06-11
81328,505,17,246173.933333,2016-06-12
84046,537,17,257973.716667,2016-06-13
86517,543,15,264721.833333,2016-06-14
79197,504,11,241943.366667,2016-06-15
76358,556,12,232274.983333,2016-06-16
76858,511,7,231787.333333,2016-06-17
75988,477,11,227231.833333,2016-06-18
66916,454,7,199452.283333,2016-06-19
71444,553,9,216510.333333,2016-06-20
71793,480,15,218522.05,2016-06-21
71314,518,7,216199.333333,2016-06-22
78628,535,15,237066.05,2016-06-23
72806,519,9,220155.816667,2016-06-24
72039,511,13,215434.55,2016-06-25
71081,705,8,203397.283333,2016-06-26
