dailyViewcount,numShare,numSubscriber,watchTime,date
49844,1134,22,114082.866667,2016-10-28
31325,530,21,78241.0166667,2016-10-29
43074,767,18,104974.916667,2016-10-30
96591,1131,31,282254.0,2016-10-31
141802,1352,53,405438.833333,2016-11-01
158860,1585,75,447033.45,2016-11-02
140856,1399,60,408491.566667,2016-11-03
128203,1018,40,379258.766667,2016-11-04
114283,899,20,334874.4,2016-11-05
118338,929,24,348441.816667,2016-11-06
150835,991,29,454354.233333,2016-11-07
149033,928,27,446257.133333,2016-11-08
138436,934,23,419446.866667,2016-11-09
137327,832,20,418020.95,2016-11-10
146271,826,15,435698.733333,2016-11-11
143960,860,28,423872.483333,2016-11-12
116887,800,21,340268.9,2016-11-13
133787,819,22,399637.7,2016-11-14
133796,830,27,396930.283333,2016-11-15
132798,743,18,395881.466667,2016-11-16
136392,783,24,406160.783333,2016-11-17
147992,691,14,439777.333333,2016-11-18
146942,667,24,428492.516667,2016-11-19
125417,677,21,366052.916667,2016-11-20
137217,663,20,406984.616667,2016-11-21
136430,638,21,405646.233333,2016-11-22
142694,626,15,422407.283333,2016-11-23
130273,633,14,382725.45,2016-11-24
126762,548,13,374472.35,2016-11-25
124161,507,16,365560.5,2016-11-26
90311,495,17,272370.433333,2016-11-27
94515,447,15,288747.4,2016-11-28
95372,452,10,289278.916667,2016-11-29
96430,437,11,292783.066667,2016-11-30
96534,454,9,292806.166667,2016-12-01
95886,414,8,287596.233333,2016-12-02
91050,397,4,269240.316667,2016-12-03
72455,383,11,214911.683333,2016-12-04
75849,340,12,228380.583333,2016-12-05
73824,352,11,222863.0,2016-12-06
74319,346,11,223613.133333,2016-12-07
73000,354,8,220606.233333,2016-12-08
76695,303,12,228892.616667,2016-12-09
73505,274,4,218508.4,2016-12-10
57563,287,7,169330.75,2016-12-11
60767,295,7,182719.45,2016-12-12
58828,279,7,176080.183333,2016-12-13
57582,269,14,172800.716667,2016-12-14
58311,278,9,174506.95,2016-12-15
63846,281,6,191674.466667,2016-12-16
59943,259,4,175741.183333,2016-12-17
50409,278,9,148256.933333,2016-12-18
56681,282,3,167721.466667,2016-12-19
56731,264,8,167753.666667,2016-12-20
55863,267,8,166364.033333,2016-12-21
56298,231,12,167115.366667,2016-12-22
60244,236,6,178750.883333,2016-12-23
56420,214,6,167168.7,2016-12-24
50598,231,4,145379.166667,2016-12-25
48730,240,8,141869.4,2016-12-26
49790,248,4,147082.266667,2016-12-27
48712,227,8,143422.983333,2016-12-28
48748,227,5,143419.933333,2016-12-29
53910,236,5,157294.783333,2016-12-30
61347,188,6,179452.633333,2016-12-31
41984,191,3,118310.65,2017-01-01
42416,214,8,120132.883333,2017-01-02
41742,226,6,120572.933333,2017-01-03
