dailyViewcount,numShare,numSubscriber,watchTime,date
80088,2221,59,160370.133333,2016-06-13
64833,1566,53,143720.783333,2016-06-14
88054,2089,97,204054.183333,2016-06-15
137353,2597,131,286948.483333,2016-06-16
176737,2813,162,379551.016667,2016-06-17
150393,2469,124,328574.466667,2016-06-18
112462,1882,121,267122.55,2016-06-19
103110,1690,79,267380.316667,2016-06-20
100655,1667,60,269876.5,2016-06-21
104310,1681,62,278015.333333,2016-06-22
128551,1877,87,342351.2,2016-06-23
140258,1751,81,382136.516667,2016-06-24
122676,1609,60,337782.116667,2016-06-25
132770,5060,65,346178.016667,2016-06-26
213514,5032,95,650736.9,2016-06-27
205184,3520,85,625400.383333,2016-06-28
216510,3232,103,633494.966667,2016-06-29
234568,3443,83,670949.883333,2016-06-30
260547,3273,79,745841.966667,2016-07-01
260061,3140,62,735746.583333,2016-07-02
247823,2760,80,687944.85,2016-07-03
246590,2436,53,689481.616667,2016-07-04
202232,2488,47,569343.6,2016-07-05
219605,2521,51,614361.883333,2016-07-06
211121,2422,48,587853.6,2016-07-07
229277,2424,46,642400.633333,2016-07-08
263448,2695,45,726137.9,2016-07-09
240546,2683,60,654700.683333,2016-07-10
268448,2590,67,737341.4,2016-07-11
306338,2907,73,827744.5,2016-07-12
355736,3044,92,955331.983333,2016-07-13
360711,3118,96,975348.466667,2016-07-14
368791,2922,91,1013586.33333,2016-07-15
360046,2884,81,983653.25,2016-07-16
330419,2855,83,882142.866667,2016-07-17
405312,3263,108,1095068.38333,2016-07-18
385914,3253,110,1064621.56667,2016-07-19
353859,3214,84,985776.4,2016-07-20
365348,3399,116,1010980.53333,2016-07-21
369002,3356,88,1035014.85,2016-07-22
336817,3160,70,943692.5,2016-07-23
287856,3191,70,792956.683333,2016-07-24
297917,2901,71,831580.916667,2016-07-25
316916,2931,76,877248.3,2016-07-26
323916,3131,66,897118.033333,2016-07-27
324022,2981,83,894086.05,2016-07-28
354867,2970,69,988879.883333,2016-07-29
358735,2862,66,980041.816667,2016-07-30
323257,2876,72,868929.2,2016-07-31
331093,2716,78,903360.033333,2016-08-01
339980,2850,51,929373.033333,2016-08-02
348766,2951,64,952544.85,2016-08-03
335116,2720,58,926373.2,2016-08-04
389729,3007,77,1063555.3,2016-08-05
395259,3122,55,1074304.58333,2016-08-06
345657,3082,72,919986.366667,2016-08-07
326976,3221,66,875358.25,2016-08-08
309773,2953,59,824487.533333,2016-08-09
296823,2523,51,788384.883333,2016-08-10
297182,2283,40,793252.35,2016-08-11
301924,2155,36,806465.816667,2016-08-12
300122,2100,32,793529.583333,2016-08-13
252280,1979,28,653141.9,2016-08-14
249943,1800,26,663487.95,2016-08-15
245186,1837,24,653046.333333,2016-08-16
246710,1694,39,658270.983333,2016-08-17
237355,1636,32,644167.216667,2016-08-18
238386,1700,28,660380.483333,2016-08-19
233132,1598,22,639189.75,2016-08-20
195203,1520,12,526625.316667,2016-08-21
