dailyViewcount,numShare,numSubscriber,watchTime,date
255512,3232,392,534755.7,2016-09-22
137599,1310,103,287992.05,2016-09-23
175954,1687,224,383297.533333,2016-09-24
206456,2278,243,433502.533333,2016-09-25
177332,1864,175,380687.983333,2016-09-26
177452,2006,175,373105.35,2016-09-27
176376,1831,190,354214.283333,2016-09-28
135907,1356,103,296553.95,2016-09-29
147555,1179,102,317117.75,2016-09-30
147438,1287,77,317760.4,2016-10-01
141195,1409,108,302152.15,2016-10-02
131854,1324,115,291128.65,2016-10-03
136556,1362,105,302997.766667,2016-10-04
128055,1112,76,291091.1,2016-10-05
118452,1013,103,280953.0,2016-10-06
121598,931,75,290290.7,2016-10-07
124840,893,77,291755.033333,2016-10-08
112605,976,91,260756.633333,2016-10-09
109238,890,62,259875.466667,2016-10-10
98513,810,65,240935.733333,2016-10-11
104577,848,67,254300.233333,2016-10-12
99519,781,54,246453.25,2016-10-13
110250,803,61,265896.55,2016-10-14
123718,948,80,293613.466667,2016-10-15
107162,913,67,254969.45,2016-10-16
104748,840,62,258301.516667,2016-10-17
102944,808,78,255252.466667,2016-10-18
103641,818,63,256105.783333,2016-10-19
110574,1289,101,275313.666667,2016-10-20
120817,1142,101,302082.116667,2016-10-21
119028,1097,87,292452.366667,2016-10-22
100904,969,79,250515.916667,2016-10-23
95480,862,62,242289.083333,2016-10-24
96053,860,57,244304.183333,2016-10-25
93773,865,62,241008.7,2016-10-26
97508,896,62,250023.8,2016-10-27
105422,845,64,267491.733333,2016-10-28
111141,895,60,276897.983333,2016-10-29
94332,822,56,237208.6,2016-10-30
92283,834,58,240681.6,2016-10-31
93853,913,62,243481.433333,2016-11-01
105115,1125,86,266264.233333,2016-11-02
103362,959,78,268568.866667,2016-11-03
134584,1837,100,340537.316667,2016-11-04
160856,2327,103,399799.316667,2016-11-05
157504,2401,90,391044.616667,2016-11-06
121221,1242,84,317134.65,2016-11-07
115341,1063,80,301337.733333,2016-11-08
109555,944,58,283243.366667,2016-11-09
117747,1041,65,303845.05,2016-11-10
127471,1105,77,324927.783333,2016-11-11
133492,1217,76,334577.433333,2016-11-12
119828,1192,87,291461.8,2016-11-13
107999,1016,69,272068.0,2016-11-14
107265,968,69,271642.483333,2016-11-15
107223,960,57,270763.716667,2016-11-16
110882,950,57,280418.7,2016-11-17
110802,856,72,278234.55,2016-11-18
114011,882,69,283140.866667,2016-11-19
102314,894,53,250742.983333,2016-11-20
92808,730,48,234537.55,2016-11-21
119042,946,84,284797.016667,2016-11-22
157219,1140,102,354122.516667,2016-11-23
118689,870,47,282950.933333,2016-11-24
111463,883,54,258245.066667,2016-11-25
119794,910,61,273117.883333,2016-11-26
110973,900,57,254713.1,2016-11-27
112569,858,77,260908.75,2016-11-28
114388,893,48,265036.35,2016-11-29
114631,893,73,259837.133333,2016-11-30
93759,747,51,237309.133333,2016-12-01
97510,750,63,246825.45,2016-12-02
102743,838,51,256906.25,2016-12-03
88747,778,52,222757.25,2016-12-04
80508,698,55,205514.7,2016-12-05
73060,597,48,188832.133333,2016-12-06
75535,592,47,195787.4,2016-12-07
78916,598,47,201310.116667,2016-12-08
75196,549,56,193454.383333,2016-12-09
79108,588,40,199807.283333,2016-12-10
75044,622,41,187317.566667,2016-12-11
70262,582,43,178831.683333,2016-12-12
68063,548,43,173886.583333,2016-12-13
69881,637,34,178357.816667,2016-12-14
67265,525,27,172172.1,2016-12-15
70282,543,43,177624.366667,2016-12-16
72451,490,23,181436.533333,2016-12-17
63937,515,30,158168.3,2016-12-18
64155,489,34,162544.2,2016-12-19
63492,485,29,163954.9,2016-12-20
65596,549,37,167028.3,2016-12-21
65601,505,24,168075.833333,2016-12-22
67283,497,29,171421.95,2016-12-23
63729,420,29,161482.2,2016-12-24
60310,479,25,147166.05,2016-12-25
62512,502,34,152480.7,2016-12-26
67698,582,35,165014.833333,2016-12-27
66780,550,32,165183.366667,2016-12-28
68924,556,34,168983.183333,2016-12-29
70802,518,30,176453.933333,2016-12-30
73728,452,22,184650.15,2016-12-31
53310,382,23,128099.333333,2017-01-01
58308,471,25,140937.266667,2017-01-02
57149,436,23,140453.016667,2017-01-03
62549,511,42,154934.466667,2017-01-04
