dailyViewcount,numShare,numSubscriber,watchTime,date
158490,959,212,400025.083333,2015-02-23
151443,547,204,355623.883333,2015-02-24
190824,647,138,461536.983333,2015-02-25
67189,248,89,175980.533333,2015-02-26
64881,263,71,172611.05,2015-02-27
56343,236,70,159032.283333,2015-02-28
47828,199,65,134192.783333,2015-03-01
44287,177,56,126431.483333,2015-03-02
46415,203,47,131886.8,2015-03-03
50066,279,54,138558.716667,2015-03-04
50048,243,32,139389.75,2015-03-05
56530,234,38,162752.033333,2015-03-06
59870,246,42,170387.916667,2015-03-07
52116,255,38,147637.933333,2015-03-08
50461,254,36,148032.083333,2015-03-09
49423,235,41,143924.616667,2015-03-10
50785,267,55,149741.1,2015-03-11
53928,252,47,159610.95,2015-03-12
53358,241,36,158774.133333,2015-03-13
55293,199,41,162016.133333,2015-03-14
45939,232,35,131711.616667,2015-03-15
44023,236,43,128632.25,2015-03-16
44760,179,41,130600.833333,2015-03-17
43956,177,33,128043.216667,2015-03-18
47334,218,38,137893.533333,2015-03-19
55277,215,29,162234.616667,2015-03-20
59024,224,34,170253.933333,2015-03-21
49361,243,53,141218.916667,2015-03-22
46905,177,40,137749.6,2015-03-23
49798,200,36,145203.483333,2015-03-24
47900,187,30,139680.466667,2015-03-25
45306,183,37,132489.983333,2015-03-26
52710,166,33,155207.133333,2015-03-27
58195,169,43,168492.466667,2015-03-28
49570,138,33,142841.016667,2015-03-29
46767,162,30,137693.266667,2015-03-30
47892,170,44,140353.383333,2015-03-31
49067,166,41,143831.7,2015-04-01
53732,149,31,156769.616667,2015-04-02
59116,145,42,171320.833333,2015-04-03
57105,145,40,165171.0,2015-04-04
49231,128,44,138945.6,2015-04-05
47794,139,43,135612.516667,2015-04-06
48093,155,40,137081.3,2015-04-07
51753,164,34,148523.266667,2015-04-08
55752,228,40,164149.666667,2015-04-09
59179,195,36,176604.733333,2015-04-10
63222,175,37,186232.066667,2015-04-11
57182,216,40,165650.85,2015-04-12
54292,181,33,160286.9,2015-04-13
55926,192,36,165244.933333,2015-04-14
57418,179,39,170160.433333,2015-04-15
56129,198,26,166765.833333,2015-04-16
59589,204,52,178007.416667,2015-04-17
62523,147,41,185202.316667,2015-04-18
52849,152,34,149782.283333,2015-04-19
52066,209,37,153154.016667,2015-04-20
52793,180,39,154799.35,2015-04-21
53459,171,34,155183.55,2015-04-22
55710,163,34,161875.5,2015-04-23
61057,185,34,178731.433333,2015-04-24
65944,236,27,189495.883333,2015-04-25
54212,185,29,153065.016667,2015-04-26
54060,236,37,156373.216667,2015-04-27
58176,195,33,166474.5,2015-04-28
55408,213,47,159714.2,2015-04-29
56263,219,27,163964.766667,2015-04-30
63674,203,35,186138.033333,2015-05-01
63239,169,38,185474.166667,2015-05-02
55046,179,29,156220.616667,2015-05-03
54564,166,34,158257.016667,2015-05-04
55655,177,43,159122.566667,2015-05-05
53850,165,24,157106.183333,2015-05-06
65115,210,26,191416.083333,2015-05-07
82154,207,46,239407.0,2015-05-08
82312,172,54,226836.616667,2015-05-09
75996,191,56,203966.6,2015-05-10
76832,188,29,210496.616667,2015-05-11
78305,260,41,215121.8,2015-05-12
86793,313,50,238988.316667,2015-05-13
91582,374,44,252072.933333,2015-05-14
99947,317,66,275758.533333,2015-05-15
105692,360,77,287994.916667,2015-05-16
97325,361,74,256601.016667,2015-05-17
98626,336,75,263747.55,2015-05-18
105515,411,84,292900.616667,2015-05-19
105252,366,66,296431.866667,2015-05-20
102575,283,56,284526.6,2015-05-21
113360,373,56,313381.333333,2015-05-22
116856,359,50,318557.8,2015-05-23
112142,301,57,303368.433333,2015-05-24
107247,364,68,289459.2,2015-05-25
101226,348,67,277659.816667,2015-05-26
98619,358,55,269077.1,2015-05-27
102109,345,58,278376.7,2015-05-28
105316,338,52,292124.883333,2015-05-29
104662,329,67,285046.933333,2015-05-30
93242,330,47,248681.966667,2015-05-31
92835,271,37,250780.5,2015-06-01
95467,312,45,260284.05,2015-06-02
95873,335,45,262872.533333,2015-06-03
97939,344,43,269341.016667,2015-06-04
102712,337,36,286765.183333,2015-06-05
99943,317,32,273580.216667,2015-06-06
91455,317,42,246319.966667,2015-06-07
91679,295,43,249764.716667,2015-06-08
87990,315,33,238681.533333,2015-06-09
86280,260,26,236623.633333,2015-06-10
88929,297,31,244516.0,2015-06-11
97138,331,36,267943.6,2015-06-12
89029,272,28,244335.05,2015-06-13
73012,255,19,195213.383333,2015-06-14
73362,260,31,198209.25,2015-06-15
76675,251,43,207953.116667,2015-06-16
76679,246,27,208037.516667,2015-06-17
75960,242,30,206845.883333,2015-06-18
82215,245,35,229734.15,2015-06-19
83394,267,34,229994.766667,2015-06-20
72887,226,22,197557.116667,2015-06-21
71429,271,25,195677.333333,2015-06-22
69994,240,28,191212.0,2015-06-23
69098,220,27,189938.283333,2015-06-24
70305,258,37,193994.383333,2015-06-25
76605,269,27,212388.716667,2015-06-26
77481,232,29,212038.9,2015-06-27
71955,273,27,188951.75,2015-06-28
78775,273,34,208718.616667,2015-06-29
76795,257,26,204308.6,2015-06-30
76602,266,28,204522.25,2015-07-01
77496,261,48,207263.733333,2015-07-02
82907,233,33,225137.983333,2015-07-03
79896,196,29,218944.0,2015-07-04
71879,227,28,186994.966667,2015-07-05
75155,248,33,198133.616667,2015-07-06
74952,229,33,199252.766667,2015-07-07
75718,257,31,199458.5,2015-07-08
76553,211,26,205103.466667,2015-07-09
80073,256,31,216571.816667,2015-07-10
79272,247,25,214699.033333,2015-07-11
70205,225,35,184523.916667,2015-07-12
68698,246,32,181594.283333,2015-07-13
