dailyViewcount,numShare,numSubscriber,watchTime,date
420,46,0,720.683333333,2016-05-05
1543,95,3,2560.75,2016-05-06
593,31,0,959.9,2016-05-07
665,24,0,1098.68333333,2016-05-08
1125,54,1,2138.05,2016-05-09
1172,45,0,2156.7,2016-05-10
1120,63,1,2340.35,2016-05-11
921,31,1,1983.58333333,2016-05-12
1375,64,1,2982.01666667,2016-05-13
1165,26,1,2544.05,2016-05-14
948,23,0,2100.86666667,2016-05-15
1118,19,1,2405.66666667,2016-05-16
1064,25,1,2338.61666667,2016-05-17
1136,23,1,2480.15,2016-05-18
1233,36,0,2775.6,2016-05-19
1670,51,0,4010.1,2016-05-20
2546,93,0,6246.16666667,2016-05-21
3324,129,0,8884.7,2016-05-22
3399,103,0,10180.8833333,2016-05-23
3157,69,0,8982.71666667,2016-05-24
3084,77,0,8896.9,2016-05-25
3356,81,0,8585.43333333,2016-05-26
3449,76,0,8896.5,2016-05-27
3591,88,1,9291.16666667,2016-05-28
3076,62,0,7519.25,2016-05-29
3091,50,0,7542.33333333,2016-05-30
3086,58,2,7853.63333333,2016-05-31
3340,67,0,8297.2,2016-06-01
3325,50,0,8372.13333333,2016-06-02
3805,67,1,8915.73333333,2016-06-03
4432,76,1,10065.3666667,2016-06-04
3670,66,0,8092.76666667,2016-06-05
3397,53,0,8036.0,2016-06-06
3419,54,0,7792.5,2016-06-07
4200,121,0,9697.01666667,2016-06-08
5240,115,3,13377.9333333,2016-06-09
6636,117,0,17132.2,2016-06-10
6775,121,1,16486.4833333,2016-06-11
6077,112,1,14496.4166667,2016-06-12
6896,164,0,16944.6833333,2016-06-13
7636,124,0,18727.3833333,2016-06-14
8778,98,0,21352.05,2016-06-15
8595,108,1,21049.65,2016-06-16
8940,108,0,21761.4,2016-06-17
9463,93,1,22768.55,2016-06-18
7828,77,2,18773.6833333,2016-06-19
8362,114,1,19522.1166667,2016-06-20
7656,88,0,18613.85,2016-06-21
7524,83,1,18384.0,2016-06-22
7678,89,0,18379.5333333,2016-06-23
8608,86,0,21078.3666667,2016-06-24
8410,95,0,20207.9833333,2016-06-25
7285,91,2,16827.1666667,2016-06-26
7219,65,1,17253.7166667,2016-06-27
7548,70,0,17158.3666667,2016-06-28
8421,98,1,19584.8666667,2016-06-29
8051,79,1,18865.3166667,2016-06-30
8949,100,3,21043.6166667,2016-07-01
9548,80,1,22357.3333333,2016-07-02
8911,113,0,20490.25,2016-07-03
8841,82,0,20228.2666667,2016-07-04
8285,69,1,19448.7166667,2016-07-05
10243,120,1,23517.6166667,2016-07-06
10595,117,0,23959.7666667,2016-07-07
11256,118,2,25661.65,2016-07-08
12600,88,0,28690.15,2016-07-09
10980,89,0,24610.2,2016-07-10
13736,109,0,30916.25,2016-07-11
12900,77,3,29104.0666667,2016-07-12
13380,88,1,30523.2833333,2016-07-13
14364,104,2,32674.1666667,2016-07-14
14572,103,1,33165.1,2016-07-15
17131,91,2,38832.9833333,2016-07-16
15355,127,3,33772.1166667,2016-07-17
16695,136,1,38493.0833333,2016-07-18
17154,133,0,39489.0333333,2016-07-19
18770,123,2,43581.0666667,2016-07-20
16712,116,1,38051.8333333,2016-07-21
20077,134,1,45696.6,2016-07-22
19403,144,2,44294.95,2016-07-23
16541,118,1,36720.8833333,2016-07-24
18470,138,0,41283.2333333,2016-07-25
18907,143,2,42961.4,2016-07-26
21207,123,2,48453.9,2016-07-27
22233,121,1,52285.5666667,2016-07-28
25868,142,1,60325.0,2016-07-29
25194,147,3,57862.3833333,2016-07-30
21626,131,6,49406.05,2016-07-31
22494,138,1,52300.1333333,2016-08-01
23489,132,2,54304.95,2016-08-02
24354,130,0,56873.0166667,2016-08-03
24860,153,1,57650.8166667,2016-08-04
29485,155,2,69172.0666667,2016-08-05
30692,154,1,71706.7,2016-08-06
25143,122,0,57555.1833333,2016-08-07
24345,103,1,55933.1666667,2016-08-08
24889,167,1,57906.85,2016-08-09
25121,99,0,58132.1833333,2016-08-10
26388,122,1,61287.65,2016-08-11
29251,129,2,69206.1166667,2016-08-12
29727,142,1,69601.0166667,2016-08-13
24413,112,1,55965.5333333,2016-08-14
25991,131,1,60155.85,2016-08-15
26357,126,2,62111.55,2016-08-16
26776,142,0,62550.1166667,2016-08-17
26731,107,0,62262.8,2016-08-18
30252,135,2,71212.1666667,2016-08-19
31383,145,0,72930.05,2016-08-20
26211,133,1,59507.4666667,2016-08-21
27079,124,1,61678.6,2016-08-22
27451,114,0,64015.6,2016-08-23
27729,138,2,64220.4833333,2016-08-24
28819,139,1,65981.0833333,2016-08-25
33692,129,4,78575.5333333,2016-08-26
33585,155,1,78738.0166667,2016-08-27
28099,164,1,64712.4666667,2016-08-28
27989,143,1,65224.0666667,2016-08-29
30368,158,3,69836.5166667,2016-08-30
31458,182,3,71770.0666667,2016-08-31
32130,177,1,72739.65,2016-09-01
38043,205,0,86173.95,2016-09-02
41735,199,4,95321.3333333,2016-09-03
35419,170,3,80317.2166667,2016-09-04
31002,194,3,71183.0333333,2016-09-05
27843,128,1,63787.9166667,2016-09-06
28325,116,0,64788.4666667,2016-09-07
29323,154,1,68037.8333333,2016-09-08
37969,175,2,88531.7666667,2016-09-09
44065,170,2,101368.333333,2016-09-10
33402,152,1,76328.6666667,2016-09-11
23040,155,2,53167.5333333,2016-09-12
18221,115,0,40696.2333333,2016-09-13
18170,134,0,40640.7,2016-09-14
18359,137,0,40016.6,2016-09-15
23723,129,2,51809.0333333,2016-09-16
27839,163,1,60896.4666667,2016-09-17
21174,146,0,45369.45,2016-09-18
17896,154,0,39309.3666667,2016-09-19
17601,113,0,39247.0666667,2016-09-20
18482,133,2,40916.5333333,2016-09-21
19974,117,1,44026.0666667,2016-09-22
24391,132,0,53636.8666667,2016-09-23
28439,153,0,62351.1,2016-09-24
21071,134,3,45570.9666667,2016-09-25
18497,120,0,41269.6333333,2016-09-26
21905,117,3,49262.5166667,2016-09-27
22379,128,0,50258.15,2016-09-28
22400,122,0,50220.9666667,2016-09-29
29765,159,2,65334.7833333,2016-09-30
35229,164,1,78927.4666667,2016-10-01
31175,294,2,69065.6,2016-10-02
30138,246,0,72072.35,2016-10-03
28564,213,2,67780.5,2016-10-04
29324,195,1,68689.9833333,2016-10-05
27176,185,2,63856.25,2016-10-06
33576,164,4,79048.7166667,2016-10-07
37054,163,1,84971.0,2016-10-08
31259,170,2,69828.7,2016-10-09
30846,193,2,71399.4,2016-10-10
34464,176,1,82029.55,2016-10-11
35621,173,4,84043.6,2016-10-12
36757,172,2,86315.1,2016-10-13
47496,228,4,111736.8,2016-10-14
50987,200,3,118049.666667,2016-10-15
38868,177,2,88951.3,2016-10-16
33249,170,3,77321.8,2016-10-17
33099,175,1,76890.1,2016-10-18
34444,162,1,79793.3666667,2016-10-19
38865,199,2,89948.0,2016-10-20
47280,188,4,111039.383333,2016-10-21
53653,205,1,124343.033333,2016-10-22
40312,193,1,92739.25,2016-10-23
34732,148,3,82202.05,2016-10-24
35291,159,0,83553.4666667,2016-10-25
35195,142,1,82638.2166667,2016-10-26
38575,181,1,89396.0333333,2016-10-27
49103,203,2,114523.883333,2016-10-28
55422,210,4,128353.983333,2016-10-29
41953,183,4,95287.75,2016-10-30
36866,146,0,87523.65,2016-10-31
35924,145,3,83107.1,2016-11-01
36487,153,1,83989.2333333,2016-11-02
35233,154,0,80266.4333333,2016-11-03
42984,182,0,97695.45,2016-11-04
50579,203,4,115340.933333,2016-11-05
41135,188,2,92251.05,2016-11-06
34781,180,3,80252.7166667,2016-11-07
35900,149,0,83325.6666667,2016-11-08
32956,134,1,75736.2833333,2016-11-09
40145,139,4,92073.5833333,2016-11-10
52201,203,3,120153.933333,2016-11-11
55963,229,4,127073.133333,2016-11-12
42436,204,0,95289.9333333,2016-11-13
34796,144,1,80763.2,2016-11-14
34565,156,1,80420.85,2016-11-15
37913,188,2,86504.9833333,2016-11-16
38831,172,3,89614.2333333,2016-11-17
47459,184,3,109668.25,2016-11-18
54205,226,2,122774.2,2016-11-19
45298,219,4,103416.016667,2016-11-20
40324,177,3,92926.0,2016-11-21
42106,177,1,97948.15,2016-11-22
52258,209,2,121578.4,2016-11-23
63515,150,2,148989.533333,2016-11-24
51622,189,2,116961.316667,2016-11-25
57407,216,5,130887.3,2016-11-26
46033,220,4,103380.4,2016-11-27
40534,174,0,93152.75,2016-11-28
40789,157,2,93626.6333333,2016-11-29
41815,137,1,95020.6666667,2016-11-30
44947,174,2,102948.5,2016-12-01
53398,180,1,121467.85,2016-12-02
63045,229,7,142567.916667,2016-12-03
50546,198,1,113045.4,2016-12-04
43163,158,5,97976.0666667,2016-12-05
43666,164,1,98965.6166667,2016-12-06
43226,182,2,97488.7833333,2016-12-07
43703,179,3,98302.4333333,2016-12-08
55648,168,8,127263.4,2016-12-09
62630,206,3,141392.466667,2016-12-10
