dailyViewcount,numShare,numSubscriber,watchTime,date
52151,504,25,91331.4166667,2016-12-19
88884,808,102,162071.05,2016-12-20
138858,1312,109,227742.583333,2016-12-21
110473,1040,81,185172.283333,2016-12-22
91010,757,64,157904.383333,2016-12-23
65587,517,32,118029.7,2016-12-24
53341,456,32,95786.75,2016-12-25
53370,406,46,100382.016667,2016-12-26
45949,308,29,90562.5666667,2016-12-27
46225,283,17,91964.0833333,2016-12-28
46665,290,21,94609.9833333,2016-12-29
47588,236,19,97882.95,2016-12-30
42340,182,4,91691.3833333,2016-12-31
27277,167,14,55727.35,2017-01-01
23806,168,4,48366.7,2017-01-02
22593,125,4,46956.0833333,2017-01-03
19741,128,2,40676.5333333,2017-01-04
