dailyViewcount,numShare,numSubscriber,watchTime,date
15,3,0,36.9333333333,2016-05-08
2473,298,2,6552.48333333,2016-05-09
3728,298,1,11530.9833333,2016-05-10
3491,244,0,12280.6333333,2016-05-11
3200,154,1,11794.8333333,2016-05-12
2971,134,2,10401.2,2016-05-13
3715,173,5,12604.1666667,2016-05-14
3898,140,2,12666.9166667,2016-05-15
4972,220,2,16300.0666667,2016-05-16
4918,203,3,17728.55,2016-05-17
5317,198,0,18317.25,2016-05-18
5326,229,1,20026.1333333,2016-05-19
5302,200,1,20094.1,2016-05-20
7162,342,0,27420.6666667,2016-05-21
6766,261,3,26699.7,2016-05-22
7894,278,3,31834.5166667,2016-05-23
7973,287,2,32840.8666667,2016-05-24
8118,317,1,33944.7,2016-05-25
9286,404,2,38263.1833333,2016-05-26
9933,462,2,41501.8333333,2016-05-27
10319,345,0,41761.0166667,2016-05-28
9880,355,1,38473.4166667,2016-05-29
11124,418,2,43775.45,2016-05-30
11126,418,0,46846.0666667,2016-05-31
10397,343,0,43255.95,2016-06-01
10911,529,1,43458.0333333,2016-06-02
12629,580,0,51508.8166667,2016-06-03
12449,479,1,50132.7833333,2016-06-04
10656,425,3,43906.3666667,2016-06-05
11323,374,0,46427.7833333,2016-06-06
11358,373,1,47514.6666667,2016-06-07
12167,456,1,50266.1166667,2016-06-08
12636,440,2,52294.6,2016-06-09
12905,389,3,53580.45,2016-06-10
13106,449,0,51478.9833333,2016-06-11
12021,391,3,46811.7166667,2016-06-12
13261,438,1,53824.15,2016-06-13
14010,489,1,57344.0833333,2016-06-14
14634,461,1,59593.8166667,2016-06-15
14712,422,2,60138.1333333,2016-06-16
15355,439,3,63710.2833333,2016-06-17
14438,377,1,58665.2833333,2016-06-18
13002,397,0,52375.6833333,2016-06-19
14773,442,2,58449.55,2016-06-20
15400,414,2,61799.6333333,2016-06-21
15332,350,0,62546.9666667,2016-06-22
15618,413,0,62013.05,2016-06-23
15967,424,2,65151.25,2016-06-24
15085,427,4,60852.8333333,2016-06-25
13451,397,0,52300.3,2016-06-26
15029,465,1,59285.5666667,2016-06-27
15490,485,1,60962.1166667,2016-06-28
15450,449,2,60896.6166667,2016-06-29
15847,461,1,61448.1666667,2016-06-30
17307,481,0,65933.3666667,2016-07-01
16891,447,2,63321.0666667,2016-07-02
15939,488,0,59744.5833333,2016-07-03
16235,450,1,60528.9666667,2016-07-04
16431,478,0,63293.0166667,2016-07-05
16771,457,1,64170.2833333,2016-07-06
16517,472,0,62561.5333333,2016-07-07
17327,445,0,66764.6166667,2016-07-08
17693,456,1,68273.2,2016-07-09
16102,439,0,60728.6666667,2016-07-10
17186,426,0,66596.4,2016-07-11
17362,460,2,67850.85,2016-07-12
17464,473,0,68403.2166667,2016-07-13
18274,474,0,71155.0,2016-07-14
