dailyViewcount,numShare,numSubscriber,watchTime,date
136390,2444,85,222960.816667,2016-09-02
109926,1496,47,181195.5,2016-09-03
97729,1333,75,155606.2,2016-09-04
89149,1205,52,140185.05,2016-09-05
101532,1270,77,149429.683333,2016-09-06
104132,1264,83,159674.316667,2016-09-07
111586,1195,75,174655.983333,2016-09-08
145435,1136,123,236158.716667,2016-09-09
115466,1136,72,186885.883333,2016-09-10
93306,1044,58,146450.833333,2016-09-11
83632,889,54,136190.183333,2016-09-12
87910,919,42,145919.666667,2016-09-13
85434,955,25,149096.433333,2016-09-14
85742,936,47,158016.85,2016-09-15
94927,854,46,180140.2,2016-09-16
105744,1034,49,198641.333333,2016-09-17
84188,991,46,153133.066667,2016-09-18
77738,874,32,145100.216667,2016-09-19
80530,898,45,152640.566667,2016-09-20
84612,938,42,161041.533333,2016-09-21
87276,941,32,168044.35,2016-09-22
97180,956,26,189602.95,2016-09-23
97507,1024,45,189134.266667,2016-09-24
87838,1055,35,165533.45,2016-09-25
81046,942,33,156513.516667,2016-09-26
84176,875,39,163789.733333,2016-09-27
86855,883,48,168440.2,2016-09-28
80849,830,34,157875.233333,2016-09-29
82213,852,31,165944.383333,2016-09-30
88071,957,32,172359.2,2016-10-01
70785,967,31,133541.683333,2016-10-02
65708,738,28,129792.283333,2016-10-03
76253,996,30,155643.733333,2016-10-04
84325,997,41,171428.966667,2016-10-05
71096,806,59,145414.05,2016-10-06
79102,822,37,160435.516667,2016-10-07
85947,784,33,169954.866667,2016-10-08
68889,785,27,134566.716667,2016-10-09
61055,727,30,120899.516667,2016-10-10
58936,731,31,120224.266667,2016-10-11
63669,826,28,126998.233333,2016-10-12
64294,755,31,130741.65,2016-10-13
72595,741,36,149529.0,2016-10-14
76574,837,36,153528.466667,2016-10-15
61087,753,31,118958.816667,2016-10-16
60035,681,31,120031.85,2016-10-17
63071,749,38,127267.433333,2016-10-18
64475,771,31,130347.8,2016-10-19
67854,741,29,137267.783333,2016-10-20
75247,719,30,154319.183333,2016-10-21
78298,794,25,157563.933333,2016-10-22
61617,762,24,121474.033333,2016-10-23
58909,688,29,121024.216667,2016-10-24
59760,606,24,122788.266667,2016-10-25
59725,597,17,123957.266667,2016-10-26
62465,739,27,128175.5,2016-10-27
71863,758,29,152038.733333,2016-10-28
76247,719,19,159547.633333,2016-10-29
57635,703,21,116301.933333,2016-10-30
54090,544,14,115456.95,2016-10-31
52206,619,17,109595.283333,2016-11-01
51713,613,19,107141.733333,2016-11-02
53176,587,20,110625.316667,2016-11-03
60264,628,23,127436.866667,2016-11-04
62543,639,18,130391.216667,2016-11-05
49185,673,17,100386.133333,2016-11-06
44555,478,12,94233.7,2016-11-07
46264,580,23,95444.7666667,2016-11-08
45948,534,18,94239.4,2016-11-09
49495,557,20,105270.066667,2016-11-10
56889,599,14,120635.883333,2016-11-11
60972,692,13,127885.916667,2016-11-12
47286,634,19,96519.25,2016-11-13
45495,601,16,96147.25,2016-11-14
45835,553,20,96873.2833333,2016-11-15
46548,546,21,99580.2,2016-11-16
47162,555,19,101434.0,2016-11-17
53618,528,19,114993.833333,2016-11-18
56994,645,23,119532.966667,2016-11-19
44490,546,15,89613.8166667,2016-11-20
41942,484,8,87339.4666667,2016-11-21
43458,520,9,91218.1,2016-11-22
50321,560,25,107175.716667,2016-11-23
51597,512,11,110065.25,2016-11-24
47637,521,7,99264.45,2016-11-25
49554,598,18,103541.833333,2016-11-26
39277,510,15,79662.5,2016-11-27
37757,447,16,79400.9166667,2016-11-28
39264,466,13,82887.2833333,2016-11-29
40211,470,17,84815.8,2016-11-30
42321,506,16,89916.5333333,2016-12-01
47902,504,20,102543.816667,2016-12-02
48942,535,17,102837.183333,2016-12-03
38557,543,10,77856.1166667,2016-12-04
37206,470,14,78933.6166667,2016-12-05
37420,438,10,79359.65,2016-12-06
40465,471,14,85100.4666667,2016-12-07
38712,459,19,81630.2333333,2016-12-08
44686,471,11,95665.1,2016-12-09
47710,516,15,100586.316667,2016-12-10
36573,505,13,75075.45,2016-12-11
35218,449,11,74508.85,2016-12-12
35422,441,11,74650.0833333,2016-12-13
37064,432,9,78456.05,2016-12-14
37095,437,14,78092.95,2016-12-15
43000,430,7,91445.4666667,2016-12-16
46520,481,12,97137.8166667,2016-12-17
36165,427,18,74121.1166667,2016-12-18
35381,456,13,75184.7,2016-12-19
39158,539,20,81326.9833333,2016-12-20
39716,454,8,84357.35,2016-12-21
41144,456,15,87852.8,2016-12-22
45442,471,10,97733.4833333,2016-12-23
46188,455,9,100241.316667,2016-12-24
42381,472,10,87387.5333333,2016-12-25
38446,561,15,78255.9166667,2016-12-26
38528,488,13,79191.1333333,2016-12-27
37210,445,13,78237.2666667,2016-12-28
38716,487,10,81515.1166667,2016-12-29
43066,507,12,92013.85,2016-12-30
56610,459,13,121866.05,2016-12-31
35686,366,11,74112.5,2017-01-01
33991,431,8,70746.0666667,2017-01-02
33663,442,15,69410.9,2017-01-03
34633,436,13,72356.2166667,2017-01-04
