dailyViewcount,numShare,numSubscriber,watchTime,date
9,0,0,14.1166666667,2016-06-01
6,0,0,7.95,2016-06-02
3718,66,20,9050.13333333,2016-06-03
3333,39,27,7354.81666667,2016-06-04
2074,31,11,4900.46666667,2016-06-05
1394,25,8,3496.43333333,2016-06-06
9264,101,26,12769.05,2016-06-07
12632,161,47,20326.4833333,2016-06-08
13037,192,46,21370.6666667,2016-06-09
13715,174,34,22392.2833333,2016-06-10
15715,217,46,25262.6333333,2016-06-11
19197,367,49,33538.6166667,2016-06-12
21001,389,62,37479.6333333,2016-06-13
15353,267,61,33305.1666667,2016-06-14
13021,216,40,32115.2666667,2016-06-15
11331,178,46,28919.0,2016-06-16
33333,646,236,84964.2166667,2016-06-17
21879,403,112,60701.4333333,2016-06-18
29826,491,175,79401.65,2016-06-19
55193,1008,364,142289.083333,2016-06-20
56329,996,322,154239.7,2016-06-21
29276,452,79,85588.4,2016-06-22
27505,340,73,74975.95,2016-06-23
32700,364,92,84617.9666667,2016-06-24
35675,412,94,92171.7666667,2016-06-25
30381,360,71,79162.05,2016-06-26
30206,438,74,79880.0666667,2016-06-27
29276,391,69,80521.1166667,2016-06-28
27778,379,53,79444.85,2016-06-29
31230,432,65,87448.8166667,2016-06-30
31087,366,46,86790.6,2016-07-01
31259,365,55,87051.8166667,2016-07-02
32627,384,49,90500.1833333,2016-07-03
33668,438,64,93011.4,2016-07-04
35790,468,55,102912.583333,2016-07-05
37353,441,65,107907.25,2016-07-06
34994,355,65,99453.9333333,2016-07-07
34012,380,49,99343.9166667,2016-07-08
34589,385,47,97423.0166667,2016-07-09
32694,373,53,92581.1,2016-07-10
35265,422,45,101355.95,2016-07-11
36723,413,46,105244.466667,2016-07-12
37948,483,67,107675.3,2016-07-13
38979,436,118,109919.05,2016-07-14
40038,398,84,111393.883333,2016-07-15
37830,353,79,103984.25,2016-07-16
38225,412,90,104796.283333,2016-07-17
40774,473,92,112547.233333,2016-07-18
43294,449,93,119828.7,2016-07-19
43946,411,102,122996.783333,2016-07-20
44521,513,78,125328.95,2016-07-21
46756,441,74,129380.983333,2016-07-22
43111,402,63,119736.083333,2016-07-23
43073,413,57,118745.733333,2016-07-24
48477,489,61,134693.383333,2016-07-25
55705,651,91,154184.9,2016-07-26
59836,659,95,167839.5,2016-07-27
61734,642,95,172604.166667,2016-07-28
64178,562,67,177882.15,2016-07-29
58927,529,81,160642.783333,2016-07-30
58424,548,80,158797.216667,2016-07-31
64120,597,88,174159.933333,2016-08-01
70523,660,99,189376.083333,2016-08-02
72233,686,95,195423.45,2016-08-03
77460,670,108,208792.933333,2016-08-04
80579,649,121,217825.933333,2016-08-05
79075,653,101,210442.5,2016-08-06
81975,733,105,215537.166667,2016-08-07
83730,647,96,225462.45,2016-08-08
82438,724,93,224217.883333,2016-08-09
82042,730,106,221724.416667,2016-08-10
85540,728,100,230870.266667,2016-08-11
85590,705,91,227820.95,2016-08-12
89048,754,104,231677.9,2016-08-13
83808,704,101,220135.083333,2016-08-14
91285,818,86,238633.166667,2016-08-15
95217,901,93,248373.516667,2016-08-16
98999,903,131,260493.5,2016-08-17
99873,886,116,264404.433333,2016-08-18
105937,879,113,274711.466667,2016-08-19
110886,891,117,286052.0,2016-08-20
102425,856,133,267157.533333,2016-08-21
100328,774,97,265936.316667,2016-08-22
99470,777,112,266975.45,2016-08-23
110547,911,104,292223.6,2016-08-24
110108,923,117,293232.95,2016-08-25
121512,987,125,314755.233333,2016-08-26
132779,1012,102,340946.266667,2016-08-27
123409,1061,131,310015.083333,2016-08-28
119855,1042,138,314888.366667,2016-08-29
163193,1303,152,440067.216667,2016-08-30
172079,1419,135,462378.9,2016-08-31
182110,1433,171,487349.366667,2016-09-01
210102,1465,139,546048.783333,2016-09-02
233253,1690,162,590230.683333,2016-09-03
223987,1791,185,566421.116667,2016-09-04
212568,1670,184,558191.866667,2016-09-05
198236,1626,145,532176.4,2016-09-06
209794,1564,162,565953.266667,2016-09-07
209521,1410,180,561503.916667,2016-09-08
235718,1404,189,603747.083333,2016-09-09
278343,1683,234,690844.416667,2016-09-10
251425,1989,259,637795.833333,2016-09-11
221571,1632,185,586743.866667,2016-09-12
246773,1769,204,638009.533333,2016-09-13
246521,1826,189,641633.166667,2016-09-14
242384,1644,226,640236.883333,2016-09-15
267262,1601,235,683207.633333,2016-09-16
293070,1743,229,739494.95,2016-09-17
259386,1829,234,665574.7,2016-09-18
241743,1661,218,639677.7,2016-09-19
235071,1561,219,626681.116667,2016-09-20
249402,1670,262,660099.6,2016-09-21
252853,1758,199,673567.433333,2016-09-22
289392,1654,186,745314.5,2016-09-23
328365,1909,283,828280.433333,2016-09-24
300429,1977,294,765375.75,2016-09-25
285480,1857,271,735785.55,2016-09-26
264493,1690,242,700254.35,2016-09-27
290687,1943,294,758655.383333,2016-09-28
285652,1770,251,753415.55,2016-09-29
301793,1692,236,775900.566667,2016-09-30
330276,1991,257,833077.666667,2016-10-01
295407,2139,293,758315.15,2016-10-02
280612,1869,235,749885.333333,2016-10-03
281659,1853,247,755639.166667,2016-10-04
318369,2026,285,843047.233333,2016-10-05
335531,2169,285,884613.65,2016-10-06
384061,2096,305,988474.216667,2016-10-07
398913,2279,288,1009960.08333,2016-10-08
353512,2235,283,904506.383333,2016-10-09
370724,2315,381,971384.833333,2016-10-10
368761,2281,336,975997.166667,2016-10-11
380894,2303,375,1009062.06667,2016-10-12
