dailyViewcount,numShare,numSubscriber,watchTime,date
245,7,0,499.483333333,2016-06-10
83,0,0,187.716666667,2016-06-11
90,0,0,218.983333333,2016-06-12
90,1,0,281.866666667,2016-06-13
58,1,0,145.65,2016-06-14
57,0,0,178.983333333,2016-06-15
100,0,0,239.35,2016-06-16
100,2,0,236.133333333,2016-06-17
189,0,0,478.733333333,2016-06-18
262,4,0,716.866666667,2016-06-19
160,3,0,391.55,2016-06-20
85,1,0,187.25,2016-06-21
68,0,0,156.15,2016-06-22
80,1,0,162.516666667,2016-06-23
162,2,0,432.5,2016-06-24
165,3,0,390.283333333,2016-06-25
229,1,0,733.6,2016-06-26
240,0,0,736.9,2016-06-27
168,1,0,413.083333333,2016-06-28
192,1,0,501.316666667,2016-06-29
151,0,0,405.45,2016-06-30
163,4,0,399.233333333,2016-07-01
113,1,0,263.466666667,2016-07-02
106,0,0,265.533333333,2016-07-03
89,0,0,221.75,2016-07-04
104,1,0,264.55,2016-07-05
145,0,0,425.933333333,2016-07-06
90,2,0,203.983333333,2016-07-07
60,1,0,167.65,2016-07-08
52,0,0,126.45,2016-07-09
58,1,0,182.733333333,2016-07-10
86,3,0,169.15,2016-07-11
73,0,0,175.316666667,2016-07-12
80,0,0,233.116666667,2016-07-13
100,1,0,265.916666667,2016-07-14
115,1,0,293.95,2016-07-15
99,2,0,279.966666667,2016-07-16
123,2,0,278.016666667,2016-07-17
115,4,0,343.833333333,2016-07-18
97,8,0,270.766666667,2016-07-19
72,7,0,185.433333333,2016-07-20
68,1,0,147.866666667,2016-07-21
69,1,0,214.1,2016-07-22
47,1,0,113.25,2016-07-23
50,2,0,126.516666667,2016-07-24
58,0,0,129.633333333,2016-07-25
60,1,0,141.4,2016-07-26
58,0,0,117.9,2016-07-27
55,0,0,96.1166666667,2016-07-28
53,1,0,122.283333333,2016-07-29
68,2,0,192.333333333,2016-07-30
61,1,0,181.9,2016-07-31
47,1,0,95.3333333333,2016-08-01
68,2,0,161.516666667,2016-08-02
72,0,0,196.583333333,2016-08-03
64,2,0,135.116666667,2016-08-04
101,0,0,270.133333333,2016-08-05
75,2,0,173.433333333,2016-08-06
70,1,0,151.65,2016-08-07
65,2,0,140.1,2016-08-08
73,3,0,192.333333333,2016-08-09
78,2,0,158.766666667,2016-08-10
75,1,0,176.3,2016-08-11
63,2,0,139.366666667,2016-08-12
68,2,0,167.05,2016-08-13
73,0,0,166.466666667,2016-08-14
82,0,0,162.916666667,2016-08-15
77,2,0,209.2,2016-08-16
91,5,0,205.083333333,2016-08-17
92,3,0,165.083333333,2016-08-18
113,4,0,431.883333333,2016-08-19
114,2,0,342.65,2016-08-20
99,2,0,202.833333333,2016-08-21
114,3,0,317.433333333,2016-08-22
101,0,0,268.85,2016-08-23
72,2,0,175.033333333,2016-08-24
103,5,0,325.95,2016-08-25
142,2,0,385.533333333,2016-08-26
