dailyViewcount,numShare,numSubscriber,watchTime,date
4175723,65747,2926,9887471.11667,2016-03-31
3461407,28838,1776,7991718.71667,2016-04-01
1513125,13516,818,3888726.45,2016-04-02
1111256,9943,562,2870139.9,2016-04-03
1051768,8304,441,2636097.38333,2016-04-04
822463,6788,320,2092435.18333,2016-04-05
741998,5853,307,1901406.53333,2016-04-06
687249,5394,268,1773935.68333,2016-04-07
682723,5003,226,1721474.48333,2016-04-08
663592,4848,215,1674328.38333,2016-04-09
576257,4931,193,1477131.01667,2016-04-10
479128,4467,159,1342293.76667,2016-04-11
484828,4394,158,1344216.95,2016-04-12
490820,4475,140,1361274.9,2016-04-13
489713,4329,145,1362437.68333,2016-04-14
629186,4758,226,1646806.05,2016-04-15
1073190,7324,317,2530358.43333,2016-04-16
941962,7412,270,2333819.18333,2016-04-17
1117350,7296,398,2993622.06667,2016-04-18
1264844,7257,430,3428938.65,2016-04-19
1562124,10005,720,4044003.13333,2016-04-20
1656833,9449,704,4401419.2,2016-04-21
1671176,8332,665,4499547.53333,2016-04-22
1728964,8344,623,4555208.13333,2016-04-23
1155970,7466,423,3154041.56667,2016-04-24
1103587,7360,338,3102659.71667,2016-04-25
1036543,7397,304,2951749.1,2016-04-26
1135885,7084,316,3277351.65,2016-04-27
1179294,8006,309,3379330.56667,2016-04-28
1279155,7933,322,3691613.51667,2016-04-29
1372517,8082,310,3779307.31667,2016-04-30
1109768,7903,245,3039906.05,2016-05-01
1103672,7706,257,3114416.06667,2016-05-02
1040257,7232,212,2965653.76667,2016-05-03
1014714,7147,180,2827547.7,2016-05-04
1035265,7069,234,2877334.78333,2016-05-05
1023825,6606,222,2834018.51667,2016-05-06
1029143,6415,196,2746461.91667,2016-05-07
910030,6091,207,2445748.13333,2016-05-08
971569,6550,219,2677212.91667,2016-05-09
959438,6604,188,2644365.1,2016-05-10
960856,6353,202,2659271.73333,2016-05-11
943817,6023,178,2638171.93333,2016-05-12
946506,5932,179,2606626.1,2016-05-13
916843,5835,176,2468370.0,2016-05-14
801272,5994,164,2152884.96667,2016-05-15
665216,5631,102,1882396.6,2016-05-16
426170,4405,72,1251101.75,2016-05-17
403522,4172,77,1175644.33333,2016-05-18
392823,4174,63,1134712.23333,2016-05-19
406759,4117,77,1146147.61667,2016-05-20
401474,3912,48,1096143.68333,2016-05-21
376244,4247,82,1009958.65,2016-05-22
363007,4085,63,1021387.38333,2016-05-23
353939,4097,52,1007715.21667,2016-05-24
342707,3980,55,980950.983333,2016-05-25
342844,3765,49,972758.75,2016-05-26
347704,3529,50,975991.683333,2016-05-27
368189,3979,69,1003845.36667,2016-05-28
345178,4134,61,935046.583333,2016-05-29
323421,3638,53,896491.266667,2016-05-30
321951,3443,48,895113.866667,2016-05-31
327597,3585,53,907936.716667,2016-06-01
327914,3506,66,908142.3,2016-06-02
339279,3447,57,924185.883333,2016-06-03
340473,3193,56,903076.133333,2016-06-04
301485,3334,48,797472.1,2016-06-05
286722,3152,62,791717.8,2016-06-06
295311,3269,40,812117.066667,2016-06-07
294352,3154,43,805741.416667,2016-06-08
297486,3133,45,810640.35,2016-06-09
342779,3400,52,939304.666667,2016-06-10
399697,3517,54,1078181.06667,2016-06-11
441771,3756,87,1142291.45,2016-06-12
537232,4069,113,1431576.68333,2016-06-13
539809,4026,89,1453811.01667,2016-06-14
549356,4197,105,1485731.25,2016-06-15
566408,4237,96,1541388.65,2016-06-16
555119,4075,96,1494288.66667,2016-06-17
561030,3818,91,1473457.93333,2016-06-18
488987,3849,85,1281083.41667,2016-06-19
503525,3865,106,1360515.66667,2016-06-20
498348,3996,88,1360463.66667,2016-06-21
491354,3907,75,1332650.65,2016-06-22
488373,3906,82,1326165.66667,2016-06-23
484684,3947,88,1317624.01667,2016-06-24
469083,3457,78,1247009.68333,2016-06-25
454482,3601,86,1180124.01667,2016-06-26
466548,3656,83,1257105.48333,2016-06-27
473917,3627,89,1278926.78333,2016-06-28
490265,3645,101,1315770.25,2016-06-29
520975,3826,86,1375312.98333,2016-06-30
504270,3533,88,1337380.83333,2016-07-01
457846,3339,72,1205127.56667,2016-07-02
409616,3321,56,1081397.98333,2016-07-03
415089,3110,72,1116834.71667,2016-07-04
420174,3182,58,1132461.2,2016-07-05
410215,3393,66,1115206.63333,2016-07-06
421379,3021,64,1119173.61667,2016-07-07
404575,2918,50,1090565.98333,2016-07-08
414382,3078,65,1090396.18333,2016-07-09
362067,2945,45,950577.766667,2016-07-10
382419,3159,48,1032953.41667,2016-07-11
373030,3108,72,1009723.4,2016-07-12
365558,2942,71,996572.466667,2016-07-13
378587,3102,47,1029758.4,2016-07-14
365781,2945,54,998209.116667,2016-07-15
358339,2725,40,959480.133333,2016-07-16
321549,2768,46,851156.683333,2016-07-17
337143,2772,60,929404.3,2016-07-18
333698,2679,50,921097.716667,2016-07-19
332166,2686,45,910993.966667,2016-07-20
345531,2814,60,944287.166667,2016-07-21
357972,2841,61,969286.216667,2016-07-22
334544,2563,61,888469.9,2016-07-23
310630,2675,54,812327.733333,2016-07-24
330724,2656,47,882629.816667,2016-07-25
340925,2636,59,911922.116667,2016-07-26
339462,2619,53,916523.366667,2016-07-27
349872,2799,62,934292.733333,2016-07-28
355534,2928,62,959689.25,2016-07-29
347106,2617,48,911316.033333,2016-07-30
315478,2718,51,820879.1,2016-07-31
328564,2608,41,871053.966667,2016-08-01
327046,2594,59,875345.683333,2016-08-02
325864,2464,54,867323.866667,2016-08-03
335532,2613,45,897091.166667,2016-08-04
343749,2574,57,925456.833333,2016-08-05
328152,2387,42,867787.3,2016-08-06
292756,2233,44,769494.45,2016-08-07
306201,2313,52,819600.383333,2016-08-08
300902,2391,44,807954.166667,2016-08-09
303233,2316,42,820108.016667,2016-08-10
312791,2364,42,856597.5,2016-08-11
311951,2311,46,838658.533333,2016-08-12
297937,2217,54,794085.6,2016-08-13
265748,2180,28,700671.683333,2016-08-14
276738,2303,44,758708.966667,2016-08-15
272256,2264,37,756793.4,2016-08-16
267892,2172,33,749707.75,2016-08-17
265991,2038,35,745288.966667,2016-08-18
279161,1954,45,770553.05,2016-08-19
278072,1872,36,759187.866667,2016-08-20
254633,2042,39,687467.9,2016-08-21
271531,2024,46,755586.616667,2016-08-22
274654,1967,33,774897.066667,2016-08-23
270611,1975,39,761678.133333,2016-08-24
261570,1889,37,727569.933333,2016-08-25
276079,2030,43,747486.1,2016-08-26
273567,1857,41,721341.116667,2016-08-27
258607,2158,36,668533.666667,2016-08-28
308388,2303,62,794231.133333,2016-08-29
299010,2316,43,789764.083333,2016-08-30
296836,2059,57,798956.583333,2016-08-31
290037,2009,32,790144.466667,2016-09-01
300436,1978,39,814697.166667,2016-09-02
313619,2186,45,822351.116667,2016-09-03
283474,2266,41,748193.833333,2016-09-04
269727,1980,39,742667.833333,2016-09-05
267014,1934,37,744778.233333,2016-09-06
274799,1966,29,762137.516667,2016-09-07
271386,1915,41,752683.416667,2016-09-08
282987,1903,33,769704.883333,2016-09-09
300151,2050,54,800975.283333,2016-09-10
254348,2039,30,680686.55,2016-09-11
252484,1917,33,704370.633333,2016-09-12
276745,1920,43,771143.2,2016-09-13
260799,1889,24,727322.716667,2016-09-14
255222,1870,38,717943.016667,2016-09-15
289593,1922,25,791479.666667,2016-09-16
290295,1894,52,777157.766667,2016-09-17
255922,1834,41,684556.033333,2016-09-18
249576,1760,34,698594.6,2016-09-19
261158,1788,25,718751.566667,2016-09-20
259214,1796,40,717160.666667,2016-09-21
262140,1715,24,726749.916667,2016-09-22
275123,1754,25,756607.533333,2016-09-23
275239,1755,39,737581.366667,2016-09-24
247291,1794,35,655992.233333,2016-09-25
236999,1717,27,658261.0,2016-09-26
246420,1715,34,677270.316667,2016-09-27
262805,1734,30,721825.983333,2016-09-28
265130,1707,26,725106.35,2016-09-29
264181,1669,27,723393.95,2016-09-30
299718,1696,36,797128.6,2016-10-01
297797,1914,50,806025.116667,2016-10-02
282947,1661,32,805792.65,2016-10-03
285819,1672,39,809352.55,2016-10-04
296677,1440,49,844966.816667,2016-10-05
320083,1730,44,897694.65,2016-10-06
332019,1766,36,927189.6,2016-10-07
275861,1689,28,744854.366667,2016-10-08
245905,1687,35,659308.116667,2016-10-09
231930,1542,33,647706.816667,2016-10-10
228860,1532,27,643555.016667,2016-10-11
235092,1606,32,649896.966667,2016-10-12
227839,1511,20,638402.2,2016-10-13
231159,1508,37,641937.083333,2016-10-14
245495,1500,18,661162.716667,2016-10-15
213609,1546,28,574550.633333,2016-10-16
215908,1469,29,599644.25,2016-10-17
215160,1433,32,602354.716667,2016-10-18
215196,1433,21,602640.85,2016-10-19
217135,1412,22,612474.916667,2016-10-20
228574,1385,33,636183.516667,2016-10-21
236483,1425,29,636812.15,2016-10-22
210216,1453,24,564573.45,2016-10-23
207230,1381,30,576501.483333,2016-10-24
212955,1442,30,593906.766667,2016-10-25
207760,1394,20,583864.6,2016-10-26
214056,1428,19,598616.233333,2016-10-27
226065,1336,23,624097.5,2016-10-28
226767,1230,31,614503.516667,2016-10-29
198206,1371,17,529395.933333,2016-10-30
196482,1173,20,551418.8,2016-10-31
200639,1335,19,560667.183333,2016-11-01
210220,1310,29,586740.85,2016-11-02
212350,1360,27,596905.833333,2016-11-03
227013,1348,34,633842.616667,2016-11-04
235579,1323,29,637144.333333,2016-11-05
209977,1457,16,568495.783333,2016-11-06
206204,1262,28,580576.183333,2016-11-07
204181,1235,27,576183.25,2016-11-08
198108,1139,21,555128.55,2016-11-09
207897,1197,22,579618.55,2016-11-10
230388,1277,25,627059.216667,2016-11-11
223734,1308,19,601398.866667,2016-11-12
196848,1310,28,526892.216667,2016-11-13
207929,1294,24,572206.916667,2016-11-14
209275,1287,27,584050.966667,2016-11-15
214338,1326,29,595791.066667,2016-11-16
210933,1344,19,592927.683333,2016-11-17
220288,1291,21,608542.833333,2016-11-18
229444,1393,26,610496.983333,2016-11-19
195610,1431,25,522564.95,2016-11-20
196804,1228,18,544048.733333,2016-11-21
202819,1311,27,563108.033333,2016-11-22
209738,1340,30,582898.283333,2016-11-23
192769,1201,26,524483.5,2016-11-24
189929,1230,16,513571.6,2016-11-25
202110,1333,28,530126.883333,2016-11-26
181566,1433,17,477611.933333,2016-11-27
182339,1213,27,496140.183333,2016-11-28
184975,1308,19,509000.9,2016-11-29
192085,1304,30,526044.95,2016-11-30
190353,1234,21,523994.633333,2016-12-01
198022,1425,20,537663.033333,2016-12-02
206514,1360,28,551328.866667,2016-12-03
181967,1345,32,490983.15,2016-12-04
181041,1312,23,502629.983333,2016-12-05
187109,1224,23,514116.85,2016-12-06
191742,1247,30,522609.483333,2016-12-07
180664,1228,31,498079.566667,2016-12-08
186943,1202,22,515656.0,2016-12-09
190574,1296,31,509962.133333,2016-12-10
170910,1323,19,458905.366667,2016-12-11
170926,1210,22,474901.466667,2016-12-12
171168,1266,23,478347.016667,2016-12-13
173986,1310,26,481822.283333,2016-12-14
167267,1235,28,463940.833333,2016-12-15
181772,1174,28,501733.483333,2016-12-16
186463,1317,28,499668.766667,2016-12-17
168896,1303,21,451997.233333,2016-12-18
180638,1319,29,501159.25,2016-12-19
181340,1269,29,506873.633333,2016-12-20
188928,1380,31,530025.883333,2016-12-21
197566,1303,22,547055.15,2016-12-22
196184,1216,26,541842.383333,2016-12-23
183321,1037,33,501396.066667,2016-12-24
156024,1169,25,414179.883333,2016-12-25
177211,1278,39,473693.1,2016-12-26
185914,1337,39,502249.316667,2016-12-27
192452,1334,34,518486.6,2016-12-28
183904,1484,18,505347.75,2016-12-29
198542,1337,37,542307.016667,2016-12-30
203842,1082,16,557594.55,2016-12-31
150542,1152,33,390851.666667,2017-01-01
