dailyViewcount,numShare,numSubscriber,watchTime,date
65,2,0,559.433333333,2015-11-12
47,0,1,377.65,2015-11-13
44,0,1,349.533333333,2015-11-14
40,0,0,338.033333333,2015-11-15
47,1,0,253.816666667,2015-11-16
24,0,0,299.616666667,2015-11-17
26,0,0,289.85,2015-11-18
45,0,0,598.133333333,2015-11-19
56,0,0,527.133333333,2015-11-20
56,1,1,438.633333333,2015-11-21
53,0,0,623.0,2015-11-22
67,1,1,736.933333333,2015-11-23
46,0,0,531.283333333,2015-11-24
58,0,1,596.916666667,2015-11-25
91,3,1,844.816666667,2015-11-26
60,0,1,748.666666667,2015-11-27
68,0,0,882.483333333,2015-11-28
88,0,1,911.583333333,2015-11-29
398,3,2,5310.2,2015-11-30
1954,0,1,27354.0833333,2015-12-01
1673,0,1,23445.65,2015-12-02
1498,0,2,20917.5666667,2015-12-03
1339,0,0,18593.6166667,2015-12-04
888,1,2,12371.4,2015-12-05
114,0,0,1535.15,2015-12-06
116,0,0,1350.53333333,2015-12-07
118,0,2,1209.03333333,2015-12-08
140,0,1,1501.76666667,2015-12-09
151,1,0,1508.8,2015-12-10
123,1,1,1323.2,2015-12-11
142,0,0,1655.21666667,2015-12-12
145,0,1,2050.63333333,2015-12-13
225,0,1,2697.91666667,2015-12-14
202,0,2,1858.25,2015-12-15
200,1,1,2150.03333333,2015-12-16
161,0,2,1628.15,2015-12-17
166,0,2,1903.71666667,2015-12-18
148,0,1,1761.4,2015-12-19
131,0,1,1648.68333333,2015-12-20
181,0,1,2107.81666667,2015-12-21
157,3,1,1476.16666667,2015-12-22
182,0,1,1726.91666667,2015-12-23
260,0,2,2725.16666667,2015-12-24
194,1,2,2430.05,2015-12-25
157,2,2,1902.08333333,2015-12-26
158,0,3,1557.98333333,2015-12-27
189,1,1,2124.51666667,2015-12-28
179,0,3,2136.68333333,2015-12-29
178,1,3,2086.15,2015-12-30
144,1,4,1490.86666667,2015-12-31
171,4,2,1968.73333333,2016-01-01
204,0,3,2156.61666667,2016-01-02
173,0,3,1950.7,2016-01-03
154,1,1,1942.55,2016-01-04
164,1,3,2036.85,2016-01-05
195,1,3,2140.78333333,2016-01-06
184,2,1,2107.15,2016-01-07
224,0,1,2280.26666667,2016-01-08
210,0,2,2381.46666667,2016-01-09
240,1,2,2903.16666667,2016-01-10
205,0,1,2182.55,2016-01-11
173,0,0,1875.1,2016-01-12
174,0,0,1992.76666667,2016-01-13
147,1,0,1836.38333333,2016-01-14
154,0,1,1512.98333333,2016-01-15
154,0,0,1838.48333333,2016-01-16
220,2,3,2152.3,2016-01-17
191,0,4,2131.11666667,2016-01-18
203,0,3,2211.33333333,2016-01-19
148,1,1,1759.36666667,2016-01-20
222,0,4,2324.7,2016-01-21
221,0,1,2167.68333333,2016-01-22
199,0,1,2190.13333333,2016-01-23
238,0,2,2358.33333333,2016-01-24
244,0,3,2220.81666667,2016-01-25
183,0,1,1832.51666667,2016-01-26
178,1,0,2083.08333333,2016-01-27
181,0,2,2008.93333333,2016-01-28
185,0,0,1948.68333333,2016-01-29
233,2,0,2823.96666667,2016-01-30
233,1,2,2935.86666667,2016-01-31
199,1,1,2162.5,2016-02-01
223,0,1,2546.46666667,2016-02-02
274,1,1,2926.28333333,2016-02-03
289,2,4,3341.8,2016-02-04
337,1,4,3841.33333333,2016-02-05
524,1,5,6628.3,2016-02-06
488,2,6,5711.23333333,2016-02-07
527,0,7,6406.15,2016-02-08
686,1,12,8791.33333333,2016-02-09
735,1,9,9073.26666667,2016-02-10
705,2,4,8446.73333333,2016-02-11
699,1,5,8681.63333333,2016-02-12
1045,1,12,12810.4166667,2016-02-13
1106,2,8,12952.45,2016-02-14
1226,4,11,13980.1666667,2016-02-15
1272,2,17,14960.35,2016-02-16
1209,2,20,14669.5166667,2016-02-17
1275,6,21,14975.05,2016-02-18
1444,1,14,15848.6333333,2016-02-19
1534,6,10,17675.7166667,2016-02-20
1603,2,15,18737.65,2016-02-21
1476,5,9,16885.5,2016-02-22
1567,4,9,18297.5833333,2016-02-23
1534,3,16,17849.1333333,2016-02-24
1602,6,14,17982.9166667,2016-02-25
1487,3,8,16839.5666667,2016-02-26
1555,2,12,17784.1166667,2016-02-27
1512,2,12,17581.1666667,2016-02-28
1436,2,7,16213.6333333,2016-02-29
1454,4,18,16344.6333333,2016-03-01
1588,6,23,17618.3,2016-03-02
1630,5,16,18379.4,2016-03-03
1444,4,6,15891.2666667,2016-03-04
1549,2,14,17469.5,2016-03-05
4932,14,60,59137.9333333,2016-03-06
5927,14,74,67933.9833333,2016-03-07
3934,5,42,45007.9666667,2016-03-08
3814,13,46,41730.1,2016-03-09
5299,7,63,58334.6833333,2016-03-10
5973,11,52,62436.1333333,2016-03-11
5353,20,38,56969.4666667,2016-03-12
7248,22,62,80844.3,2016-03-13
13521,35,122,147929.133333,2016-03-14
4253,9,28,41552.15,2016-03-15
11586,34,93,123326.016667,2016-03-16
9671,32,109,98743.3666667,2016-03-17
6052,14,59,65357.1333333,2016-03-18
4247,21,17,45483.2333333,2016-03-19
4442,7,35,48377.1166667,2016-03-20
5321,7,62,60053.3666667,2016-03-21
5955,21,49,65815.9333333,2016-03-22
5115,12,41,56986.9,2016-03-23
4249,11,37,44513.9166667,2016-03-24
4013,5,27,42604.3,2016-03-25
3966,7,20,42301.0166667,2016-03-26
4447,11,42,48214.25,2016-03-27
4875,8,36,53299.4333333,2016-03-28
3999,8,28,42296.0666667,2016-03-29
2790,8,12,28737.4666667,2016-03-30
3342,9,24,35056.0833333,2016-03-31
3078,6,15,32101.3,2016-04-01
2927,15,18,30990.0166667,2016-04-02
2396,4,9,24533.7333333,2016-04-03
2430,9,18,25278.5333333,2016-04-04
1865,4,10,18820.1666667,2016-04-05
1851,5,13,18610.9666667,2016-04-06
1568,3,10,15883.4,2016-04-07
1768,3,9,17417.3166667,2016-04-08
1650,2,13,16077.2333333,2016-04-09
1651,1,9,16441.7166667,2016-04-10
1859,2,26,19844.8833333,2016-04-11
1581,1,8,15748.9166667,2016-04-12
1537,1,8,14845.6333333,2016-04-13
1697,5,15,17787.45,2016-04-14
2006,4,10,19881.7,2016-04-15
2185,5,18,22446.9333333,2016-04-16
1866,3,12,20531.7,2016-04-17
2025,4,11,21558.8166667,2016-04-18
1893,3,12,19374.35,2016-04-19
1771,8,11,17799.8333333,2016-04-20
2024,4,16,20029.2666667,2016-04-21
1693,5,16,16406.5333333,2016-04-22
1676,2,7,16725.1833333,2016-04-23
1654,4,12,17041.55,2016-04-24
1540,1,12,14828.6,2016-04-25
1806,8,9,18323.5666667,2016-04-26
1462,2,5,14328.3666667,2016-04-27
