dailyViewcount,numShare,numSubscriber,watchTime,date
3271374,64609,4096,11218235.4333,2016-02-26
3419616,27992,3450,10812325.5,2016-02-27
2287617,18503,1847,7132638.11667,2016-02-28
2778280,19959,2764,8156554.43333,2016-02-29
2635134,17967,2117,7872851.41667,2016-03-01
2472707,16146,2117,7482078.23333,2016-03-02
2360106,14924,1690,7177681.0,2016-03-03
2490310,13889,1407,7408638.1,2016-03-04
2642113,14181,1410,7717091.55,2016-03-05
2118034,13096,1090,6410125.45,2016-03-06
2060328,11405,914,6219825.91667,2016-03-07
2217196,11327,1067,6681255.83333,2016-03-08
2266494,11650,1128,6826205.21667,2016-03-09
2395084,12432,1254,7167120.83333,2016-03-10
2547135,12985,1214,7515734.06667,2016-03-11
2940754,13654,1357,8622174.71667,2016-03-12
2511608,13084,1081,7502894.66667,2016-03-13
2595372,12411,1095,7869881.43333,2016-03-14
2837242,12369,1298,8538720.21667,2016-03-15
2987432,12549,1483,8986615.03333,2016-03-16
2907964,12799,1305,8775316.13333,2016-03-17
2955777,13048,1325,8773749.48333,2016-03-18
3104676,13800,1314,9162125.55,2016-03-19
2683525,12776,1157,7940258.95,2016-03-20
2575037,11946,1053,7759818.2,2016-03-21
2425769,11333,1007,7386465.51667,2016-03-22
2746323,12360,1039,8239070.21667,2016-03-23
3337030,13415,1289,9701806.76667,2016-03-24
4826557,15370,2212,13620068.7333,2016-03-25
4183468,14652,1784,11998603.55,2016-03-26
3454522,13526,1461,9953537.01667,2016-03-27
4468491,14637,1942,12943550.9,2016-03-28
4543710,15256,1961,13174015.1333,2016-03-29
4753264,15747,1912,13749962.2333,2016-03-30
4819389,16466,1869,13946155.0667,2016-03-31
4983552,16460,1834,14233260.3833,2016-04-01
5274496,17499,1991,14922729.95,2016-04-02
4870192,17688,1861,13778881.2167,2016-04-03
4940278,17175,1723,14062043.5667,2016-04-04
4498615,16343,1481,12894820.65,2016-04-05
3892938,15564,1217,11276034.9667,2016-04-06
3943813,16312,1211,11299659.4167,2016-04-07
4781184,18192,1554,13445446.35,2016-04-08
5495908,20232,1878,15277146.8833,2016-04-09
4890987,19299,1782,13624918.0167,2016-04-10
4694311,17725,1574,13275936.2833,2016-04-11
4744243,17717,1586,13426536.65,2016-04-12
4855775,17896,1573,13823435.9833,2016-04-13
4972428,17251,1558,14181420.8333,2016-04-14
5246496,17701,1680,14739718.7167,2016-04-15
5759673,19224,1895,15905235.6667,2016-04-16
5064002,18750,1644,14082887.25,2016-04-17
4654461,16957,1435,13198927.5333,2016-04-18
4912069,16893,1545,13948858.3333,2016-04-19
5166092,18692,1550,14668563.9,2016-04-20
5179042,19274,1548,14533149.6,2016-04-21
5300393,19638,1618,14741078.6833,2016-04-22
6017950,21270,1742,16533100.2167,2016-04-23
5434000,21517,1615,14844515.45,2016-04-24
4958356,18823,1497,13755289.0667,2016-04-25
5027802,18598,1424,13943754.4667,2016-04-26
5221508,19897,1593,14436237.4667,2016-04-27
5265422,21397,1534,14559696.2833,2016-04-28
