dailyViewcount,numShare,numSubscriber,watchTime,date
136238,1202,56,394160.866667,2016-11-22
350121,2269,129,942388.966667,2016-11-23
347199,1774,146,897207.2,2016-11-24
244888,1081,79,612099.016667,2016-11-25
186896,817,50,458315.85,2016-11-26
163776,706,56,401173.466667,2016-11-27
139663,506,68,329453.55,2016-11-28
116567,382,45,274595.516667,2016-11-29
88797,316,38,210244.2,2016-11-30
85304,325,30,201430.0,2016-12-01
78397,251,21,188643.95,2016-12-02
73801,236,18,179459.45,2016-12-03
63150,242,14,155497.8,2016-12-04
46912,160,15,117685.033333,2016-12-05
45713,154,13,117242.95,2016-12-06
40528,166,15,101260.3,2016-12-07
38295,144,9,100684.433333,2016-12-08
36859,118,12,96720.8833333,2016-12-09
37667,105,12,99179.7166667,2016-12-10
32061,112,10,84957.3166667,2016-12-11
28959,103,7,77797.6666667,2016-12-12
29301,107,11,78877.2666667,2016-12-13
29705,104,10,79243.8,2016-12-14
27091,103,12,73439.9833333,2016-12-15
30163,101,11,82035.2166667,2016-12-16
33914,116,6,91216.1166667,2016-12-17
29343,129,7,79207.4666667,2016-12-18
26566,89,10,71984.3,2016-12-19
26417,103,11,72331.1833333,2016-12-20
28422,114,9,75629.3666667,2016-12-21
24962,90,5,68817.9833333,2016-12-22
22696,88,4,63672.2166667,2016-12-23
20921,74,3,57841.8166667,2016-12-24
18727,79,1,50762.0,2016-12-25
19125,90,1,52126.9,2016-12-26
18659,73,3,50725.8666667,2016-12-27
19144,77,1,54187.7833333,2016-12-28
20215,100,8,55960.3166667,2016-12-29
18275,85,4,50819.3833333,2016-12-30
18376,80,3,49375.95,2016-12-31
17457,62,5,46196.2166667,2017-01-01
17815,72,5,48671.5,2017-01-02
16171,70,5,43763.9833333,2017-01-03
15836,80,0,43245.2666667,2017-01-04
18254,78,1,49036.6166667,2017-01-05
16729,64,4,46373.2666667,2017-01-06
18062,75,1,48499.4,2017-01-07
17051,77,4,45113.9,2017-01-08
15733,68,3,42767.9833333,2017-01-09
16374,64,4,44377.7333333,2017-01-10
16118,57,3,43145.0166667,2017-01-11
16375,70,2,43714.75,2017-01-12
20026,77,3,53198.5,2017-01-13
20769,71,6,55239.4833333,2017-01-14
22783,86,2,61111.7666667,2017-01-15
22701,108,3,61076.8,2017-01-16
19492,98,0,51346.8666667,2017-01-17
19977,94,0,52875.65,2017-01-18
20363,94,0,53918.0333333,2017-01-19
18833,73,0,49381.2333333,2017-01-20
19303,68,0,50847.7833333,2017-01-21
17955,78,0,47165.4666667,2017-01-22
14842,52,0,39268.25,2017-01-23
14312,58,0,38296.7,2017-01-24
13346,47,0,35304.2833333,2017-01-25
