dailyViewcount,numShare,numSubscriber,watchTime,date
2155879,17896,2483,5819883.11667,2017-04-07
1674646,10159,1184,4380562.36667,2017-04-08
1065844,6852,559,2786916.53333,2017-04-09
883739,5490,534,2297950.1,2017-04-10
869724,5102,499,2271778.63333,2017-04-11
902429,5089,549,2350493.61667,2017-04-12
957648,5529,465,2490097.35,2017-04-13
1060888,5383,497,2785972.55,2017-04-14
1001030,4883,352,2655039.53333,2017-04-15
883529,4543,320,2323081.9,2017-04-16
880232,4508,333,2346537.38333,2017-04-17
1096536,5981,458,2840071.86667,2017-04-18
896975,4636,397,2419997.1,2017-04-19
904929,4373,361,2463949.93333,2017-04-20
1009287,4424,366,2743861.46667,2017-04-21
1044374,4217,292,2850555.5,2017-04-22
870294,4252,273,2383066.51667,2017-04-23
769045,4029,315,2124922.75,2017-04-24
770248,3983,285,2141244.5,2017-04-25
832422,4031,298,2317393.65,2017-04-26
879076,4189,317,2444211.1,2017-04-27
970349,4470,315,2688527.08333,2017-04-28
1048591,4211,296,2899350.55,2017-04-29
955673,4223,276,2631363.5,2017-04-30
890238,4028,316,2468131.55,2017-05-01
857568,3949,316,2383163.71667,2017-05-02
855070,4007,318,2390804.13333,2017-05-03
840601,4009,310,2364122.0,2017-05-04
909388,3874,301,2535882.58333,2017-05-05
1036537,4247,284,2859209.15,2017-05-06
874651,3975,239,2431365.05,2017-05-07
815376,4043,267,2304471.25,2017-05-08
830454,3836,298,2347683.61667,2017-05-09
855320,3914,341,2410994.01667,2017-05-10
900672,4313,312,2531732.53333,2017-05-11
1088870,4474,320,3001980.4,2017-05-12
1175394,4622,300,3224111.28333,2017-05-13
1132424,4614,282,3013895.18333,2017-05-14
843474,4124,292,2365512.78333,2017-05-15
896298,4165,283,2504856.98333,2017-05-16
883848,3945,293,2473028.11667,2017-05-17
862047,4081,301,2403193.43333,2017-05-18
1000854,4264,256,2737219.78333,2017-05-19
1092857,4232,299,2981437.05,2017-05-20
874169,4166,259,2413896.45,2017-05-21
792549,3721,255,2219445.16667,2017-05-22
