dailyViewcount,numShare,numSubscriber,watchTime,date
38227,267,441,104843.816667,2014-05-12
98696,310,301,206131.366667,2014-05-13
64642,189,159,154477.683333,2014-05-14
35832,141,108,104856.816667,2014-05-15
32659,107,87,91920.05,2014-05-16
21754,80,68,64485.9333333,2014-05-17
19436,50,73,58253.4166667,2014-05-18
25666,95,93,76442.6,2014-05-19
35515,96,80,97224.3,2014-05-20
22145,68,59,67733.5833333,2014-05-21
19659,60,62,61460.1166667,2014-05-22
20506,77,42,61616.6666667,2014-05-23
18051,51,44,54646.5833333,2014-05-24
17521,53,40,51274.5666667,2014-05-25
18630,45,88,54936.4,2014-05-26
16513,87,47,49703.45,2014-05-27
16040,41,49,48238.9166667,2014-05-28
16450,48,54,48963.3666667,2014-05-29
16134,54,43,48728.75,2014-05-30
16193,47,40,47803.25,2014-05-31
15854,61,45,45502.7666667,2014-06-01
16242,53,43,47123.9666667,2014-06-02
15910,60,48,46951.9666667,2014-06-03
16209,44,46,47992.1166667,2014-06-04
16233,40,55,48523.4666667,2014-06-05
15675,45,32,46612.45,2014-06-06
14214,30,27,42532.2166667,2014-06-07
13084,38,34,38473.25,2014-06-08
14197,46,42,40785.3166667,2014-06-09
14563,47,40,41827.75,2014-06-10
13581,48,37,40182.3,2014-06-11
12747,47,20,37772.5,2014-06-12
13385,38,37,39965.05,2014-06-13
12722,30,31,38323.9833333,2014-06-14
11771,17,30,34952.3833333,2014-06-15
13661,56,32,40412.0,2014-06-16
13719,41,33,40968.0,2014-06-17
13096,32,23,39300.3333333,2014-06-18
13953,42,31,42271.35,2014-06-19
13399,33,30,39812.5666667,2014-06-20
13185,33,10,37941.0666667,2014-06-21
13651,32,25,37323.65,2014-06-22
14444,39,35,41146.1333333,2014-06-23
14768,37,27,41996.5166667,2014-06-24
14460,53,24,41804.8666667,2014-06-25
14303,40,25,42549.3833333,2014-06-26
18103,50,43,53925.7333333,2014-06-27
15366,53,24,46520.2166667,2014-06-28
12694,40,44,38012.6,2014-06-29
14908,40,24,43635.6166667,2014-06-30
15072,51,36,43438.75,2014-07-01
18243,62,30,53852.4666667,2014-07-02
18620,44,34,54092.3333333,2014-07-03
15607,33,18,45457.4333333,2014-07-04
14863,33,20,42607.95,2014-07-05
14920,36,17,43098.05,2014-07-06
16733,63,24,47736.9166667,2014-07-07
15583,43,35,44254.9833333,2014-07-08
15494,37,36,44922.5333333,2014-07-09
15867,31,13,45646.8,2014-07-10
16607,33,25,48526.0,2014-07-11
15307,26,18,43436.7333333,2014-07-12
13777,34,23,38251.45,2014-07-13
18615,78,54,53395.4166667,2014-07-14
16848,39,31,47920.7333333,2014-07-15
22247,58,56,58823.3833333,2014-07-16
23778,43,47,63746.7666667,2014-07-17
22566,53,40,64490.0666667,2014-07-18
21836,43,46,60200.9333333,2014-07-19
19049,53,41,52300.9,2014-07-20
20792,57,36,57895.1333333,2014-07-21
21417,63,41,58333.3166667,2014-07-22
22371,30,27,62021.8,2014-07-23
21559,40,30,61541.2333333,2014-07-24
21972,43,34,61797.6833333,2014-07-25
22103,58,27,61651.9166667,2014-07-26
22338,46,47,60914.55,2014-07-27
24303,72,50,71563.9166667,2014-07-28
22944,54,41,65955.6166667,2014-07-29
22043,45,32,62231.2333333,2014-07-30
21538,54,34,60635.35,2014-07-31
21908,50,31,61850.45,2014-08-01
20011,40,24,56694.6,2014-08-02
21065,42,27,57034.15,2014-08-03
24548,55,39,66224.2333333,2014-08-04
22974,45,21,62096.6666667,2014-08-05
23149,34,34,62099.3833333,2014-08-06
24220,55,27,63467.8,2014-08-07
25788,42,33,68004.9166667,2014-08-08
24548,45,35,64729.0666667,2014-08-09
21239,42,30,56158.5166667,2014-08-10
19533,42,33,54852.6333333,2014-08-11
18923,44,19,52412.75,2014-08-12
19103,38,29,53090.0833333,2014-08-13
18641,29,22,54082.25,2014-08-14
19484,44,22,55647.6833333,2014-08-15
18755,43,33,52586.6166667,2014-08-16
17178,25,35,47514.45,2014-08-17
17820,39,27,49317.2833333,2014-08-18
16531,20,29,46083.05,2014-08-19
17359,26,29,48081.1666667,2014-08-20
16813,32,18,47309.5666667,2014-08-21
17348,26,21,48412.6833333,2014-08-22
17120,24,25,47907.7666667,2014-08-23
15990,27,22,44235.1666667,2014-08-24
15143,30,21,42661.1166667,2014-08-25
15789,20,30,43712.35,2014-08-26
15466,17,27,43124.8,2014-08-27
15000,33,18,43629.05,2014-08-28
15605,26,22,44733.6166667,2014-08-29
15461,20,15,43051.3833333,2014-08-30
13997,26,15,38820.1,2014-08-31
14226,24,15,38933.3,2014-09-01
14094,33,23,39274.2833333,2014-09-02
15041,24,30,41726.5166667,2014-09-03
14562,16,21,40409.0333333,2014-09-04
15569,25,19,43618.6666667,2014-09-05
16410,19,28,45751.5,2014-09-06
14372,24,25,39559.7,2014-09-07
12990,27,23,35526.5333333,2014-09-08
12670,28,18,36147.4166667,2014-09-09
13453,20,26,37465.5333333,2014-09-10
12991,23,17,36676.9833333,2014-09-11
13629,13,15,38611.9333333,2014-09-12
14379,14,16,40301.2333333,2014-09-13
12350,14,16,33743.25,2014-09-14
11697,18,11,32579.4833333,2014-09-15
11270,23,11,31340.3833333,2014-09-16
12197,16,29,33559.5666667,2014-09-17
13387,18,30,35441.1666667,2014-09-18
13783,21,11,38186.9333333,2014-09-19
14561,12,20,39513.7,2014-09-20
12405,16,21,33631.3333333,2014-09-21
11818,17,22,33205.7666667,2014-09-22
11450,12,22,31469.3833333,2014-09-23
11246,14,20,31283.55,2014-09-24
11620,14,16,32634.2,2014-09-25
12720,23,15,35799.65,2014-09-26
12890,13,18,36585.6833333,2014-09-27
11085,23,17,30786.1333333,2014-09-28
10795,16,17,30652.15,2014-09-29
10865,19,13,29800.6166667,2014-09-30
11506,13,18,32571.4833333,2014-10-01
11933,20,16,33096.3333333,2014-10-02
12471,15,18,34529.75,2014-10-03
13055,11,13,35483.75,2014-10-04
10769,11,7,29840.2833333,2014-10-05
10489,12,16,29659.1166667,2014-10-06
10844,13,25,30400.85,2014-10-07
10669,18,14,30060.6166667,2014-10-08
10708,21,13,30218.9833333,2014-10-09
12094,15,17,34514.1666667,2014-10-10
12254,15,19,34394.8,2014-10-11
10042,15,12,28421.3833333,2014-10-12
10136,11,18,28417.6833333,2014-10-13
10216,20,16,28638.1666667,2014-10-14
11439,18,9,31939.9833333,2014-10-15
11229,20,13,32075.0833333,2014-10-16
11979,19,13,33856.95,2014-10-17
13008,19,17,35943.7833333,2014-10-18
11155,25,29,30546.6833333,2014-10-19
10391,16,18,29271.0166667,2014-10-20
10354,14,21,29163.85,2014-10-21
10437,22,17,28754.9666667,2014-10-22
10701,18,20,30433.4833333,2014-10-23
11551,19,10,32690.8166667,2014-10-24
11344,19,24,31039.4666667,2014-10-25
9874,8,10,26922.95,2014-10-26
10114,10,13,28168.2,2014-10-27
9317,15,6,26089.45,2014-10-28
9134,14,14,25833.0333333,2014-10-29
9214,17,10,26163.2166667,2014-10-30
10156,21,7,29345.55,2014-10-31
9948,16,14,28136.6833333,2014-11-01
9887,7,18,27009.2166667,2014-11-02
8928,13,9,24945.35,2014-11-03
9172,15,11,26302.4,2014-11-04
9222,19,9,26427.1166667,2014-11-05
9694,13,15,27778.7166667,2014-11-06
10304,12,15,29824.8833333,2014-11-07
10744,21,9,30879.1833333,2014-11-08
9221,8,10,25352.0333333,2014-11-09
10337,14,23,28779.4833333,2014-11-10
9462,19,14,26584.0666667,2014-11-11
8959,11,22,25015.2333333,2014-11-12
9260,11,9,26337.5666667,2014-11-13
9964,20,14,28426.6166667,2014-11-14
10472,9,18,29960.5166667,2014-11-15
9249,23,18,25612.4666667,2014-11-16
10395,28,16,30304.75,2014-11-17
9717,12,16,27878.7666667,2014-11-18
9303,13,14,26207.9833333,2014-11-19
9358,10,9,27128.5333333,2014-11-20
10088,18,14,28293.8333333,2014-11-21
10883,15,12,30829.75,2014-11-22
9655,15,12,27051.3,2014-11-23
9167,13,18,26268.55,2014-11-24
9595,13,12,27811.8,2014-11-25
10732,19,16,29922.45,2014-11-26
10218,9,11,29171.9833333,2014-11-27
10956,14,9,31419.4666667,2014-11-28
11355,12,14,31640.3166667,2014-11-29
9849,14,12,27751.15,2014-11-30
9863,14,9,27945.1,2014-12-01
9259,14,8,26729.7166667,2014-12-02
9129,24,20,26360.45,2014-12-03
9375,12,14,26670.4833333,2014-12-04
10300,19,16,29927.0166667,2014-12-05
10738,11,9,30727.7166667,2014-12-06
9250,10,10,25835.0,2014-12-07
12328,11,13,33285.1833333,2014-12-08
11197,19,15,31332.2666667,2014-12-09
11392,11,16,31082.6666667,2014-12-10
10435,12,18,29346.05,2014-12-11
11237,7,12,31749.1833333,2014-12-12
10824,15,10,30941.9333333,2014-12-13
9788,8,17,26679.7,2014-12-14
10947,24,13,30960.7,2014-12-15
11550,15,23,30434.45,2014-12-16
11872,16,19,31586.9666667,2014-12-17
11522,16,17,31820.7833333,2014-12-18
11275,17,13,32078.6833333,2014-12-19
10960,11,14,30312.8833333,2014-12-20
9584,17,10,26514.7833333,2014-12-21
10245,21,17,28312.6666667,2014-12-22
10532,15,9,28890.95,2014-12-23
10497,14,12,29681.15,2014-12-24
8674,11,6,23788.95,2014-12-25
9325,17,12,25820.8333333,2014-12-26
9899,11,16,26870.3833333,2014-12-27
9337,8,4,24638.85,2014-12-28
10827,12,11,28378.65,2014-12-29
10945,17,17,28643.1833333,2014-12-30
15114,17,14,41234.8166667,2014-12-31
9912,7,12,26252.2,2015-01-01
10568,15,16,28748.0833333,2015-01-02
10477,13,22,27703.7833333,2015-01-03
9851,23,11,26371.6833333,2015-01-04
10097,12,16,27724.2166667,2015-01-05
10534,15,19,28156.1,2015-01-06
10183,9,19,28153.4666667,2015-01-07
10874,11,12,30196.6666667,2015-01-08
13414,22,18,33226.9833333,2015-01-09
15304,29,17,37089.95,2015-01-10
11953,18,10,31136.1,2015-01-11
11014,19,15,29316.65,2015-01-12
10951,12,15,29841.55,2015-01-13
11629,2,1,30553.2333333,2015-01-14
11336,8,7,31040.45,2015-01-15
11834,9,13,32019.2666667,2015-01-16
11917,9,16,31574.8166667,2015-01-17
10599,15,13,28199.0333333,2015-01-18
10885,12,10,29370.8333333,2015-01-19
10174,14,18,27420.9666667,2015-01-20
9996,17,11,27183.6166667,2015-01-21
11071,10,22,29597.7,2015-01-22
11806,25,11,31916.1333333,2015-01-23
11804,19,14,32074.3166667,2015-01-24
10562,23,15,28192.9,2015-01-25
10934,18,24,29205.5166667,2015-01-26
10895,11,21,29594.7,2015-01-27
10828,19,17,29296.65,2015-01-28
10625,19,17,29187.75,2015-01-29
11878,24,22,32633.9666667,2015-01-30
12008,21,12,32616.9,2015-01-31
10537,22,17,28479.65,2015-02-01
10927,23,11,29646.8,2015-02-02
10769,24,12,28888.6,2015-02-03
11829,27,18,31678.2833333,2015-02-04
12231,25,12,32783.1666667,2015-02-05
12506,18,11,34279.8,2015-02-06
12467,18,18,34235.1666667,2015-02-07
10554,23,17,28770.9666667,2015-02-08
9976,16,13,27685.3,2015-02-09
10376,32,21,28723.1666667,2015-02-10
10346,27,21,28701.6666667,2015-02-11
14150,31,21,36987.1833333,2015-02-12
13867,35,19,37353.6333333,2015-02-13
12677,29,15,33932.4833333,2015-02-14
14336,25,32,35769.2166667,2015-02-15
21985,41,41,54286.05,2015-02-16
15928,37,29,42601.65,2015-02-17
13787,32,30,37235.9666667,2015-02-18
13166,30,29,35737.7833333,2015-02-19
15464,43,30,40977.2833333,2015-02-20
14926,33,22,40279.3833333,2015-02-21
12923,27,23,35048.65,2015-02-22
12286,31,17,33667.6,2015-02-23
11783,24,21,32609.0666667,2015-02-24
12793,26,21,33997.1666667,2015-02-25
13527,26,18,36779.1333333,2015-02-26
14256,32,18,39450.5,2015-02-27
15369,32,17,40632.2,2015-02-28
14530,32,31,38491.2166667,2015-03-01
14346,22,29,38093.75,2015-03-02
14806,31,28,38749.6333333,2015-03-03
16405,54,39,43136.9166667,2015-03-04
15601,45,30,41350.3333333,2015-03-05
16338,37,20,45008.5833333,2015-03-06
13158,29,20,36279.9833333,2015-03-07
11084,26,13,30483.4666667,2015-03-08
11389,46,13,30073.7,2015-03-09
10808,32,19,29638.7166667,2015-03-10
10638,21,25,28785.35,2015-03-11
10824,25,13,29277.6833333,2015-03-12
11369,44,11,31206.65,2015-03-13
11309,39,14,29759.5333333,2015-03-14
10030,20,14,26829.0666667,2015-03-15
10038,21,22,26554.6166667,2015-03-16
9645,29,14,26088.2166667,2015-03-17
9327,23,15,25281.6166667,2015-03-18
9579,23,12,25596.7666667,2015-03-19
11063,34,7,29649.35,2015-03-20
10889,36,11,28651.6166667,2015-03-21
9529,25,18,25354.0666667,2015-03-22
8975,27,16,24054.7166667,2015-03-23
9176,14,11,24627.1333333,2015-03-24
9271,30,18,24501.6666667,2015-03-25
9335,31,11,25299.1333333,2015-03-26
10408,22,15,27737.45,2015-03-27
10458,14,9,27893.5333333,2015-03-28
9065,27,13,23645.0166667,2015-03-29
9258,20,9,24545.7,2015-03-30
8668,13,12,23234.8833333,2015-03-31
8710,13,12,23177.6166667,2015-04-01
8961,11,4,23410.8,2015-04-02
10092,20,14,26019.75,2015-04-03
9229,16,13,23874.6166667,2015-04-04
8189,18,12,21399.5166667,2015-04-05
8779,12,17,22732.85,2015-04-06
10128,24,16,26238.2833333,2015-04-07
9743,24,14,25587.4,2015-04-08
10037,28,10,25971.3833333,2015-04-09
11811,34,27,30697.3166667,2015-04-10
13084,38,17,33695.15,2015-04-11
11825,48,23,30885.7666667,2015-04-12
11491,29,15,29245.55,2015-04-13
10706,39,14,27128.8166667,2015-04-14
10576,25,9,27487.7833333,2015-04-15
11260,31,15,29088.3833333,2015-04-16
11568,29,22,30305.6833333,2015-04-17
11429,34,15,29534.5166667,2015-04-18
10606,23,16,26757.1166667,2015-04-19
10461,31,10,26937.05,2015-04-20
13126,44,27,32451.6,2015-04-21
23732,68,37,52925.0333333,2015-04-22
19025,40,26,46127.45,2015-04-23
18033,57,24,44948.6166667,2015-04-24
16015,29,20,40669.5166667,2015-04-25
13345,41,12,34071.8166667,2015-04-26
12294,28,25,31783.15,2015-04-27
11697,39,22,30810.7833333,2015-04-28
11698,41,17,30423.1166667,2015-04-29
11567,18,14,30711.75,2015-04-30
12016,41,10,32002.15,2015-05-01
11801,26,15,30807.45,2015-05-02
11398,30,17,29613.8166667,2015-05-03
11083,33,15,29041.8833333,2015-05-04
11123,28,19,28705.6,2015-05-05
10693,23,18,27651.1666667,2015-05-06
10698,27,16,28697.5333333,2015-05-07
10900,28,12,28828.8166667,2015-05-08
11234,38,12,29133.25,2015-05-09
9720,22,13,24960.6833333,2015-05-10
10760,19,13,27422.5666667,2015-05-11
10763,37,16,27511.75,2015-05-12
10835,43,13,28453.5,2015-05-13
10788,43,14,28456.75,2015-05-14
15902,72,42,40876.5666667,2015-05-15
14285,61,26,36249.0166667,2015-05-16
12231,65,16,30993.2833333,2015-05-17
11908,39,19,30892.85,2015-05-18
11696,53,18,30499.1166667,2015-05-19
11262,52,20,29448.0166667,2015-05-20
11327,48,16,29618.05,2015-05-21
11776,47,21,30488.1833333,2015-05-22
11788,48,16,31178.3,2015-05-23
10183,41,7,26825.6833333,2015-05-24
10584,35,6,27833.2333333,2015-05-25
10279,46,8,26900.8666667,2015-05-26
9736,32,17,25257.8833333,2015-05-27
10384,41,16,26682.5666667,2015-05-28
10366,45,13,27107.45,2015-05-29
10482,34,12,26759.5166667,2015-05-30
9577,54,14,24418.6833333,2015-05-31
9554,44,17,24652.3833333,2015-06-01
9564,33,17,24341.3833333,2015-06-02
9906,39,14,25701.3833333,2015-06-03
9623,43,13,25281.2666667,2015-06-04
10166,39,5,27129.1666667,2015-06-05
12756,48,14,30350.45,2015-06-06
8941,32,10,23636.0666667,2015-06-07
9535,43,19,24626.1333333,2015-06-08
17760,40,39,39698.9833333,2015-06-09
37849,137,91,81851.1833333,2015-06-10
27745,73,40,61583.55,2015-06-11
26636,95,21,60881.3333333,2015-06-12
22740,70,18,50743.45,2015-06-13
19324,85,25,42830.6333333,2015-06-14
18974,74,17,42253.65,2015-06-15
18716,61,23,42032.0833333,2015-06-16
18913,51,23,42283.9666667,2015-06-17
19252,73,20,43870.8166667,2015-06-18
17992,106,27,44380.05,2015-06-19
16360,81,7,39918.9166667,2015-06-20
15221,61,14,36449.75,2015-06-21
15096,62,14,36523.95,2015-06-22
15064,80,20,36493.0833333,2015-06-23
15095,69,11,36366.6666667,2015-06-24
14561,52,10,35442.7666667,2015-06-25
15146,64,6,38309.6,2015-06-26
14820,42,10,36126.1666667,2015-06-27
13685,51,9,32841.8166667,2015-06-28
14401,67,17,34834.5333333,2015-06-29
14391,67,15,35493.1333333,2015-06-30
14557,61,16,35829.7,2015-07-01
14807,65,17,36372.25,2015-07-02
14684,50,9,36668.7166667,2015-07-03
13574,51,14,33707.4333333,2015-07-04
12130,42,6,29040.2,2015-07-05
12681,52,14,30870.1166667,2015-07-06
13032,47,10,31733.0333333,2015-07-07
12921,47,11,31992.35,2015-07-08
13224,43,14,33138.3,2015-07-09
13382,54,10,33335.4666667,2015-07-10
12666,37,11,31438.7333333,2015-07-11
11677,44,7,28144.9833333,2015-07-12
12547,42,13,30890.3166667,2015-07-13
12289,42,9,30455.5833333,2015-07-14
11549,42,11,28657.35,2015-07-15
11563,62,11,29225.5166667,2015-07-16
12759,53,10,31438.2833333,2015-07-17
12496,36,11,30590.8833333,2015-07-18
11339,46,7,28404.35,2015-07-19
11776,41,6,29489.8833333,2015-07-20
11706,43,11,28964.4333333,2015-07-21
12344,44,11,30313.3,2015-07-22
12352,49,9,30734.0,2015-07-23
12786,35,6,32139.4333333,2015-07-24
11720,50,9,29099.1666667,2015-07-25
