dailyViewcount,numShare,numSubscriber,watchTime,date
13619,230,10,32485.0,2017-05-10
74284,210,10,116405.683333,2017-05-11
132392,131,13,184119.016667,2017-05-12
150167,94,18,205001.5,2017-05-13
9870,79,10,24096.5,2017-05-14
9098,95,16,22310.55,2017-05-15
8048,59,9,20349.4833333,2017-05-16
23183,194,30,54340.05,2017-05-17
156148,556,74,247022.5,2017-05-18
124341,664,72,210043.033333,2017-05-19
49534,472,42,110144.383333,2017-05-20
31799,320,27,75946.1333333,2017-05-21
24925,172,19,63135.1333333,2017-05-22
