dailyViewcount,numShare,numSubscriber,watchTime,date
732280,4019,2686,2608329.86667,2014-10-03
388488,1302,922,1442945.55,2014-10-04
266987,738,528,988867.433333,2014-10-05
238125,619,383,883042.366667,2014-10-06
208065,482,318,752087.016667,2014-10-07
181975,390,231,644764.016667,2014-10-08
177247,376,238,614700.133333,2014-10-09
183576,306,210,622181.516667,2014-10-10
167033,277,198,558587.9,2014-10-11
142289,246,190,473754.133333,2014-10-12
144275,266,197,483061.683333,2014-10-13
145058,245,177,477984.583333,2014-10-14
145891,285,160,477953.883333,2014-10-15
142392,217,185,469328.2,2014-10-16
142544,239,114,473798.733333,2014-10-17
137003,177,107,444395.866667,2014-10-18
119251,170,128,382496.35,2014-10-19
123066,225,111,400031.5,2014-10-20
119296,185,108,386023.383333,2014-10-21
118839,172,99,382063.016667,2014-10-22
126675,199,126,407607.916667,2014-10-23
142721,206,90,455701.25,2014-10-24
132114,149,92,418762.683333,2014-10-25
106712,166,93,334239.05,2014-10-26
104781,145,97,334323.3,2014-10-27
98991,145,88,313251.316667,2014-10-28
98880,136,89,314228.883333,2014-10-29
105073,134,89,329476.766667,2014-10-30
112232,127,83,355565.016667,2014-10-31
103394,115,70,320724.066667,2014-11-01
91321,103,73,281069.15,2014-11-02
89601,145,75,283437.533333,2014-11-03
92481,117,99,286129.683333,2014-11-04
88240,144,58,279563.1,2014-11-05
91472,121,106,289695.0,2014-11-06
103251,123,94,325033.883333,2014-11-07
102391,127,80,315643.95,2014-11-08
83833,94,70,255624.7,2014-11-09
84990,106,75,264805.416667,2014-11-10
81742,101,81,253257.433333,2014-11-11
78659,106,58,245162.966667,2014-11-12
81235,88,61,253728.983333,2014-11-13
90541,93,45,283168.016667,2014-11-14
90175,102,59,279761.7,2014-11-15
77687,82,84,237093.733333,2014-11-16
77128,105,63,239856.333333,2014-11-17
75543,85,62,234793.366667,2014-11-18
78549,100,58,238999.983333,2014-11-19
78710,84,62,242606.883333,2014-11-20
90862,97,70,277205.4,2014-11-21
90183,94,54,275213.516667,2014-11-22
74388,73,58,223545.466667,2014-11-23
73720,83,61,228818.933333,2014-11-24
73245,91,72,226402.633333,2014-11-25
77505,78,65,239152.8,2014-11-26
73548,61,53,223658.116667,2014-11-27
73929,79,55,227600.716667,2014-11-28
73562,80,49,225811.25,2014-11-29
62715,87,49,191580.233333,2014-11-30
63826,92,65,199095.05,2014-12-01
64243,68,47,198871.4,2014-12-02
65125,71,55,201462.666667,2014-12-03
67713,83,49,208700.9,2014-12-04
75057,72,56,230764.616667,2014-12-05
76046,79,44,231086.05,2014-12-06
62511,68,46,188266.866667,2014-12-07
65942,98,52,201578.783333,2014-12-08
65441,84,39,199548.366667,2014-12-09
67113,65,45,206882.366667,2014-12-10
68044,73,58,209375.0,2014-12-11
75601,77,56,230974.65,2014-12-12
74190,84,42,227063.216667,2014-12-13
60520,88,42,183378.9,2014-12-14
61001,104,40,189686.083333,2014-12-15
61585,87,49,189489.4,2014-12-16
62134,80,37,191337.466667,2014-12-17
64052,56,42,196510.633333,2014-12-18
69565,59,40,214366.816667,2014-12-19
69202,78,39,209545.083333,2014-12-20
60058,64,37,178138.783333,2014-12-21
59394,69,40,179998.666667,2014-12-22
63083,73,38,192128.016667,2014-12-23
65224,62,34,200299.833333,2014-12-24
58310,46,29,171974.366667,2014-12-25
60211,48,40,179379.9,2014-12-26
63112,53,37,187655.45,2014-12-27
57756,49,40,170106.25,2014-12-28
59524,68,41,178060.216667,2014-12-29
60303,51,33,178795.6,2014-12-30
81486,41,52,243516.916667,2014-12-31
57727,62,52,168755.05,2015-01-01
64246,56,44,190665.783333,2015-01-02
62644,70,44,185794.483333,2015-01-03
55670,60,38,161536.683333,2015-01-04
56612,66,41,169846.55,2015-01-05
59250,71,39,175134.583333,2015-01-06
58399,54,37,173204.916667,2015-01-07
59578,56,37,174685.616667,2015-01-08
65456,46,26,195034.233333,2015-01-09
65186,58,50,189501.216667,2015-01-10
54138,46,33,157507.216667,2015-01-11
52717,45,47,156904.533333,2015-01-12
54968,66,35,161938.616667,2015-01-13
54954,13,9,163498.566667,2015-01-14
56838,42,41,169083.033333,2015-01-15
64921,53,40,192591.883333,2015-01-16
65237,50,34,193078.216667,2015-01-17
82698,120,67,237366.0,2015-01-18
73198,85,56,215033.6,2015-01-19
62580,63,40,187870.816667,2015-01-20
57627,61,47,172591.983333,2015-01-21
58236,75,31,174235.433333,2015-01-22
63980,90,40,194143.05,2015-01-23
65086,102,42,192539.2,2015-01-24
58158,92,34,166868.166667,2015-01-25
55709,105,35,165370.5,2015-01-26
54629,87,29,161071.416667,2015-01-27
54422,92,45,161058.516667,2015-01-28
56459,100,35,166343.533333,2015-01-29
63497,111,42,189651.783333,2015-01-30
62452,112,44,184350.8,2015-01-31
50889,86,41,148782.45,2015-02-01
50074,85,32,148824.216667,2015-02-02
50815,95,39,149718.816667,2015-02-03
50361,83,49,148381.0,2015-02-04
52019,72,28,154514.35,2015-02-05
59756,93,30,176962.633333,2015-02-06
60265,95,35,176035.05,2015-02-07
49738,71,33,142579.166667,2015-02-08
48678,103,33,142774.366667,2015-02-09
50549,86,41,146231.416667,2015-02-10
57500,88,52,163276.766667,2015-02-11
55223,97,31,159051.15,2015-02-12
56923,91,30,166200.233333,2015-02-13
53969,88,26,154821.433333,2015-02-14
45588,68,22,128687.95,2015-02-15
43646,77,32,123647.366667,2015-02-16
41999,63,19,121079.116667,2015-02-17
42709,98,18,122276.166667,2015-02-18
42938,64,24,122949.933333,2015-02-19
46731,61,30,136459.95,2015-02-20
46868,64,27,134457.1,2015-02-21
39601,80,28,112107.283333,2015-02-22
39163,77,19,112437.116667,2015-02-23
38677,72,30,109571.5,2015-02-24
40437,68,27,115376.033333,2015-02-25
41361,80,21,116224.866667,2015-02-26
46246,76,23,130254.466667,2015-02-27
46191,84,19,129084.333333,2015-02-28
40445,72,29,112660.9,2015-03-01
39432,64,21,110620.716667,2015-03-02
47789,104,31,131173.35,2015-03-03
57710,117,48,160880.133333,2015-03-04
54043,151,36,152405.05,2015-03-05
50760,109,27,145246.15,2015-03-06
62822,111,35,175301.6,2015-03-07
56564,114,39,154409.583333,2015-03-08
59423,123,37,166933.1,2015-03-09
58854,103,38,163517.7,2015-03-10
58239,111,32,163614.433333,2015-03-11
62552,131,30,176413.866667,2015-03-12
68142,140,37,191519.8,2015-03-13
70040,139,40,194172.416667,2015-03-14
61253,111,37,167885.25,2015-03-15
60114,133,41,168975.533333,2015-03-16
61272,126,37,170390.9,2015-03-17
60641,132,34,168078.133333,2015-03-18
62950,133,31,174374.783333,2015-03-19
71932,134,38,199124.183333,2015-03-20
72043,97,37,197304.216667,2015-03-21
61554,108,41,167765.866667,2015-03-22
63212,126,42,174972.95,2015-03-23
65737,135,35,182675.966667,2015-03-24
67373,131,34,188046.983333,2015-03-25
68756,98,48,191283.35,2015-03-26
72170,121,37,201205.183333,2015-03-27
72217,105,37,199693.9,2015-03-28
60581,108,39,165363.133333,2015-03-29
62269,117,31,173639.7,2015-03-30
63788,118,49,177213.033333,2015-03-31
