dailyViewcount,numShare,numSubscriber,watchTime,date
63673,990,17,180787.533333,2015-07-11
75805,761,44,209333.1,2015-07-12
81583,664,51,209122.266667,2015-07-13
119736,710,71,276863.216667,2015-07-14
97354,503,45,234079.516667,2015-07-15
87198,440,45,210085.683333,2015-07-16
79176,352,27,192407.166667,2015-07-17
75889,376,29,185352.633333,2015-07-18
71435,349,46,171147.283333,2015-07-19
73682,365,41,180367.366667,2015-07-20
69548,367,39,172927.266667,2015-07-21
61752,327,29,156190.716667,2015-07-22
59231,318,25,153994.816667,2015-07-23
55575,268,26,143168.016667,2015-07-24
52649,259,18,134697.85,2015-07-25
49881,238,16,124909.0,2015-07-26
52035,260,26,133282.916667,2015-07-27
51921,299,22,134083.75,2015-07-28
54583,286,28,142101.183333,2015-07-29
51360,303,21,134405.366667,2015-07-30
50322,273,23,131520.233333,2015-07-31
46993,201,18,122152.933333,2015-08-01
42625,194,17,109363.5,2015-08-02
44976,280,16,117936.633333,2015-08-03
45257,226,24,119972.783333,2015-08-04
45385,247,28,119943.633333,2015-08-05
48034,265,25,130240.45,2015-08-06
50197,240,21,134064.766667,2015-08-07
47517,255,24,126714.516667,2015-08-08
45699,235,15,119734.166667,2015-08-09
47357,213,22,127950.033333,2015-08-10
47448,272,18,127644.466667,2015-08-11
47152,306,17,128504.216667,2015-08-12
48142,276,30,130913.116667,2015-08-13
50535,264,21,138111.033333,2015-08-14
51073,240,20,135268.133333,2015-08-15
47206,264,28,125564.25,2015-08-16
48485,309,25,132026.45,2015-08-17
49380,318,22,135737.0,2015-08-18
50718,286,19,137270.316667,2015-08-19
46552,270,23,127992.883333,2015-08-20
49291,308,16,135749.75,2015-08-21
47178,263,24,128205.416667,2015-08-22
47587,291,13,127102.35,2015-08-23
46660,302,26,126389.333333,2015-08-24
48789,335,17,132410.75,2015-08-25
50414,276,22,138989.016667,2015-08-26
51925,287,29,146484.183333,2015-08-27
52873,297,22,150456.833333,2015-08-28
54428,275,17,149627.416667,2015-08-29
48592,269,21,132363.933333,2015-08-30
44549,287,17,118066.733333,2015-08-31
46937,281,22,133546.683333,2015-09-01
46834,312,16,131019.716667,2015-09-02
46471,296,13,130516.766667,2015-09-03
47561,265,20,133830.716667,2015-09-04
49926,288,15,135325.266667,2015-09-05
45915,252,24,123256.483333,2015-09-06
43881,238,24,119706.316667,2015-09-07
41191,285,21,113786.433333,2015-09-08
42019,253,19,119027.416667,2015-09-09
42372,298,22,122426.0,2015-09-10
44804,264,18,130064.433333,2015-09-11
48686,255,18,138883.916667,2015-09-12
43652,275,16,121692.7,2015-09-13
41025,264,18,117863.933333,2015-09-14
41974,298,14,122222.516667,2015-09-15
46878,286,18,131136.85,2015-09-16
46734,293,17,131226.75,2015-09-17
50196,235,26,141084.416667,2015-09-18
55605,281,22,151880.216667,2015-09-19
49960,294,14,134023.1,2015-09-20
43464,265,18,123999.266667,2015-09-21
45734,256,18,128029.783333,2015-09-22
45464,290,22,128408.716667,2015-09-23
45583,262,21,129162.366667,2015-09-24
47396,267,15,133252.5,2015-09-25
50051,266,18,139585.983333,2015-09-26
45414,276,18,124408.516667,2015-09-27
43059,256,13,119833.783333,2015-09-28
45691,236,18,127132.533333,2015-09-29
47006,255,16,129684.983333,2015-09-30
47088,249,15,131916.216667,2015-10-01
