dailyViewcount,numShare,numSubscriber,watchTime,date
14807,260,12,15933.6833333,2017-03-08
15670,212,7,18742.1333333,2017-03-09
7972,116,2,9761.31666667,2017-03-10
8059,114,5,10409.8833333,2017-03-11
14664,250,6,17950.2666667,2017-03-12
14396,205,7,18671.15,2017-03-13
16289,313,12,21627.3,2017-03-14
18205,302,18,25040.4166667,2017-03-15
20418,448,22,27337.0166667,2017-03-16
17010,278,21,23731.8333333,2017-03-17
30146,609,20,38134.55,2017-03-18
33640,712,30,44132.6333333,2017-03-19
31606,598,19,44201.5333333,2017-03-20
27044,475,24,40058.15,2017-03-21
21754,342,11,34764.9,2017-03-22
23934,325,19,38652.6166667,2017-03-23
22422,225,8,38123.1333333,2017-03-24
22487,249,7,38308.3333333,2017-03-25
20848,246,10,35583.7166667,2017-03-26
18282,187,5,32925.8833333,2017-03-27
16613,161,2,30279.6166667,2017-03-28
18086,179,7,32141.1833333,2017-03-29
20625,220,2,36599.4666667,2017-03-30
21102,203,3,38353.8,2017-03-31
18762,175,8,34055.5,2017-04-01
15143,146,3,27520.6833333,2017-04-02
16661,174,6,29680.6333333,2017-04-03
15832,154,5,28759.5166667,2017-04-04
13864,129,2,25983.1,2017-04-05
12975,93,1,24807.2166667,2017-04-06
12993,85,4,24943.5333333,2017-04-07
12354,90,3,23743.9333333,2017-04-08
11560,86,1,21210.8833333,2017-04-09
10537,79,3,20053.9,2017-04-10
10526,71,4,20423.25,2017-04-11
10616,81,3,20147.9333333,2017-04-12
10827,60,1,20432.1833333,2017-04-13
11262,93,1,21122.8,2017-04-14
9141,69,0,17213.1166667,2017-04-15
8223,62,0,15162.8,2017-04-16
8089,56,1,15472.5833333,2017-04-17
7798,54,1,14651.2833333,2017-04-18
7924,70,0,14438.3166667,2017-04-19
8145,63,0,15051.55,2017-04-20
7918,60,0,14614.3166667,2017-04-21
8159,55,2,14693.3166667,2017-04-22
7070,63,7,12149.9666667,2017-04-23
7137,55,2,12470.9,2017-04-24
6608,45,1,11661.7666667,2017-04-25
6928,41,2,12264.9666667,2017-04-26
7094,51,2,12794.3,2017-04-27
7568,53,1,13525.05,2017-04-28
7311,52,2,13382.9666667,2017-04-29
6167,57,1,10560.0833333,2017-04-30
5307,41,1,9535.6,2017-05-01
5285,35,3,9466.96666667,2017-05-02
4933,36,1,9473.25,2017-05-03
4931,22,0,9417.03333333,2017-05-04
5158,33,0,9526.16666667,2017-05-05
4795,39,0,8982.96666667,2017-05-06
4494,40,2,8352.88333333,2017-05-07
4249,24,1,7998.56666667,2017-05-08
4450,32,2,8428.01666667,2017-05-09
4653,33,0,8781.6,2017-05-10
4825,29,1,8433.56666667,2017-05-11
5610,43,2,9670.68333333,2017-05-12
6165,48,2,10298.1166667,2017-05-13
5156,41,1,8496.21666667,2017-05-14
4227,18,0,6943.88333333,2017-05-15
4843,29,1,7946.1,2017-05-16
3864,27,0,6861.95,2017-05-17
3951,25,0,7138.91666667,2017-05-18
3936,29,0,6845.6,2017-05-19
3891,25,1,6715.18333333,2017-05-20
3035,25,1,5816.8,2017-05-21
3263,13,1,6231.91666667,2017-05-22
