dailyViewcount,numShare,numSubscriber,watchTime,date
1102799,13575,1330,2954404.7,2017-05-08
494627,5343,426,1349546.23333,2017-05-09
303605,2900,187,839794.5,2017-05-10
278903,2210,162,757549.566667,2017-05-11
317940,2488,202,844531.85,2017-05-12
245389,1801,200,656174.833333,2017-05-13
206896,1630,153,558078.633333,2017-05-14
161409,1353,80,444459.65,2017-05-15
158727,1250,74,440113.133333,2017-05-16
194352,1556,87,521680.35,2017-05-17
188102,1428,109,497432.316667,2017-05-18
228755,1661,98,613140.333333,2017-05-19
194234,1332,80,545560.816667,2017-05-20
159056,1390,66,451996.316667,2017-05-21
156562,1161,54,449065.7,2017-05-22
