dailyViewcount,numShare,numSubscriber,watchTime,date
312035,4310,858,855482.95,2016-10-18
592285,5573,1539,1570387.16667,2016-10-19
343441,2945,471,912697.1,2016-10-20
330426,1953,358,896515.8,2016-10-21
352453,1843,392,940188.383333,2016-10-22
282222,1755,279,755428.383333,2016-10-23
285750,1663,346,777954.4,2016-10-24
280413,1543,297,763177.683333,2016-10-25
273963,1499,270,748793.866667,2016-10-26
281969,1486,274,780226.85,2016-10-27
311439,1486,236,857390.85,2016-10-28
331093,1406,202,901056.266667,2016-10-29
292839,1374,217,797487.883333,2016-10-30
303955,1423,269,849939.933333,2016-10-31
333502,1644,272,902068.183333,2016-11-01
401409,1984,368,1072825.25,2016-11-02
459443,2272,420,1244331.31667,2016-11-03
482384,2109,358,1320498.73333,2016-11-04
507491,2122,321,1383519.36667,2016-11-05
458101,2235,266,1241995.11667,2016-11-06
457855,2087,284,1266384.11667,2016-11-07
462364,1959,284,1281607.2,2016-11-08
452944,1896,276,1263754.6,2016-11-09
504993,1932,281,1396973.05,2016-11-10
571443,1934,241,1577169.65,2016-11-11
575112,2018,301,1598378.98333,2016-11-12
487766,2246,258,1346753.33333,2016-11-13
499957,1979,285,1412093.6,2016-11-14
512910,1979,300,1451024.26667,2016-11-15
521879,1988,301,1476889.81667,2016-11-16
532163,1977,297,1499991.3,2016-11-17
554395,1785,261,1573300.68333,2016-11-18
551637,1788,259,1565491.03333,2016-11-19
504514,1911,224,1435347.0,2016-11-20
543632,1846,282,1560856.31667,2016-11-21
584390,1949,269,1671781.16667,2016-11-22
629394,2113,249,1807397.26667,2016-11-23
611780,1925,246,1742717.63333,2016-11-24
624634,1995,215,1795496.58333,2016-11-25
633364,1991,236,1817310.53333,2016-11-26
512305,2114,175,1463680.28333,2016-11-27
521975,2042,233,1503044.6,2016-11-28
546158,1974,217,1560491.56667,2016-11-29
619220,2251,305,1752108.91667,2016-11-30
630698,2190,284,1809291.16667,2016-12-01
703457,2131,304,1997034.16667,2016-12-02
761024,2324,284,2155977.88333,2016-12-03
651502,2330,297,1850628.6,2016-12-04
640300,2086,301,1842223.33333,2016-12-05
651825,2207,314,1873475.76667,2016-12-06
686392,2364,309,1979389.06667,2016-12-07
685987,2252,294,1978896.63333,2016-12-08
708012,2119,254,2036709.01667,2016-12-09
728384,2041,236,2093708.55,2016-12-10
611796,1961,228,1759957.26667,2016-12-11
615890,1944,234,1772425.36667,2016-12-12
633434,1968,276,1821166.06667,2016-12-13
683926,2079,308,1969692.96667,2016-12-14
680956,2066,256,1953064.71667,2016-12-15
810628,1940,285,2319757.26667,2016-12-16
834805,2145,266,2382367.36667,2016-12-17
701122,2062,254,2005878.41667,2016-12-18
739530,2205,297,2118184.8,2016-12-19
757243,2088,250,2177617.78333,2016-12-20
815807,2107,324,2340922.26667,2016-12-21
829230,2239,236,2386461.2,2016-12-22
902194,2116,274,2597481.23333,2016-12-23
908380,2157,229,2589581.56667,2016-12-24
924997,2546,227,2569259.25,2016-12-25
836583,2359,225,2360764.31667,2016-12-26
876213,2302,238,2494859.11667,2016-12-27
933021,2251,281,2692394.6,2016-12-28
949194,2322,262,2732588.53333,2016-12-29
1001300,2259,269,2897790.93333,2016-12-30
1168984,2254,200,3387732.98333,2016-12-31
849883,2115,228,2403621.76667,2017-01-01
902652,2456,240,2571623.01667,2017-01-02
905166,2386,284,2584575.05,2017-01-03
