dailyViewcount,numShare,numSubscriber,watchTime,date
4271,13,3,12270.55,2015-11-17
1123,6,1,3101.23333333,2015-11-18
777,1,2,2067.38333333,2015-11-19
646,1,1,1794.48333333,2015-11-20
679,4,2,1818.9,2015-11-21
658,0,0,1726.13333333,2015-11-22
589,1,3,1509.83333333,2015-11-23
482,0,2,1274.46666667,2015-11-24
496,0,1,1292.5,2015-11-25
462,2,1,1073.3,2015-11-26
451,0,2,1127.73333333,2015-11-27
432,2,2,1136.41666667,2015-11-28
451,0,0,1158.1,2015-11-29
462,3,1,1216.85,2015-11-30
462,3,2,1309.98333333,2015-12-01
435,0,1,1305.55,2015-12-02
400,1,1,1125.86666667,2015-12-03
376,0,0,1024.26666667,2015-12-04
432,0,1,1120.4,2015-12-05
473,0,4,1325.11666667,2015-12-06
362,1,1,981.766666667,2015-12-07
383,0,2,968.8,2015-12-08
399,3,1,1146.51666667,2015-12-09
479,0,0,1274.06666667,2015-12-10
487,1,2,1372.88333333,2015-12-11
650,1,2,1746.31666667,2015-12-12
723,0,2,1952.51666667,2015-12-13
737,1,4,1991.11666667,2015-12-14
1078,0,3,3041.58333333,2015-12-15
777,1,5,2069.9,2015-12-16
712,1,4,1974.88333333,2015-12-17
804,0,7,2293.45,2015-12-18
902,1,7,2503.08333333,2015-12-19
979,0,9,2842.85,2015-12-20
1024,5,3,2887.96666667,2015-12-21
1013,0,7,2830.51666667,2015-12-22
986,2,3,2818.15,2015-12-23
855,1,5,2415.6,2015-12-24
937,0,9,2697.4,2015-12-25
994,1,5,2775.46666667,2015-12-26
1173,2,10,3442.91666667,2015-12-27
1694,4,16,5013.8,2015-12-28
1840,3,14,5652.63333333,2015-12-29
1856,1,15,5431.55,2015-12-30
1235,4,13,3510.65,2015-12-31
1406,2,6,4002.73333333,2016-01-01
1353,0,9,4024.83333333,2016-01-02
1459,3,8,4414.88333333,2016-01-03
1297,4,8,3727.9,2016-01-04
2565,2,27,8056.33333333,2016-01-05
1933,3,17,5835.15,2016-01-06
2401,2,20,7290.85,2016-01-07
1748,0,15,5191.63333333,2016-01-08
1478,2,5,4228.46666667,2016-01-09
1891,7,14,5600.7,2016-01-10
2164,5,21,6397.38333333,2016-01-11
2337,2,23,7072.91666667,2016-01-12
2344,3,16,7063.81666667,2016-01-13
1550,6,5,4264.43333333,2016-01-14
1261,3,8,3437.26666667,2016-01-15
1289,3,6,3685.96666667,2016-01-16
1366,1,2,3771.13333333,2016-01-17
1956,3,13,5721.65,2016-01-18
2290,3,20,6920.95,2016-01-19
1440,0,7,4130.16666667,2016-01-20
1505,4,13,4123.86666667,2016-01-21
1429,4,4,3930.3,2016-01-22
2374,5,21,7070.91666667,2016-01-23
2457,4,14,7249.45,2016-01-24
