dailyViewcount,numShare,numSubscriber,watchTime,date
93100,1920,58,210088.3,2015-08-18
229853,2163,294,508907.183333,2015-08-19
326785,2061,253,684802.083333,2015-08-20
386430,2111,308,793740.933333,2015-08-21
433554,2202,361,876072.833333,2015-08-22
406055,2380,437,836676.266667,2015-08-23
384480,2164,368,806030.35,2015-08-24
361592,2198,389,773391.466667,2015-08-25
404226,2244,453,876085.116667,2015-08-26
413569,2079,383,893384.45,2015-08-27
493748,2328,596,1081427.63333,2015-08-28
539342,2396,535,1154659.21667,2015-08-29
516831,2480,522,1102465.16667,2015-08-30
481084,2347,496,978673.883333,2015-08-31
492282,2309,454,1063804.61667,2015-09-01
466364,2107,393,1016046.71667,2015-09-02
412149,1957,334,903667.083333,2015-09-03
459262,1935,345,1005075.76667,2015-09-04
493863,2124,348,1068242.01667,2015-09-05
468685,2068,331,1012159.35,2015-09-06
536180,2165,402,1154481.03333,2015-09-07
448337,1982,374,975627.633333,2015-09-08
446810,1934,349,972916.6,2015-09-09
439651,1915,312,963652.016667,2015-09-10
473419,1913,325,1037614.98333,2015-09-11
514424,1912,340,1110362.41667,2015-09-12
457896,2035,325,982728.266667,2015-09-13
437982,1932,301,958588.3,2015-09-14
433348,1922,293,947431.983333,2015-09-15
443492,1991,304,970215.333333,2015-09-16
514992,2014,347,1124151.63333,2015-09-17
541412,1820,335,1182961.06667,2015-09-18
530675,1803,344,1146309.15,2015-09-19
456623,1980,335,968501.266667,2015-09-20
443375,1797,287,963305.883333,2015-09-21
464680,1983,328,1015466.96667,2015-09-22
472895,1776,330,1032780.38333,2015-09-23
485388,1889,318,1047075.38333,2015-09-24
525509,1792,319,1137706.23333,2015-09-25
637520,2039,355,1391544.08333,2015-09-26
509124,1874,339,1106333.45,2015-09-27
488873,1883,322,1063560.36667,2015-09-28
441580,1840,290,967896.25,2015-09-29
444522,1805,318,971481.433333,2015-09-30
514127,1893,348,1109818.91667,2015-10-01
572723,1959,353,1237986.55,2015-10-02
578696,1895,290,1239533.18333,2015-10-03
466601,1933,315,992625.05,2015-10-04
473002,1778,303,1022873.51667,2015-10-05
476033,1822,288,1033140.05,2015-10-06
473758,1813,281,1026490.8,2015-10-07
526969,1902,299,1146066.26667,2015-10-08
576823,1917,321,1246861.51667,2015-10-09
641468,2183,405,1383745.05,2015-10-10
531547,1926,312,1142586.25,2015-10-11
559418,1911,303,1246630.28333,2015-10-12
555917,1875,277,1243682.56667,2015-10-13
531697,1883,286,1174496.76667,2015-10-14
551513,1862,328,1212299.7,2015-10-15
535766,1652,254,1177695.61667,2015-10-16
553054,1696,253,1206185.38333,2015-10-17
473169,1892,273,1025041.68333,2015-10-18
522770,1757,335,1086826.13333,2015-10-19
756482,2381,518,1460048.71667,2015-10-20
786801,2422,534,1539309.55,2015-10-21
830852,2371,588,1592545.75,2015-10-22
753957,2219,463,1514731.75,2015-10-23
791498,2279,512,1560106.46667,2015-10-24
681560,2275,467,1321923.86667,2015-10-25
597770,2016,405,1185833.2,2015-10-26
678093,2163,387,1364669.98333,2015-10-27
630199,2038,307,1316481.08333,2015-10-28
606458,1935,272,1277768.7,2015-10-29
665845,1811,241,1411742.16667,2015-10-30
724589,1725,236,1533955.05,2015-10-31
710649,2120,293,1466736.31667,2015-11-01
698875,2085,283,1491658.86667,2015-11-02
684155,1887,248,1461457.63333,2015-11-03
583312,1893,215,1239248.93333,2015-11-04
563872,1901,206,1176782.43333,2015-11-05
581541,1826,215,1207230.86667,2015-11-06
590438,1894,218,1215995.0,2015-11-07
498108,1856,197,1016370.31667,2015-11-08
498631,1715,178,1037581.35,2015-11-09
518902,1746,193,1081559.43333,2015-11-10
510911,1954,163,1074162.0,2015-11-11
511093,1695,199,1078958.83333,2015-11-12
568228,1709,194,1208833.63333,2015-11-13
599284,1646,172,1258465.35,2015-11-14
475099,1658,147,981709.566667,2015-11-15
443355,1622,130,931283.466667,2015-11-16
452048,1515,156,953365.466667,2015-11-17
466971,1669,137,985911.75,2015-11-18
483893,1633,174,1015281.98333,2015-11-19
522134,1553,164,1092198.98333,2015-11-20
558034,1728,158,1152355.55,2015-11-21
481803,1696,155,989645.583333,2015-11-22
474785,1652,158,995796.633333,2015-11-23
489174,1695,174,1022827.3,2015-11-24
518843,1726,147,1086865.66667,2015-11-25
514418,1563,142,1058726.73333,2015-11-26
597657,1689,206,1229013.1,2015-11-27
619894,1839,212,1267198.3,2015-11-28
422213,1702,134,861372.183333,2015-11-29
418819,1568,157,876770.866667,2015-11-30
465834,1716,151,965861.433333,2015-12-01
477729,1722,171,992112.3,2015-12-02
480916,1611,164,994829.25,2015-12-03
519768,1501,166,1077472.76667,2015-12-04
555196,1619,172,1144096.51667,2015-12-05
460908,1543,162,943620.816667,2015-12-06
443443,1500,138,927733.266667,2015-12-07
458286,1596,170,953614.516667,2015-12-08
473911,1554,165,984458.783333,2015-12-09
494788,1537,179,1033850.58333,2015-12-10
561877,1551,171,1184236.36667,2015-12-11
574977,1600,159,1191353.56667,2015-12-12
451134,1542,142,920532.383333,2015-12-13
426844,1493,151,878176.683333,2015-12-14
433404,1476,126,893796.883333,2015-12-15
437993,1466,140,906382.4,2015-12-16
442728,1563,133,910830.816667,2015-12-17
480896,1439,151,990891.783333,2015-12-18
