dailyViewcount,numShare,numSubscriber,watchTime,date
203224,3221,52,302563.183333,2017-04-14
149063,1552,46,212456.0,2017-04-15
148665,1654,55,211185.85,2017-04-16
139530,1497,42,209623.983333,2017-04-17
138083,1362,48,216407.55,2017-04-18
130760,1267,33,211308.85,2017-04-19
118316,1132,27,201517.666667,2017-04-20
115530,974,21,193780.066667,2017-04-21
118533,952,30,191321.4,2017-04-22
111775,987,26,177476.233333,2017-04-23
104897,823,21,180289.35,2017-04-24
99937,789,22,174460.016667,2017-04-25
93074,712,17,163964.55,2017-04-26
91055,692,26,164011.35,2017-04-27
92552,613,27,164781.016667,2017-04-28
91652,551,25,155508.883333,2017-04-29
83125,591,11,139664.05,2017-04-30
79418,644,18,137015.316667,2017-05-01
70543,466,9,128190.933333,2017-05-02
67644,452,9,124309.216667,2017-05-03
68371,410,14,126272.683333,2017-05-04
69628,412,10,128680.416667,2017-05-05
67766,419,12,120877.466667,2017-05-06
60617,386,19,109287.933333,2017-05-07
58609,344,9,110153.333333,2017-05-08
57000,334,13,107943.05,2017-05-09
57173,361,8,108301.9,2017-05-10
55738,319,14,104009.516667,2017-05-11
60380,326,12,111142.683333,2017-05-12
58926,331,7,105776.95,2017-05-13
49903,280,7,90627.6666667,2017-05-14
47474,249,7,89171.9833333,2017-05-15
46541,247,4,88034.25,2017-05-16
45300,243,12,85581.6,2017-05-17
44986,245,6,84874.5833333,2017-05-18
48320,273,10,89546.2666667,2017-05-19
52850,227,8,96451.1833333,2017-05-20
44180,261,7,79363.75,2017-05-21
42935,236,8,80214.2666667,2017-05-22
