dailyViewcount,numShare,numSubscriber,watchTime,date
11553,309,46,24929.35,2017-01-13
8176,245,15,19566.45,2017-01-14
26948,1509,64,68766.8666667,2017-01-15
82325,3743,128,252342.05,2017-01-16
80604,2410,0,231717.016667,2017-01-17
91295,2281,0,261897.266667,2017-01-18
88905,1879,0,256337.55,2017-01-19
90447,1906,0,253899.166667,2017-01-20
92961,1630,0,262501.566667,2017-01-21
87500,1607,0,244313.433333,2017-01-22
90492,1546,0,258537.3,2017-01-23
88399,1583,0,253698.7,2017-01-24
92785,1625,0,263471.9,2017-01-25
97876,2012,0,279576.616667,2017-01-26
96595,1760,0,276507.933333,2017-01-27
102419,1578,85,288780.666667,2017-01-28
112220,1866,91,316183.25,2017-01-29
118081,1852,92,341905.833333,2017-01-30
122141,1952,84,359080.85,2017-01-31
133447,2206,87,386860.25,2017-02-01
145330,2241,103,423589.45,2017-02-02
150833,2312,101,431907.4,2017-02-03
160036,2248,101,453863.6,2017-02-04
157762,2379,97,457016.45,2017-02-05
165464,2383,110,497608.683333,2017-02-06
176244,2625,122,529175.133333,2017-02-07
188621,2791,114,560403.283333,2017-02-08
209467,2958,133,616450.083333,2017-02-09
224100,3087,176,635918.733333,2017-02-10
392791,3440,201,914456.466667,2017-02-11
299725,3250,182,766755.683333,2017-02-12
289250,3174,164,798499.216667,2017-02-13
335713,3134,160,883452.083333,2017-02-14
387554,3755,212,997503.4,2017-02-15
417218,3883,244,1047139.48333,2017-02-16
373871,3644,215,953804.766667,2017-02-17
332728,3452,220,846993.516667,2017-02-18
320154,3792,207,832320.466667,2017-02-19
348773,3844,188,932717.066667,2017-02-20
350287,3614,197,951745.783333,2017-02-21
353064,3826,214,978061.65,2017-02-22
329275,3681,199,920860.833333,2017-02-23
346639,3434,217,945404.75,2017-02-24
357758,3606,201,946763.066667,2017-02-25
356040,3999,204,960600.7,2017-02-26
373040,4239,212,1038680.63333,2017-02-27
450557,4069,241,1183760.06667,2017-02-28
445866,4437,260,1161596.7,2017-03-01
422123,4355,250,1125946.58333,2017-03-02
401637,3941,203,1048863.03333,2017-03-03
411529,3860,207,1049633.85,2017-03-04
385194,4103,201,998587.533333,2017-03-05
391234,3806,224,1043566.05,2017-03-06
403970,3787,205,1073022.53333,2017-03-07
416407,3875,172,1064030.78333,2017-03-08
382612,3564,150,1001714.05,2017-03-09
403130,3619,159,1030895.88333,2017-03-10
424055,3643,149,1054419.0,2017-03-11
380648,3614,123,963370.966667,2017-03-12
370317,3411,132,976890.15,2017-03-13
366043,3405,143,968598.666667,2017-03-14
364178,3467,139,968410.35,2017-03-15
373356,3490,140,1000727.33333,2017-03-16
379688,3348,125,995667.75,2017-03-17
347085,3345,123,892958.85,2017-03-18
330383,3487,96,863018.25,2017-03-19
357227,3597,136,954036.4,2017-03-20
362858,3349,123,975749.8,2017-03-21
334156,3398,135,899505.633333,2017-03-22
349426,3205,124,931732.216667,2017-03-23
347371,3266,120,901396.583333,2017-03-24
332790,3030,114,851883.966667,2017-03-25
292644,3133,94,763883.233333,2017-03-26
296106,2771,108,790947.933333,2017-03-27
289918,2883,102,774638.633333,2017-03-28
291537,2853,111,773882.666667,2017-03-29
295578,3014,82,785694.233333,2017-03-30
339797,2962,124,870445.983333,2017-03-31
334895,3034,107,843381.1,2017-04-01
331307,3279,98,836169.7,2017-04-02
331464,2921,148,862306.416667,2017-04-03
327020,2875,120,854930.283333,2017-04-04
386543,3297,145,996089.1,2017-04-05
397407,3196,139,1017528.36667,2017-04-06
415194,3192,158,1040190.76667,2017-04-07
388557,3134,119,961856.683333,2017-04-08
370378,3239,106,922491.533333,2017-04-09
370062,3488,136,942446.283333,2017-04-10
348955,3298,141,889412.933333,2017-04-11
381919,3616,125,962433.716667,2017-04-12
413202,3570,123,1034750.43333,2017-04-13
398821,3167,124,989114.8,2017-04-14
369674,3064,106,909126.65,2017-04-15
352833,2973,87,862757.1,2017-04-16
381559,3262,120,945890.533333,2017-04-17
373359,3119,136,933532.85,2017-04-18
374845,3229,134,939994.483333,2017-04-19
382464,3065,119,955917.45,2017-04-20
376348,3053,135,926417.066667,2017-04-21
381224,3028,115,924843.416667,2017-04-22
379022,3179,121,919862.433333,2017-04-23
372921,2988,128,932152.516667,2017-04-24
381080,2859,127,945652.966667,2017-04-25
392789,3104,138,969270.966667,2017-04-26
395940,3116,142,975337.083333,2017-04-27
384751,2898,98,928575.566667,2017-04-28
385429,2945,106,911084.483333,2017-04-29
357982,3209,95,851263.45,2017-04-30
368609,3000,138,895009.533333,2017-05-01
372326,3105,134,908159.816667,2017-05-02
377625,3243,148,934873.5,2017-05-03
395913,3172,144,976309.483333,2017-05-04
398090,3187,166,964056.266667,2017-05-05
406666,3196,112,966264.666667,2017-05-06
381808,3298,116,917455.783333,2017-05-07
374881,3280,143,927323.316667,2017-05-08
376193,3107,123,926719.55,2017-05-09
375863,3066,135,920444.566667,2017-05-10
358680,3021,133,882199.6,2017-05-11
385921,2952,117,912707.283333,2017-05-12
410149,3128,108,957641.6,2017-05-13
367760,3102,105,863892.333333,2017-05-14
350644,2829,100,847713.6,2017-05-15
359780,2859,105,863634.916667,2017-05-16
361575,2835,114,865573.75,2017-05-17
331432,2439,95,787792.2,2017-05-18
322127,2134,102,752029.583333,2017-05-19
329045,2147,89,757688.1,2017-05-20
301951,3390,103,701624.283333,2017-05-21
323270,3238,128,774047.2,2017-05-22
