dailyViewcount,numShare,numSubscriber,watchTime,date
9321919,134995,9399,19699170.6333,2017-05-04
5150420,52589,3497,10555898.2667,2017-05-05
4163480,39397,2061,8550889.95,2017-05-06
3927424,36353,1975,8188079.06667,2017-05-07
3535362,29308,2029,7688895.86667,2017-05-08
3630919,27789,1937,7898612.93333,2017-05-09
3424186,25061,1558,7537550.81667,2017-05-10
2994304,21019,1123,6794305.3,2017-05-11
3110297,21103,1167,6920989.13333,2017-05-12
3734715,25493,1129,7641203.83333,2017-05-13
2273726,16822,808,5331788.06667,2017-05-14
2663446,18123,810,6038102.3,2017-05-15
2320012,14843,712,5497689.83333,2017-05-16
2445181,14600,763,5825585.88333,2017-05-17
2552597,14526,736,6038482.61667,2017-05-18
2625833,15033,809,6144164.21667,2017-05-19
2672660,15743,776,6244050.26667,2017-05-20
2357702,15601,707,5609281.83333,2017-05-21
2290324,13217,690,5546523.36667,2017-05-22
