dailyViewcount,numShare,numSubscriber,watchTime,date
10,0,0,26.5833333333,2013-05-25
2,0,0,15.0333333333,2013-05-26
4,0,0,2.8,2013-05-27
1,0,0,3.0,2013-05-28
7,0,0,2.41666666667,2013-05-29
4,1,0,10.5666666667,2013-05-30
3,0,0,4.0,2013-05-31
7,0,0,11.5166666667,2013-06-01
2,0,0,5.2,2013-06-02
1,0,0,0.116666666667,2013-06-03
1,0,0,1.28333333333,2013-06-04
2,0,0,0.35,2013-06-05
1,0,0,3.21666666667,2013-06-06
0,0,0,0.0,2013-06-07
7,0,0,39.7833333333,2013-06-08
6,0,0,10.95,2013-06-09
6,0,0,12.0333333333,2013-06-10
3,0,0,6.01666666667,2013-06-11
1,0,0,19.7333333333,2013-06-12
3,0,0,6.41666666667,2013-06-13
1,0,0,3.21666666667,2013-06-14
2,0,0,2.61666666667,2013-06-15
3,0,0,8.5,2013-06-16
0,0,0,0.0,2013-06-17
3,0,0,9.51666666667,2013-06-18
2,0,0,4.08333333333,2013-06-19
4,0,0,8.16666666667,2013-06-20
7,0,0,9.05,2013-06-21
18,0,0,31.45,2013-06-22
18,0,0,21.7833333333,2013-06-23
2,0,0,3.5,2013-06-24
1,0,0,0.883333333333,2013-06-25
4,0,0,1.15,2013-06-26
5,0,0,5.63333333333,2013-06-27
1,0,0,1.98333333333,2013-06-28
12,0,0,29.9666666667,2013-06-29
8,0,0,22.0,2013-06-30
5,0,0,10.35,2013-07-01
5,0,0,13.75,2013-07-02
1,0,0,0.366666666667,2013-07-03
2,0,0,2.45,2013-07-04
2,0,0,2.0,2013-07-05
0,0,0,0.0,2013-07-06
0,0,0,0.0,2013-07-07
2,0,0,3.33333333333,2013-07-08
1,0,0,0.516666666667,2013-07-09
2,0,0,2.06666666667,2013-07-10
7,0,0,18.1,2013-07-11
1,0,0,2.65,2013-07-12
2,0,0,3.73333333333,2013-07-13
1,0,0,3.6,2013-07-14
0,0,0,0.0,2013-07-15
2,0,0,2.33333333333,2013-07-16
4,0,0,7.08333333333,2013-07-17
3,0,0,5.53333333333,2013-07-18
5,0,0,4.88333333333,2013-07-19
2,0,0,0.2,2013-07-20
2,0,0,0.883333333333,2013-07-21
4,0,0,10.15,2013-07-22
1,0,0,2.63333333333,2013-07-23
2,0,0,5.35,2013-07-24
3,0,0,4.21666666667,2013-07-25
2,0,0,2.36666666667,2013-07-26
0,0,0,0.0,2013-07-27
2,0,0,1.25,2013-07-28
0,0,0,0.0,2013-07-29
1,0,0,1.83333333333,2013-07-30
1,0,0,0.0666666666667,2013-07-31
0,0,0,0.0,2013-08-01
2,0,0,0.85,2013-08-02
2,0,0,4.7,2013-08-03
0,0,0,0.0,2013-08-04
0,0,0,0.0,2013-08-05
3,0,0,0.916666666667,2013-08-06
0,0,0,0.0,2013-08-07
0,0,0,0.0,2013-08-08
0,0,0,0.0,2013-08-09
2,0,0,0.833333333333,2013-08-10
