dailyViewcount,numShare,numSubscriber,watchTime,date
275057,4506,195,615416.55,2015-12-28
308834,3677,381,739910.5,2015-12-29
249322,2216,220,582213.75,2015-12-30
212159,1352,113,513032.016667,2015-12-31
154408,1263,121,372220.466667,2016-01-01
145932,1252,88,364164.4,2016-01-02
131023,1234,90,316797.933333,2016-01-03
173468,1587,188,421287.333333,2016-01-04
168392,1570,204,416573.05,2016-01-05
138357,1213,94,347874.633333,2016-01-06
143091,1328,116,359915.266667,2016-01-07
151094,1177,80,381121.216667,2016-01-08
150548,1167,79,373332.45,2016-01-09
131918,1218,58,322449.983333,2016-01-10
127617,1137,55,319254.55,2016-01-11
126357,1099,57,315948.433333,2016-01-12
136482,1105,69,341100.333333,2016-01-13
146211,1187,102,361212.083333,2016-01-14
156046,1171,93,388242.366667,2016-01-15
155819,1135,117,381035.983333,2016-01-16
132761,1116,79,321623.716667,2016-01-17
131018,1116,87,320143.216667,2016-01-18
131767,1119,64,323031.9,2016-01-19
133086,1127,69,328701.55,2016-01-20
137513,1175,84,340614.566667,2016-01-21
136511,1037,44,342634.166667,2016-01-22
130863,989,73,325537.733333,2016-01-23
120150,1061,71,289370.166667,2016-01-24
127978,1044,77,314433.983333,2016-01-25
138662,1116,88,336295.483333,2016-01-26
161508,1257,101,384709.533333,2016-01-27
171796,1220,124,405845.633333,2016-01-28
179031,1187,113,432064.316667,2016-01-29
167656,1144,97,403403.2,2016-01-30
144863,1125,85,338492.2,2016-01-31
147615,1129,120,354757.6,2016-02-01
142476,1121,96,343118.95,2016-02-02
148023,1144,84,356544.983333,2016-02-03
145306,1046,74,358360.466667,2016-02-04
155680,1052,63,378907.4,2016-02-05
141668,937,54,348008.15,2016-02-06
113805,852,51,281545.616667,2016-02-07
122806,939,73,299425.183333,2016-02-08
132579,930,102,322346.433333,2016-02-09
129955,1002,81,317004.283333,2016-02-10
133801,1006,65,327588.466667,2016-02-11
140921,938,56,348545.183333,2016-02-12
139705,890,85,341933.316667,2016-02-13
116279,896,62,280717.833333,2016-02-14
114319,961,63,277462.933333,2016-02-15
116979,905,77,285176.283333,2016-02-16
117166,908,75,285349.916667,2016-02-17
119876,887,81,290310.933333,2016-02-18
129233,861,71,316280.166667,2016-02-19
132331,906,59,320887.383333,2016-02-20
112027,883,69,266330.433333,2016-02-21
107712,831,49,263766.1,2016-02-22
100161,765,38,246948.95,2016-02-23
101060,695,43,248677.383333,2016-02-24
105751,822,45,258617.516667,2016-02-25
121718,823,62,295991.616667,2016-02-26
123060,865,78,296192.8,2016-02-27
102743,788,57,242471.9,2016-02-28
99953,777,66,241239.133333,2016-02-29
102061,749,55,243691.316667,2016-03-01
103217,809,60,246876.9,2016-03-02
106092,802,51,252247.816667,2016-03-03
114537,807,58,272120.333333,2016-03-04
117569,768,58,275914.066667,2016-03-05
98931,824,30,227399.116667,2016-03-06
96467,750,32,226237.266667,2016-03-07
97490,720,79,230000.183333,2016-03-08
95256,744,40,225836.65,2016-03-09
91276,689,32,220305.183333,2016-03-10
97424,689,37,236277.8,2016-03-11
109121,686,37,257606.533333,2016-03-12
95673,729,49,217683.866667,2016-03-13
95063,756,29,222584.8,2016-03-14
93255,731,45,221089.033333,2016-03-15
92003,709,46,218280.766667,2016-03-16
96060,770,28,226978.683333,2016-03-17
106322,762,58,250507.483333,2016-03-18
136326,822,52,317561.333333,2016-03-19
121427,828,55,279223.1,2016-03-20
128764,882,41,302286.0,2016-03-21
130270,864,65,311767.95,2016-03-22
143649,846,59,349175.283333,2016-03-23
152058,910,65,369468.1,2016-03-24
149344,872,64,361414.3,2016-03-25
147970,825,56,357945.916667,2016-03-26
132729,883,45,316229.433333,2016-03-27
135998,790,78,330804.55,2016-03-28
135719,830,45,332803.766667,2016-03-29
136902,831,42,338822.55,2016-03-30
145602,898,38,359479.333333,2016-03-31
149751,792,46,371767.483333,2016-04-01
148234,804,41,366517.9,2016-04-02
135412,805,44,332595.166667,2016-04-03
140367,831,50,352998.516667,2016-04-04
139653,830,49,358449.15,2016-04-05
144759,831,41,375310.266667,2016-04-06
150964,814,54,391238.333333,2016-04-07
156960,743,62,409710.033333,2016-04-08
155562,780,70,400393.95,2016-04-09
131782,763,36,334076.533333,2016-04-10
136580,754,50,355543.4,2016-04-11
140344,747,63,365550.233333,2016-04-12
144483,761,52,379947.85,2016-04-13
138705,702,44,364805.866667,2016-04-14
151058,656,53,400149.166667,2016-04-15
143257,659,46,375990.516667,2016-04-16
124306,686,45,321764.866667,2016-04-17
131423,693,42,343768.083333,2016-04-18
140662,729,57,375055.883333,2016-04-19
147666,775,46,391965.983333,2016-04-20
138379,725,46,363049.616667,2016-04-21
137583,710,42,363037.133333,2016-04-22
138770,715,44,360185.033333,2016-04-23
121562,741,47,311544.9,2016-04-24
129072,766,41,338932.066667,2016-04-25
128320,736,48,340643.75,2016-04-26
123038,700,51,331000.466667,2016-04-27
121740,737,28,326799.4,2016-04-28
131038,762,28,354379.883333,2016-04-29
126335,681,32,337244.866667,2016-04-30
114768,774,28,300266.016667,2016-05-01
120133,782,43,320030.05,2016-05-02
117114,743,25,312934.183333,2016-05-03
121041,725,29,321785.6,2016-05-04
125351,743,38,333593.25,2016-05-05
129798,761,31,345434.183333,2016-05-06
126290,725,37,332533.483333,2016-05-07
108148,763,26,279676.133333,2016-05-08
113203,765,27,293381.916667,2016-05-09
84738,643,19,219208.05,2016-05-10
60419,579,15,154516.4,2016-05-11
61323,520,18,157260.7,2016-05-12
62362,520,16,161113.5,2016-05-13
56526,469,7,141828.966667,2016-05-14
47255,514,22,117399.816667,2016-05-15
45708,490,17,114722.75,2016-05-16
45768,509,21,114371.116667,2016-05-17
45523,509,17,114100.65,2016-05-18
48070,470,20,120012.283333,2016-05-19
52653,474,18,132130.166667,2016-05-20
52346,466,15,130402.716667,2016-05-21
42072,478,11,103762.45,2016-05-22
39678,431,20,100439.716667,2016-05-23
40194,439,8,101856.583333,2016-05-24
38709,442,14,97445.9166667,2016-05-25
39735,465,15,100653.716667,2016-05-26
43457,388,8,109946.033333,2016-05-27
42490,380,14,106566.083333,2016-05-28
38819,402,12,95338.75,2016-05-29
36713,397,11,90278.15,2016-05-30
36926,428,13,92242.8333333,2016-05-31
37721,416,13,93284.3333333,2016-06-01
38349,393,15,94999.2166667,2016-06-02
42047,394,12,104304.433333,2016-06-03
42767,414,13,104632.033333,2016-06-04
36122,405,11,86831.6,2016-06-05
34823,406,10,85432.55,2016-06-06
34866,412,9,86048.6833333,2016-06-07
35316,425,15,89000.6666667,2016-06-08
37096,354,11,92070.2833333,2016-06-09
39814,371,9,99057.0333333,2016-06-10
42847,341,18,104849.633333,2016-06-11
38385,419,13,92337.8166667,2016-06-12
36731,416,14,89419.8833333,2016-06-13
38201,379,17,93233.0,2016-06-14
39715,439,17,97279.5666667,2016-06-15
40700,431,16,98695.55,2016-06-16
44508,457,13,109915.116667,2016-06-17
44313,372,17,109111.016667,2016-06-18
37994,448,14,90250.55,2016-06-19
38311,465,16,91878.85,2016-06-20
39537,436,20,95596.4166667,2016-06-21
39971,450,12,96559.3166667,2016-06-22
42055,504,13,101469.483333,2016-06-23
46628,468,15,113398.25,2016-06-24
45959,436,6,110916.616667,2016-06-25
41294,489,16,97700.4833333,2016-06-26
41090,482,12,98407.0666667,2016-06-27
42906,433,14,102288.883333,2016-06-28
43078,456,10,104014.716667,2016-06-29
43207,489,15,104291.683333,2016-06-30
48760,475,9,116886.2,2016-07-01
47365,494,12,112917.916667,2016-07-02
43233,503,13,102370.333333,2016-07-03
43354,428,11,103546.283333,2016-07-04
42585,467,16,100471.116667,2016-07-05
42500,447,19,101555.8,2016-07-06
42532,494,16,100819.65,2016-07-07
45924,450,10,109815.15,2016-07-08
46720,475,13,111890.716667,2016-07-09
41332,447,11,95931.1833333,2016-07-10
41432,492,7,98472.75,2016-07-11
42321,483,13,101337.866667,2016-07-12
42964,482,13,103121.983333,2016-07-13
42807,452,10,104000.166667,2016-07-14
42926,408,10,106814.933333,2016-07-15
44061,427,11,107319.583333,2016-07-16
37329,422,8,89201.05,2016-07-17
37458,414,13,90185.25,2016-07-18
39116,448,14,94237.1166667,2016-07-19
37978,441,6,91781.85,2016-07-20
39278,426,14,94536.0166667,2016-07-21
43179,439,6,106060.6,2016-07-22
42836,399,10,104571.033333,2016-07-23
