dailyViewcount,numShare,numSubscriber,watchTime,date
5625,11,1,10243.0166667,2017-03-19
12662,10,4,22190.0,2017-03-20
22420,37,7,36964.8166667,2017-03-21
47681,39,6,75637.1833333,2017-03-22
28627,35,7,46956.6166667,2017-03-23
65909,70,19,111256.716667,2017-03-24
71130,86,19,112123.816667,2017-03-25
52916,41,11,90252.75,2017-03-26
52679,49,12,91097.8333333,2017-03-27
35756,48,6,62599.2,2017-03-28
28261,53,5,50308.8,2017-03-29
45599,57,10,81881.4,2017-03-30
27538,40,9,48990.85,2017-03-31
36402,36,11,64202.1166667,2017-04-01
42613,57,15,74515.3666667,2017-04-02
83432,104,35,149061.366667,2017-04-03
115969,134,48,208217.383333,2017-04-04
94202,105,53,168927.616667,2017-04-05
48755,55,19,87742.2666667,2017-04-06
30348,31,15,54216.95,2017-04-07
19114,16,16,33735.6333333,2017-04-08
18976,26,9,33589.2833333,2017-04-09
15250,23,12,26676.2,2017-04-10
16640,13,7,29325.3833333,2017-04-11
18074,18,8,31921.4,2017-04-12
24462,23,13,43727.5833333,2017-04-13
46499,39,15,81003.1166667,2017-04-14
47505,44,24,80413.2,2017-04-15
53561,53,19,93510.6166667,2017-04-16
56185,60,33,98908.6166667,2017-04-17
37205,32,18,65048.9333333,2017-04-18
29587,19,10,51334.4666667,2017-04-19
15592,12,7,27124.0333333,2017-04-20
16497,15,4,28544.8666667,2017-04-21
10368,7,4,17721.9,2017-04-22
8530,3,1,14846.4333333,2017-04-23
6339,6,3,11031.4833333,2017-04-24
5621,2,1,9701.06666667,2017-04-25
4358,4,5,7360.43333333,2017-04-26
6017,6,1,10351.8166667,2017-04-27
6509,6,3,11139.75,2017-04-28
6209,4,4,10618.6833333,2017-04-29
8112,5,1,13473.3166667,2017-04-30
7985,3,4,13600.1,2017-05-01
5788,4,1,9922.46666667,2017-05-02
6422,6,0,10714.1833333,2017-05-03
6451,3,3,10964.4833333,2017-05-04
9325,9,1,15253.0333333,2017-05-05
8273,4,8,13570.9166667,2017-05-06
6603,4,3,10911.5333333,2017-05-07
7724,5,0,12984.7833333,2017-05-08
7042,7,2,11667.65,2017-05-09
7339,4,5,12263.45,2017-05-10
8997,3,7,15337.5,2017-05-11
6697,6,1,11058.85,2017-05-12
7310,4,0,11986.2833333,2017-05-13
6402,2,3,10471.2833333,2017-05-14
6731,0,2,10937.7333333,2017-05-15
5369,4,1,8881.28333333,2017-05-16
4921,5,2,8146.13333333,2017-05-17
4517,3,1,7443.98333333,2017-05-18
4469,3,1,7250.35,2017-05-19
4795,3,0,7516.1,2017-05-20
5317,5,0,8619.58333333,2017-05-21
5276,4,3,8413.46666667,2017-05-22
