dailyViewcount,numShare,numSubscriber,watchTime,date
9509,61,12,23174.6166667,2015-05-02
16311,14,4,26802.3833333,2015-05-03
8627,22,5,17942.2166667,2015-05-04
5257,13,5,12991.3,2015-05-05
4853,14,4,12968.4666667,2015-05-06
4991,19,6,13327.1666667,2015-05-07
5225,6,6,13602.6166667,2015-05-08
5262,21,9,14262.4666667,2015-05-09
4422,15,1,12310.6166667,2015-05-10
4685,16,4,13223.9666667,2015-05-11
4469,19,3,12377.1,2015-05-12
4615,17,5,13082.55,2015-05-13
4647,17,10,13557.6333333,2015-05-14
4631,16,4,13304.3833333,2015-05-15
4736,21,11,13617.5166667,2015-05-16
4172,10,6,12348.3166667,2015-05-17
4351,4,5,13002.2333333,2015-05-18
4671,12,3,13436.0333333,2015-05-19
4577,12,1,13181.7666667,2015-05-20
4851,18,8,13477.1833333,2015-05-21
5324,14,3,15250.2166667,2015-05-22
5821,22,8,16946.95,2015-05-23
4587,11,6,13686.6333333,2015-05-24
4619,12,4,14005.25,2015-05-25
4055,13,6,11910.3666667,2015-05-26
4126,8,3,11742.55,2015-05-27
4264,16,6,12148.5666667,2015-05-28
4429,15,1,12542.0666667,2015-05-29
4631,13,5,13382.4,2015-05-30
4435,11,2,12806.2,2015-05-31
4238,12,2,12584.1833333,2015-06-01
4307,10,3,12356.9,2015-06-02
4159,14,3,11711.2166667,2015-06-03
4368,20,7,12408.0833333,2015-06-04
4610,10,3,12950.25,2015-06-05
4556,19,5,13180.2,2015-06-06
3919,12,1,11636.75,2015-06-07
4012,18,2,12069.9666667,2015-06-08
4097,11,4,12074.8166667,2015-06-09
4043,14,1,11670.25,2015-06-10
4274,12,7,12752.3666667,2015-06-11
4893,16,9,14183.5,2015-06-12
5291,22,8,15222.8166667,2015-06-13
4442,9,5,12877.8166667,2015-06-14
4612,9,2,13722.8833333,2015-06-15
4737,15,5,13469.9,2015-06-16
4618,16,3,13253.5,2015-06-17
4539,21,7,13290.0666667,2015-06-18
4715,16,6,13213.6833333,2015-06-19
4916,18,3,14102.3833333,2015-06-20
4119,15,2,11967.1833333,2015-06-21
4413,10,9,12810.85,2015-06-22
4287,19,6,12492.45,2015-06-23
4423,14,1,12686.2166667,2015-06-24
4237,22,8,11981.85,2015-06-25
4441,17,6,12197.45,2015-06-26
4779,10,4,13629.9166667,2015-06-27
3839,8,3,10874.35,2015-06-28
3727,12,5,10838.9333333,2015-06-29
3680,10,5,10424.8166667,2015-06-30
3806,10,3,10425.7333333,2015-07-01
3868,15,1,10862.3666667,2015-07-02
4343,9,6,11930.8,2015-07-03
4249,12,4,11940.55,2015-07-04
3817,14,-1,10755.2,2015-07-05
3455,8,6,9754.41666667,2015-07-06
3677,26,3,10238.7166667,2015-07-07
3714,10,9,10557.6666667,2015-07-08
3732,13,3,10629.6666667,2015-07-09
4075,7,2,11450.2166667,2015-07-10
4120,11,3,11477.45,2015-07-11
3751,18,1,10296.3166667,2015-07-12
3546,7,6,9761.86666667,2015-07-13
3577,12,6,10003.4,2015-07-14
3752,15,6,10478.6833333,2015-07-15
3828,4,1,10570.6166667,2015-07-16
4293,11,1,11834.05,2015-07-17
4293,14,3,11679.5833333,2015-07-18
4033,9,1,11471.4,2015-07-19
3954,23,5,10701.3333333,2015-07-20
3799,8,2,10529.9166667,2015-07-21
3680,9,2,10018.8166667,2015-07-22
3906,12,2,10566.5,2015-07-23
4062,15,4,11203.0333333,2015-07-24
4063,26,5,10987.4333333,2015-07-25
3473,13,0,9927.4,2015-07-26
3457,6,5,9587.51666667,2015-07-27
3523,25,5,9498.68333333,2015-07-28
3433,9,3,9200.18333333,2015-07-29
3712,30,2,10081.1666667,2015-07-30
4047,14,4,11233.15,2015-07-31
4042,15,1,11250.2166667,2015-08-01
3389,14,2,9435.3,2015-08-02
3623,7,4,9804.53333333,2015-08-03
3604,8,3,9954.56666667,2015-08-04
3781,10,1,9952.23333333,2015-08-05
3973,10,3,11041.5166667,2015-08-06
4065,7,3,11116.4833333,2015-08-07
4195,5,4,11293.6666667,2015-08-08
3787,8,2,10466.1666667,2015-08-09
3944,10,1,10635.0833333,2015-08-10
3837,7,7,10814.3333333,2015-08-11
3751,13,2,10637.9833333,2015-08-12
3765,8,0,10017.1666667,2015-08-13
4126,5,6,11025.2833333,2015-08-14
4364,8,2,11637.6333333,2015-08-15
3631,6,3,9764.91666667,2015-08-16
3658,13,4,10080.65,2015-08-17
3706,12,6,9941.2,2015-08-18
3781,9,2,10310.8333333,2015-08-19
3911,12,3,11047.8666667,2015-08-20
4282,12,2,11558.6833333,2015-08-21
