dailyViewcount,numShare,numSubscriber,watchTime,date
28413,251,5,64523.9833333,2017-04-07
60058,554,5,136576.1,2017-04-08
57645,740,6,127927.8,2017-04-09
76801,720,16,170747.1,2017-04-10
84637,695,13,190878.616667,2017-04-11
104933,738,14,229398.783333,2017-04-12
158431,848,49,344246.783333,2017-04-13
272899,1374,43,578465.316667,2017-04-14
305641,1384,29,669215.116667,2017-04-15
379287,1663,49,830366.05,2017-04-16
359890,1601,52,804048.65,2017-04-17
356802,1689,56,801715.4,2017-04-18
353363,1469,60,803731.916667,2017-04-19
326931,1225,36,754125.533333,2017-04-20
393580,1153,58,891074.283333,2017-04-21
410829,1154,29,918374.383333,2017-04-22
336542,1175,34,751825.766667,2017-04-23
292059,968,38,668465.783333,2017-04-24
277243,818,46,636202.416667,2017-04-25
288890,790,28,653457.766667,2017-04-26
301750,813,55,678381.933333,2017-04-27
320776,753,24,716731.05,2017-04-28
343521,891,34,756691.65,2017-04-29
276618,885,23,609783.916667,2017-04-30
276517,770,40,616996.566667,2017-05-01
285878,835,20,636461.55,2017-05-02
283935,910,46,634174.933333,2017-05-03
300069,984,46,663747.95,2017-05-04
334186,889,41,730117.0,2017-05-05
333595,852,17,730347.0,2017-05-06
265201,816,23,586119.433333,2017-05-07
260110,861,31,579565.4,2017-05-08
259551,805,30,580833.033333,2017-05-09
269222,862,32,600790.116667,2017-05-10
247173,798,29,549158.3,2017-05-11
283393,821,34,627922.1,2017-05-12
295708,812,21,655726.866667,2017-05-13
250231,782,19,559837.916667,2017-05-14
220409,738,14,498350.283333,2017-05-15
237882,676,19,532738.483333,2017-05-16
229498,668,26,511646.483333,2017-05-17
225474,719,21,499186.85,2017-05-18
258688,650,18,563764.733333,2017-05-19
266267,734,15,573769.383333,2017-05-20
191696,692,12,414784.466667,2017-05-21
187188,634,24,407221.533333,2017-05-22
