dailyViewcount,numShare,numSubscriber,watchTime,date
321518,2126,449,1360873.85,2013-04-22
840030,3419,1229,2801261.8,2013-04-23
883849,2126,859,2735821.78333,2013-04-24
665497,1721,659,2274333.5,2013-04-25
424355,1257,419,1692764.53333,2013-04-26
475264,1221,550,1778940.51667,2013-04-27
439952,1203,493,1660691.31667,2013-04-28
409348,1145,447,1511658.96667,2013-04-29
389667,993,435,1435866.96667,2013-04-30
387933,841,433,1328962.9,2013-05-01
242449,698,211,1027566.93333,2013-05-02
226501,541,195,953707.35,2013-05-03
225102,473,184,937425.45,2013-05-04
206633,464,167,856073.333333,2013-05-05
207417,506,186,840441.2,2013-05-06
178981,412,135,753833.916667,2013-05-07
195156,498,169,842325.166667,2013-05-08
199168,517,173,850407.216667,2013-05-09
188509,426,108,826804.85,2013-05-10
188921,374,99,805574.266667,2013-05-11
168577,335,114,718399.733333,2013-05-12
174901,373,112,724405.633333,2013-05-13
176805,425,121,736407.233333,2013-05-14
171596,412,118,736389.483333,2013-05-15
188694,436,121,812864.516667,2013-05-16
208574,448,162,864352.233333,2013-05-17
185600,371,114,787436.433333,2013-05-18
170390,373,120,723458.8,2013-05-19
174326,422,123,732634.066667,2013-05-20
154847,328,96,650723.433333,2013-05-21
167362,427,137,722662.616667,2013-05-22
166013,366,124,711044.183333,2013-05-23
170627,364,135,729791.483333,2013-05-24
178137,330,111,743223.166667,2013-05-25
161606,307,88,664767.666667,2013-05-26
157678,316,113,662924.65,2013-05-27
203525,457,170,793602.55,2013-05-28
160461,351,108,666747.266667,2013-05-29
159260,340,99,661668.433333,2013-05-30
158491,313,100,657651.0,2013-05-31
160790,261,107,648232.866667,2013-06-01
145555,253,86,589956.116667,2013-06-02
144104,327,93,586678.5,2013-06-03
151124,312,107,614814.483333,2013-06-04
156716,311,84,638944.15,2013-06-05
163602,331,99,661877.65,2013-06-06
171105,333,99,689106.983333,2013-06-07
161135,285,104,646499.766667,2013-06-08
145311,278,91,573091.883333,2013-06-09
149088,320,97,599058.833333,2013-06-10
147305,300,89,590514.716667,2013-06-11
152381,362,103,606755.683333,2013-06-12
159594,322,117,634658.516667,2013-06-13
153435,311,115,615166.633333,2013-06-14
150113,262,101,587075.766667,2013-06-15
137067,201,102,535254.8,2013-06-16
134497,260,96,533027.233333,2013-06-17
134905,293,85,542488.55,2013-06-18
143364,291,102,576272.05,2013-06-19
139785,292,95,544564.416667,2013-06-20
136534,268,92,532797.7,2013-06-21
121076,219,71,476924.25,2013-06-22
126014,287,100,477600.866667,2013-06-23
121766,306,95,470911.316667,2013-06-24
121518,280,103,473731.766667,2013-06-25
126251,272,105,491508.933333,2013-06-26
125785,268,86,492647.966667,2013-06-27
132999,254,95,511744.716667,2013-06-28
132004,210,80,502069.416667,2013-06-29
158756,263,107,584454.383333,2013-06-30
221506,402,149,843221.35,2013-07-01
276398,467,150,1009399.73333,2013-07-02
259010,460,156,942175.2,2013-07-03
219020,315,112,786535.716667,2013-07-04
206450,301,119,746173.9,2013-07-05
201250,321,97,725810.783333,2013-07-06
185720,293,108,668070.516667,2013-07-07
186226,340,105,686911.6,2013-07-08
191063,398,130,718760.316667,2013-07-09
199020,364,125,738063.4,2013-07-10
195008,370,107,672735.916667,2013-07-11
185607,357,100,639434.15,2013-07-12
177353,257,86,587798.916667,2013-07-13
157835,291,93,517463.866667,2013-07-14
169636,292,108,568149.3,2013-07-15
151136,289,92,516976.216667,2013-07-16
163607,286,104,552698.766667,2013-07-17
159776,307,101,555822.116667,2013-07-18
159229,262,73,597142.3,2013-07-19
150121,242,77,549853.35,2013-07-20
143633,206,87,521351.866667,2013-07-21
154498,278,87,565060.95,2013-07-22
150471,267,79,551755.25,2013-07-23
147593,246,90,545265.616667,2013-07-24
137743,184,62,516855.85,2013-07-25
143328,276,82,538419.733333,2013-07-26
132474,224,55,491878.0,2013-07-27
119616,192,76,442644.45,2013-07-28
124025,208,68,468819.733333,2013-07-29
132603,258,91,498046.383333,2013-07-30
131883,242,78,496997.966667,2013-07-31
124832,268,88,474121.4,2013-08-01
129915,240,80,494099.416667,2013-08-02
124578,189,82,460356.233333,2013-08-03
116600,193,65,425496.466667,2013-08-04
118835,241,50,443365.166667,2013-08-05
128365,241,85,476317.833333,2013-08-06
128796,220,67,481371.216667,2013-08-07
132209,207,70,488320.233333,2013-08-08
126102,182,66,469027.7,2013-08-09
118815,178,71,432822.716667,2013-08-10
108085,170,53,389937.5,2013-08-11
113091,210,66,415435.55,2013-08-12
115585,214,69,426774.5,2013-08-13
114623,223,78,431098.833333,2013-08-14
112603,173,61,416436.35,2013-08-15
116672,199,70,427945.75,2013-08-16
114357,172,73,414866.85,2013-08-17
105404,150,51,379030.266667,2013-08-18
104258,163,60,381519.966667,2013-08-19
102169,169,52,373065.266667,2013-08-20
106152,159,55,389838.05,2013-08-21
107802,179,59,395699.566667,2013-08-22
109369,161,54,401113.416667,2013-08-23
112385,162,72,407810.0,2013-08-24
96729,140,45,346687.833333,2013-08-25
88141,132,64,323355.583333,2013-08-26
94371,170,58,345620.6,2013-08-27
94698,131,50,349455.216667,2013-08-28
94621,125,59,351057.166667,2013-08-29
101262,172,46,373101.633333,2013-08-30
104848,149,50,377453.366667,2013-08-31
99100,152,58,352379.483333,2013-09-01
90771,134,63,329353.183333,2013-09-02
83206,149,44,304468.716667,2013-09-03
86389,129,37,317077.016667,2013-09-04
90454,140,45,331061.416667,2013-09-05
98286,163,56,351908.366667,2013-09-06
102918,138,60,365571.5,2013-09-07
88299,142,56,314357.2,2013-09-08
76782,106,39,276868.466667,2013-09-09
77241,102,36,282173.666667,2013-09-10
77091,130,43,283789.633333,2013-09-11
82858,108,49,302445.733333,2013-09-12
88421,123,51,322330.266667,2013-09-13
94379,131,54,338856.066667,2013-09-14
84100,104,39,298241.016667,2013-09-15
71682,110,42,259217.8,2013-09-16
70875,102,37,259056.0,2013-09-17
71821,124,37,258879.666667,2013-09-18
70827,100,31,259977.266667,2013-09-19
76019,79,43,276541.2,2013-09-20
88213,105,38,314476.016667,2013-09-21
81284,141,37,290873.666667,2013-09-22
71407,141,43,261504.816667,2013-09-23
71759,130,42,263629.95,2013-09-24
70484,99,41,254448.3,2013-09-25
70075,113,38,252545.9,2013-09-26
75965,109,35,271465.25,2013-09-27
88009,109,55,310465.933333,2013-09-28
79167,117,52,279351.45,2013-09-29
64978,90,46,233968.4,2013-09-30
65007,102,36,235543.45,2013-10-01
69541,92,53,251840.5,2013-10-02
70194,119,38,251129.8,2013-10-03
75620,97,38,267721.3,2013-10-04
88784,104,47,304690.933333,2013-10-05
76186,94,53,260178.7,2013-10-06
69565,87,36,242880.316667,2013-10-07
68698,106,45,241265.533333,2013-10-08
71239,105,35,252424.25,2013-10-09
69014,107,35,243136.65,2013-10-10
74442,97,38,260732.65,2013-10-11
85717,117,54,297018.1,2013-10-12
76042,88,49,261544.9,2013-10-13
70222,91,27,245364.866667,2013-10-14
63077,85,39,222969.416667,2013-10-15
66728,111,45,236894.883333,2013-10-16
73005,110,46,254645.55,2013-10-17
77733,108,50,267425.35,2013-10-18
85096,85,52,288629.033333,2013-10-19
70538,88,37,239554.983333,2013-10-20
65295,90,52,223226.416667,2013-10-21
64624,104,61,219702.766667,2013-10-22
69800,97,51,237338.75,2013-10-23
68774,107,58,234452.35,2013-10-24
72807,102,56,248075.333333,2013-10-25
77289,109,55,261893.6,2013-10-26
65690,72,34,222686.233333,2013-10-27
67088,114,56,234272.766667,2013-10-28
66589,105,43,232765.366667,2013-10-29
64606,95,38,226667.666667,2013-10-30
59057,82,34,206870.55,2013-10-31
66128,86,51,226376.533333,2013-11-01
74003,88,66,251916.5,2013-11-02
66886,88,46,225900.366667,2013-11-03
54444,83,37,188382.85,2013-11-04
58398,99,40,204652.35,2013-11-05
60882,90,50,209188.633333,2013-11-06
60282,86,41,203150.016667,2013-11-07
66403,67,51,221445.35,2013-11-08
72573,80,40,240377.016667,2013-11-09
63143,86,43,207690.716667,2013-11-10
59285,90,32,200973.466667,2013-11-11
55373,71,36,191032.733333,2013-11-12
56627,78,50,193182.4,2013-11-13
56264,110,47,194388.266667,2013-11-14
63543,172,40,217857.516667,2013-11-15
73608,186,62,251283.266667,2013-11-16
61150,178,44,207305.933333,2013-11-17
50728,164,44,176261.8,2013-11-18
53196,170,37,181484.266667,2013-11-19
58779,183,31,197405.233333,2013-11-20
56876,144,33,191649.283333,2013-11-21
60322,174,42,197840.666667,2013-11-22
69821,151,48,223595.333333,2013-11-23
61118,152,46,202455.133333,2013-11-24
57318,171,47,194065.05,2013-11-25
58239,203,39,195786.7,2013-11-26
65460,163,42,221583.716667,2013-11-27
63414,166,40,208023.1,2013-11-28
66906,181,55,218999.983333,2013-11-29
69751,166,47,227368.333333,2013-11-30
59730,151,40,192312.133333,2013-12-01
63272,159,46,197153.05,2013-12-02
66126,179,37,205995.816667,2013-12-03
