dailyViewcount,numShare,numSubscriber,watchTime,date
23290,490,34,55455.8833333,2016-05-12
21904,349,42,51784.75,2016-05-13
31618,331,37,72044.4833333,2016-05-14
48253,503,69,106516.983333,2016-05-15
39765,436,62,84819.3833333,2016-05-16
30878,221,32,60412.1166667,2016-05-17
24456,188,12,48976.9,2016-05-18
22247,152,15,46184.35,2016-05-19
20994,133,12,41982.6666667,2016-05-20
20173,135,11,39765.05,2016-05-21
17471,121,14,34520.3833333,2016-05-22
16195,146,15,32138.7,2016-05-23
16191,141,9,32117.8166667,2016-05-24
16340,175,16,39045.8166667,2016-05-25
17561,182,8,45329.6333333,2016-05-26
18248,196,10,48600.8,2016-05-27
17875,162,15,47943.25,2016-05-28
17189,180,8,45700.5166667,2016-05-29
16221,173,10,43778.2166667,2016-05-30
15768,215,14,42680.6333333,2016-05-31
14949,154,14,41852.9666667,2016-06-01
15079,153,6,41774.65,2016-06-02
16577,181,8,47234.8166667,2016-06-03
17323,188,3,47914.0,2016-06-04
14917,158,9,40544.1166667,2016-06-05
14662,150,11,40377.55,2016-06-06
16141,203,11,45105.5833333,2016-06-07
17903,214,6,50845.0666667,2016-06-08
19247,231,8,55312.6,2016-06-09
20198,261,14,57398.5333333,2016-06-10
21331,223,14,60951.3333333,2016-06-11
20035,207,12,57279.4833333,2016-06-12
18959,197,12,54950.6166667,2016-06-13
21041,245,8,60085.0,2016-06-14
20297,231,13,57709.5,2016-06-15
19499,225,11,57816.3833333,2016-06-16
20767,226,8,61551.8,2016-06-17
21246,236,14,63121.3833333,2016-06-18
18819,206,5,54396.3666667,2016-06-19
19074,196,14,55907.8,2016-06-20
18585,237,8,55543.3666667,2016-06-21
18217,173,6,55007.2,2016-06-22
18430,211,11,55424.0166667,2016-06-23
19660,214,10,59435.0666667,2016-06-24
22578,209,7,69037.9166667,2016-06-25
22447,243,6,65059.45,2016-06-26
21419,251,9,64999.9833333,2016-06-27
32395,330,18,96491.3833333,2016-06-28
29991,349,12,89770.5,2016-06-29
32559,446,18,97841.2333333,2016-06-30
35908,359,17,108651.816667,2016-07-01
36367,424,14,111283.366667,2016-07-02
39386,384,10,118958.016667,2016-07-03
39950,377,18,120840.766667,2016-07-04
41574,431,19,125928.083333,2016-07-05
40403,413,18,124021.916667,2016-07-06
37349,402,16,112803.5,2016-07-07
38946,403,13,120925.366667,2016-07-08
41059,362,10,128318.266667,2016-07-09
36304,391,8,111708.233333,2016-07-10
34970,364,12,109813.216667,2016-07-11
34106,352,11,106285.583333,2016-07-12
33733,385,15,104822.283333,2016-07-13
38206,386,7,118020.366667,2016-07-14
42460,376,14,134449.05,2016-07-15
45877,352,7,145425.516667,2016-07-16
43472,409,9,135667.15,2016-07-17
39718,368,8,124890.75,2016-07-18
33144,360,8,103866.266667,2016-07-19
40712,363,15,128669.983333,2016-07-20
39562,339,7,124155.6,2016-07-21
45483,377,6,144247.833333,2016-07-22
43236,329,9,135871.216667,2016-07-23
36216,364,10,112836.233333,2016-07-24
33787,322,8,107489.966667,2016-07-25
