dailyViewcount,numShare,numSubscriber,watchTime,date
559567,6420,684,2621851.25,2016-12-02
593987,4915,641,2364521.91667,2016-12-03
597781,4586,550,2126571.23333,2016-12-04
470539,3442,450,1645494.65,2016-12-05
475755,2697,388,1719710.58333,2016-12-06
375034,2055,311,1466688.18333,2016-12-07
289411,1630,226,1124077.73333,2016-12-08
271624,1357,181,1073694.23333,2016-12-09
261104,1200,125,1039055.71667,2016-12-10
221726,1042,128,858564.083333,2016-12-11
204859,981,122,813052.15,2016-12-12
244991,1083,144,959871.8,2016-12-13
255490,1031,154,1012056.5,2016-12-14
280001,1046,194,1103155.53333,2016-12-15
288308,1079,155,1165816.71667,2016-12-16
282416,952,163,1137087.43333,2016-12-17
302775,1022,176,1148430.93333,2016-12-18
362957,1089,243,1325298.05,2016-12-19
354926,969,220,1277685.45,2016-12-20
299135,821,157,1113180.61667,2016-12-21
256025,761,115,976072.35,2016-12-22
264384,796,96,1023646.7,2016-12-23
260581,650,88,1014216.7,2016-12-24
198511,532,67,742052.033333,2016-12-25
189422,528,84,710780.583333,2016-12-26
197533,594,79,754450.25,2016-12-27
192674,582,75,742702.816667,2016-12-28
189225,589,80,726720.45,2016-12-29
200154,531,71,776200.0,2016-12-30
199166,421,58,796275.683333,2016-12-31
131573,392,70,487921.75,2017-01-01
101850,381,47,378921.15,2017-01-02
102821,350,57,380133.233333,2017-01-03
