dailyViewcount,numShare,numSubscriber,watchTime,date
11012,415,24,22246.1,2016-06-07
18098,411,57,36044.5166667,2016-06-08
28811,605,61,55106.1666667,2016-06-09
27139,524,41,54886.7,2016-06-10
25289,443,44,51422.0333333,2016-06-11
24595,447,42,48855.45,2016-06-12
24901,566,37,50471.1833333,2016-06-13
21634,393,41,45162.9333333,2016-06-14
20197,316,34,42267.95,2016-06-15
19331,291,15,40199.0333333,2016-06-16
20121,284,16,42566.1,2016-06-17
23886,269,13,50074.5,2016-06-18
26800,323,37,55262.1666667,2016-06-19
27433,312,27,57023.5333333,2016-06-20
28124,349,45,57281.4833333,2016-06-21
29608,356,26,60978.4666667,2016-06-22
29697,358,27,61704.85,2016-06-23
29595,284,26,62042.0666667,2016-06-24
26970,295,29,56753.8666667,2016-06-25
26186,266,30,54760.5833333,2016-06-26
29893,307,19,62288.55,2016-06-27
30325,300,21,64075.6166667,2016-06-28
31279,286,23,65434.7333333,2016-06-29
31794,316,26,66785.05,2016-06-30
32521,266,20,68667.9333333,2016-07-01
29935,258,24,62252.05,2016-07-02
27291,274,16,56077.9166667,2016-07-03
27878,291,24,57825.25,2016-07-04
23368,243,17,49334.9666667,2016-07-05
24181,293,21,51237.3,2016-07-06
23494,283,17,49118.6333333,2016-07-07
30702,343,17,64167.2166667,2016-07-08
30832,248,26,64886.5166667,2016-07-09
28774,262,25,59144.7833333,2016-07-10
30600,295,20,63272.5333333,2016-07-11
30715,288,23,64144.7333333,2016-07-12
32311,368,21,66375.7666667,2016-07-13
35156,348,38,71826.45,2016-07-14
36881,328,15,76276.1833333,2016-07-15
34453,353,20,70989.7666667,2016-07-16
35874,363,30,73185.7666667,2016-07-17
38432,352,47,79235.5833333,2016-07-18
38700,421,29,80533.5666667,2016-07-19
36337,374,32,76122.8,2016-07-20
36982,389,31,77784.4,2016-07-21
37740,344,26,79470.0666667,2016-07-22
36705,324,22,75988.9166667,2016-07-23
33967,328,20,70179.8333333,2016-07-24
36189,346,23,75408.0833333,2016-07-25
36560,313,30,76775.85,2016-07-26
37983,339,28,78050.2333333,2016-07-27
38644,384,23,80442.7333333,2016-07-28
39339,366,21,81644.2166667,2016-07-29
35768,323,15,74752.0333333,2016-07-30
32939,300,23,68064.0666667,2016-07-31
35585,321,20,73917.5166667,2016-08-01
36249,394,29,75631.5833333,2016-08-02
32728,284,19,68221.9166667,2016-08-03
36553,336,25,76493.3333333,2016-08-04
39029,364,28,81795.95,2016-08-05
37981,321,24,79460.7333333,2016-08-06
36368,341,22,75481.3333333,2016-08-07
36487,334,15,75820.4833333,2016-08-08
35895,347,25,75104.5666667,2016-08-09
36026,334,30,74504.2166667,2016-08-10
37026,396,20,76629.9333333,2016-08-11
38503,344,29,80702.3,2016-08-12
37127,308,20,77331.4666667,2016-08-13
34630,278,22,71569.8666667,2016-08-14
37081,335,21,77383.2166667,2016-08-15
36980,332,21,77291.9666667,2016-08-16
38376,364,20,79605.15,2016-08-17
39056,336,24,82235.9833333,2016-08-18
41248,315,18,86823.7,2016-08-19
41690,391,30,86773.15,2016-08-20
39117,380,28,80167.5666667,2016-08-21
41284,362,26,86327.5666667,2016-08-22
42912,398,32,89640.2666667,2016-08-23
42586,425,20,90054.1,2016-08-24
42293,372,18,89862.0833333,2016-08-25
45307,361,25,94732.4,2016-08-26
45263,361,18,92871.1833333,2016-08-27
41911,392,25,84484.5166667,2016-08-28
43218,380,22,90775.3166667,2016-08-29
43655,433,17,90701.2833333,2016-08-30
44732,417,17,92630.75,2016-08-31
47050,434,24,97309.8333333,2016-09-01
50249,412,22,104291.316667,2016-09-02
50815,441,23,105508.216667,2016-09-03
46873,464,29,95978.1833333,2016-09-04
45455,425,27,94100.9666667,2016-09-05
46369,468,26,96350.6666667,2016-09-06
47301,479,24,98203.3833333,2016-09-07
49114,449,20,101949.233333,2016-09-08
55798,505,26,116425.666667,2016-09-09
57334,504,32,117107.833333,2016-09-10
52997,570,27,107354.016667,2016-09-11
53238,497,30,111171.7,2016-09-12
54352,476,27,113248.433333,2016-09-13
54599,483,12,114525.6,2016-09-14
56908,499,34,118838.6,2016-09-15
61698,480,103,128315.116667,2016-09-16
62437,497,110,127505.316667,2016-09-17
55778,514,120,111958.466667,2016-09-18
54124,476,124,111703.366667,2016-09-19
52343,438,99,108469.666667,2016-09-20
52011,450,98,109010.95,2016-09-21
53597,463,84,111746.033333,2016-09-22
56419,422,77,118297.983333,2016-09-23
56606,454,92,116243.616667,2016-09-24
51075,456,104,104407.216667,2016-09-25
55015,463,62,114257.666667,2016-09-26
55349,441,57,114583.8,2016-09-27
57446,459,73,119258.85,2016-09-28
58267,416,66,121731.933333,2016-09-29
61814,446,55,128354.616667,2016-09-30
64112,474,65,131562.8,2016-10-01
57937,544,61,117229.383333,2016-10-02
58601,495,62,122606.733333,2016-10-03
60282,482,55,126044.116667,2016-10-04
55839,338,51,117439.15,2016-10-05
64291,468,49,133327.583333,2016-10-06
71639,510,54,148427.15,2016-10-07
71394,481,59,146838.983333,2016-10-08
63891,544,50,129827.45,2016-10-09
65752,493,69,136491.4,2016-10-10
69313,564,46,143769.9,2016-10-11
70006,505,73,144379.816667,2016-10-12
73355,510,61,152208.733333,2016-10-13
80310,495,55,166331.55,2016-10-14
82883,543,66,170365.1,2016-10-15
73754,572,62,149965.966667,2016-10-16
79756,696,90,164538.516667,2016-10-17
81403,627,91,170498.1,2016-10-18
81506,654,70,170203.766667,2016-10-19
85871,589,62,178711.433333,2016-10-20
91007,575,60,190203.216667,2016-10-21
89566,521,74,185374.466667,2016-10-22
78329,569,60,160908.8,2016-10-23
81341,587,76,168262.366667,2016-10-24
82031,613,79,170501.033333,2016-10-25
85179,576,66,176659.8,2016-10-26
87158,571,61,180863.55,2016-10-27
97116,1079,81,198090.666667,2016-10-28
98370,873,69,201223.1,2016-10-29
82064,766,53,169413.233333,2016-10-30
84775,541,53,178311.766667,2016-10-31
83275,592,59,173428.316667,2016-11-01
86095,660,73,179157.35,2016-11-02
90680,617,80,188814.216667,2016-11-03
97868,583,73,203397.033333,2016-11-04
98490,623,64,203368.933333,2016-11-05
89005,685,49,183461.266667,2016-11-06
90569,631,64,189870.516667,2016-11-07
89887,641,83,186722.083333,2016-11-08
93155,619,92,193467.533333,2016-11-09
99234,623,86,209043.616667,2016-11-10
104721,686,51,216227.266667,2016-11-11
99510,642,60,205120.466667,2016-11-12
90147,762,71,184444.683333,2016-11-13
96641,734,85,200767.15,2016-11-14
96447,702,83,200977.133333,2016-11-15
97162,699,71,202844.633333,2016-11-16
94758,678,77,195729.233333,2016-11-17
104043,679,59,216493.3,2016-11-18
106573,669,58,218927.15,2016-11-19
92762,664,74,190694.833333,2016-11-20
96909,642,64,200378.116667,2016-11-21
100400,634,69,207651.433333,2016-11-22
118682,678,91,241998.0,2016-11-23
115319,688,96,235147.25,2016-11-24
108392,669,85,224394.333333,2016-11-25
111071,622,63,228894.083333,2016-11-26
101675,736,77,209443.133333,2016-11-27
110016,726,80,230445.983333,2016-11-28
117467,771,102,244034.633333,2016-11-29
114000,803,70,237191.033333,2016-11-30
116605,704,80,244873.633333,2016-12-01
121150,735,69,253516.85,2016-12-02
125180,766,70,259841.533333,2016-12-03
115181,751,130,236464.2,2016-12-04
114911,704,87,243620.933333,2016-12-05
114825,663,81,242092.1,2016-12-06
113865,642,83,242347.866667,2016-12-07
120225,708,79,253768.833333,2016-12-08
125065,674,68,262117.8,2016-12-09
123879,706,68,258821.2,2016-12-10
107805,708,72,224715.783333,2016-12-11
114360,758,79,239394.616667,2016-12-12
115272,750,81,243044.483333,2016-12-13
118582,740,86,250471.9,2016-12-14
120859,792,67,255083.683333,2016-12-15
132480,754,85,278985.833333,2016-12-16
131338,767,59,273928.033333,2016-12-17
117058,758,76,243667.5,2016-12-18
121373,803,80,253504.283333,2016-12-19
121837,716,75,255222.533333,2016-12-20
123521,726,52,261109.083333,2016-12-21
126092,776,82,265519.283333,2016-12-22
129403,671,63,272119.116667,2016-12-23
123712,633,65,258962.183333,2016-12-24
112785,688,53,232080.25,2016-12-25
117876,721,74,244660.783333,2016-12-26
125061,887,78,260901.75,2016-12-27
127839,767,77,268888.516667,2016-12-28
130535,829,79,274879.516667,2016-12-29
132653,868,88,280301.7,2016-12-30
145399,631,52,306836.216667,2016-12-31
107922,669,74,225672.466667,2017-01-01
123248,817,72,258602.183333,2017-01-02
124092,744,79,263419.483333,2017-01-03
121879,745,58,257672.35,2017-01-04
