dailyViewcount,numShare,numSubscriber,watchTime,date
197125,3516,177,369365.3,2016-08-16
272124,3979,302,523311.95,2016-08-17
398473,5582,445,747255.216667,2016-08-18
429952,5307,468,847932.516667,2016-08-19
502180,5223,446,1011843.81667,2016-08-20
443274,4665,365,895470.966667,2016-08-21
424395,4150,383,877449.05,2016-08-22
364579,3389,218,766129.916667,2016-08-23
369597,3322,202,784329.733333,2016-08-24
363121,3221,208,787244.316667,2016-08-25
353450,3168,179,774529.933333,2016-08-26
328314,2479,184,725457.166667,2016-08-27
316990,2700,164,694103.7,2016-08-28
310571,2449,184,702020.266667,2016-08-29
294622,2411,155,678862.416667,2016-08-30
289230,2287,178,680194.95,2016-08-31
282356,2165,138,665800.883333,2016-09-01
280067,2150,139,663916.783333,2016-09-02
266932,1954,125,623607.783333,2016-09-03
249417,2052,109,581302.866667,2016-09-04
232862,1806,96,558193.966667,2016-09-05
212655,1731,96,524535.366667,2016-09-06
223889,1763,119,554237.566667,2016-09-07
229550,1743,114,566434.716667,2016-09-08
264691,1780,108,645119.9,2016-09-09
260043,1731,102,630836.383333,2016-09-10
227537,1788,103,546704.65,2016-09-11
221105,1677,96,548870.233333,2016-09-12
230337,1824,78,573564.983333,2016-09-13
206299,1596,49,524158.133333,2016-09-14
183115,1435,65,476714.916667,2016-09-15
174789,1276,51,455255.55,2016-09-16
177231,1233,47,453878.8,2016-09-17
157526,1273,45,396834.933333,2016-09-18
158728,1319,50,411397.233333,2016-09-19
165158,1338,48,430161.716667,2016-09-20
166193,1252,55,434319.6,2016-09-21
161951,1207,50,428529.9,2016-09-22
168710,1201,40,448610.5,2016-09-23
173982,1159,44,453153.933333,2016-09-24
154275,1231,43,394181.116667,2016-09-25
152722,1221,56,404293.716667,2016-09-26
147822,1198,58,394013.9,2016-09-27
149002,1213,55,398942.666667,2016-09-28
149454,1186,50,400018.333333,2016-09-29
156586,1109,42,414980.783333,2016-09-30
157250,1093,37,408670.0,2016-10-01
136439,1125,43,351304.066667,2016-10-02
135805,1109,39,361802.016667,2016-10-03
138768,1187,47,372222.3,2016-10-04
139174,1062,38,370261.15,2016-10-05
144772,1207,50,390331.116667,2016-10-06
167491,1194,40,444471.183333,2016-10-07
166178,1159,40,436296.266667,2016-10-08
146448,1226,39,376158.6,2016-10-09
148555,1161,55,393088.183333,2016-10-10
151235,1169,52,399307.516667,2016-10-11
152401,1247,42,400064.1,2016-10-12
151594,1271,55,402135.6,2016-10-13
159461,1176,32,424361.516667,2016-10-14
164893,1165,50,431401.733333,2016-10-15
144579,1229,39,371878.333333,2016-10-16
149722,1222,49,392816.15,2016-10-17
152014,1212,49,402594.366667,2016-10-18
146961,1195,31,389482.233333,2016-10-19
147245,1168,48,387268.616667,2016-10-20
156230,1199,45,414561.616667,2016-10-21
154389,1064,42,403565.433333,2016-10-22
129871,1047,37,334747.75,2016-10-23
134950,1052,49,356906.116667,2016-10-24
134917,1121,31,358119.966667,2016-10-25
138237,1033,40,370387.066667,2016-10-26
144699,1069,28,385912.65,2016-10-27
149164,1007,44,401867.866667,2016-10-28
151555,930,41,401234.516667,2016-10-29
129954,1021,39,337711.316667,2016-10-30
129582,877,42,352253.516667,2016-10-31
135932,1008,36,361150.083333,2016-11-01
136131,1054,40,363085.233333,2016-11-02
134694,1051,34,360970.316667,2016-11-03
143361,1039,32,384312.033333,2016-11-04
145462,1044,31,384159.283333,2016-11-05
131046,1066,39,340579.483333,2016-11-06
127912,952,37,345200.5,2016-11-07
128112,971,29,341737.55,2016-11-08
124923,910,33,334603.383333,2016-11-09
127999,964,36,345795.883333,2016-11-10
140589,947,32,375421.266667,2016-11-11
139154,1002,22,363919.583333,2016-11-12
117719,932,36,304526.15,2016-11-13
118790,902,35,314565.633333,2016-11-14
120204,970,26,320594.433333,2016-11-15
123370,961,41,328131.683333,2016-11-16
129235,957,35,342119.1,2016-11-17
138079,910,45,356763.666667,2016-11-18
135518,865,32,344694.533333,2016-11-19
113733,869,24,288460.166667,2016-11-20
115442,864,29,300352.416667,2016-11-21
115931,892,34,304554.95,2016-11-22
123665,898,35,323073.066667,2016-11-23
114360,707,27,300644.583333,2016-11-24
105979,780,22,274051.533333,2016-11-25
107256,803,19,277674.133333,2016-11-26
97262,830,25,249452.083333,2016-11-27
102761,865,36,269917.366667,2016-11-28
103446,812,29,273291.05,2016-11-29
104594,824,31,275487.75,2016-11-30
107648,847,32,282552.6,2016-12-01
111574,841,28,294981.916667,2016-12-02
114493,864,18,295596.933333,2016-12-03
99669,782,28,253954.216667,2016-12-04
97995,885,24,255883.416667,2016-12-05
99441,815,31,258834.216667,2016-12-06
96187,792,23,252098.233333,2016-12-07
98809,829,17,259735.933333,2016-12-08
99769,763,25,259816.0,2016-12-09
102767,762,15,264934.416667,2016-12-10
91431,809,25,231180.85,2016-12-11
90360,755,22,235631.666667,2016-12-12
107047,846,33,273654.15,2016-12-13
107492,963,26,275075.533333,2016-12-14
95693,800,24,247407.433333,2016-12-15
104976,719,20,271171.383333,2016-12-16
109586,783,25,278840.033333,2016-12-17
90514,699,21,228997.6,2016-12-18
90346,744,29,233912.066667,2016-12-19
93585,714,25,243500.45,2016-12-20
93734,725,22,242033.75,2016-12-21
92294,705,16,241264.983333,2016-12-22
98104,648,28,256062.416667,2016-12-23
93270,591,13,246249.116667,2016-12-24
82889,594,15,212344.85,2016-12-25
81177,625,23,208856.233333,2016-12-26
86184,681,13,224875.333333,2016-12-27
85267,670,17,221849.666667,2016-12-28
83158,644,9,217506.116667,2016-12-29
91000,600,11,238814.116667,2016-12-30
104185,608,18,275613.366667,2016-12-31
72396,497,9,183377.783333,2017-01-01
76374,584,20,193697.816667,2017-01-02
78254,623,16,202255.433333,2017-01-03
