dailyViewcount,numShare,numSubscriber,watchTime,date
336710,5208,1210,835927.883333,2016-11-17
368339,3615,1036,895166.5,2016-11-18
198338,1702,361,516126.4,2016-11-19
159944,1288,281,425269.55,2016-11-20
135774,913,231,376259.783333,2016-11-21
138495,850,244,377894.983333,2016-11-22
104207,708,124,300515.383333,2016-11-23
94624,506,99,266632.133333,2016-11-24
89582,416,81,254356.766667,2016-11-25
84867,410,90,245929.966667,2016-11-26
76028,475,84,223027.066667,2016-11-27
73477,399,71,216210.966667,2016-11-28
73510,411,63,214657.933333,2016-11-29
75169,385,75,219175.0,2016-11-30
72255,318,68,212248.166667,2016-12-01
63853,267,60,188733.916667,2016-12-02
61206,242,44,181184.833333,2016-12-03
62142,276,56,182151.933333,2016-12-04
61843,262,46,184778.183333,2016-12-05
59643,231,55,177680.233333,2016-12-06
52923,293,35,156954.65,2016-12-07
51763,237,39,154679.45,2016-12-08
49517,225,32,146472.9,2016-12-09
47350,208,25,140471.383333,2016-12-10
41774,217,31,122238.75,2016-12-11
41381,234,35,122324.6,2016-12-12
44002,225,33,127804.866667,2016-12-13
38941,210,28,115914.3,2016-12-14
36170,172,32,106628.7,2016-12-15
38521,171,26,110022.783333,2016-12-16
35315,193,22,102596.416667,2016-12-17
29056,148,22,84212.15,2016-12-18
28982,137,25,85603.8,2016-12-19
28833,148,18,84018.6833333,2016-12-20
28910,144,17,82673.5,2016-12-21
28252,135,28,83705.2833333,2016-12-22
28929,138,21,84977.45,2016-12-23
25570,138,19,75612.85,2016-12-24
23887,109,18,68347.1166667,2016-12-25
24469,127,15,71302.5666667,2016-12-26
24430,146,14,70882.7833333,2016-12-27
38641,177,18,104906.616667,2016-12-28
44351,217,42,121863.683333,2016-12-29
34731,174,18,97540.9166667,2016-12-30
33293,150,15,97808.85,2016-12-31
27462,147,16,77432.3666667,2017-01-01
35127,186,22,101488.466667,2017-01-02
35440,170,24,103230.533333,2017-01-03
