dailyViewcount,numShare,numSubscriber,watchTime,date
189124,1419,517,534329.483333,2012-12-24
260242,1146,526,643610.633333,2012-12-25
244250,928,474,596003.366667,2012-12-26
246201,832,418,597702.816667,2012-12-27
222261,656,369,547512.4,2012-12-28
192294,524,308,482906.166667,2012-12-29
168159,396,242,440644.483333,2012-12-30
177880,382,172,486316.6,2012-12-31
158017,354,181,433239.716667,2013-01-01
181100,453,294,491549.9,2013-01-02
191422,473,266,501461.55,2013-01-03
190131,423,234,491220.483333,2013-01-04
175609,379,197,460625.35,2013-01-05
167192,343,203,437164.433333,2013-01-06
93726,263,110,278959.333333,2013-01-07
92093,262,100,273515.883333,2013-01-08
179307,372,235,472318.65,2013-01-09
115186,249,140,322348.3,2013-01-10
93726,186,97,261905.95,2013-01-11
48846,95,61,171761.35,2013-01-12
43547,92,59,150972.666667,2013-01-13
75018,165,66,233176.466667,2013-01-14
159520,327,195,428533.9,2013-01-15
176738,378,231,472168.166667,2013-01-16
103911,235,106,321012.333333,2013-01-17
190753,315,261,499504.75,2013-01-18
241319,352,321,594451.916667,2013-01-19
213859,327,264,529372.616667,2013-01-20
165901,258,169,439799.5,2013-01-21
60220,146,72,193256.55,2013-01-22
64296,123,63,217722.433333,2013-01-23
64295,134,73,215465.583333,2013-01-24
66253,107,68,221805.2,2013-01-25
66242,109,80,219159.533333,2013-01-26
58931,100,59,193026.1,2013-01-27
51503,110,57,171457.45,2013-01-28
49784,83,38,166663.55,2013-01-29
47671,93,47,159752.8,2013-01-30
48265,79,53,163523.3,2013-01-31
48804,58,44,162677.366667,2013-02-01
46971,73,41,154771.483333,2013-02-02
37782,57,35,124440.883333,2013-02-03
37457,67,40,125687.65,2013-02-04
38844,66,34,128598.4,2013-02-05
39681,60,26,130094.4,2013-02-06
40385,61,31,130622.65,2013-02-07
40761,54,33,133269.35,2013-02-08
41598,48,43,135568.55,2013-02-09
34465,70,44,113261.05,2013-02-10
32743,54,30,107049.65,2013-02-11
29602,54,32,96441.2166667,2013-02-12
31276,38,29,102097.45,2013-02-13
30856,36,33,100284.733333,2013-02-14
34548,36,39,110863.316667,2013-02-15
34473,37,28,109080.2,2013-02-16
31228,38,39,98457.4666667,2013-02-17
32057,58,28,104008.2,2013-02-18
33389,50,33,108552.7,2013-02-19
33393,59,35,108166.766667,2013-02-20
31332,47,30,103441.466667,2013-02-21
33111,51,27,107694.45,2013-02-22
33883,45,31,109447.783333,2013-02-23
27604,44,23,90071.05,2013-02-24
30783,51,29,99033.2333333,2013-02-25
31392,41,21,102555.1,2013-02-26
32284,48,29,104215.15,2013-02-27
34933,56,22,114092.166667,2013-02-28
36342,58,30,120299.916667,2013-03-01
35669,49,28,115950.783333,2013-03-02
29662,51,33,96935.6333333,2013-03-03
30243,46,21,99616.5166667,2013-03-04
28910,28,17,96611.8166667,2013-03-05
30907,50,33,100393.666667,2013-03-06
30646,39,28,99509.2,2013-03-07
30316,29,23,98444.6,2013-03-08
30426,39,30,96862.0333333,2013-03-09
26983,31,11,86068.1833333,2013-03-10
28227,36,15,88834.8666667,2013-03-11
28141,48,20,88487.05,2013-03-12
26794,36,23,84648.3833333,2013-03-13
28657,41,29,91655.9166667,2013-03-14
31912,53,32,100249.366667,2013-03-15
31414,54,27,99443.6166667,2013-03-16
26183,47,22,82513.2333333,2013-03-17
26474,41,31,82384.8833333,2013-03-18
24700,32,25,79592.7333333,2013-03-19
26456,44,16,82073.2,2013-03-20
26456,33,24,83221.6,2013-03-21
28988,39,33,89954.5666667,2013-03-22
31760,50,36,98711.3666667,2013-03-23
27540,45,33,84569.7833333,2013-03-24
26573,41,31,83120.0,2013-03-25
28332,50,50,86464.8833333,2013-03-26
30762,48,25,93680.2333333,2013-03-27
37476,55,39,110873.883333,2013-03-28
36809,47,36,108800.383333,2013-03-29
36786,42,24,107835.616667,2013-03-30
33323,41,21,97715.4666667,2013-03-31
31630,58,30,94774.5,2013-04-01
31548,59,35,95583.15,2013-04-02
31739,38,29,95856.4333333,2013-04-03
25964,47,19,80622.3,2013-04-04
27342,33,27,83975.8166667,2013-04-05
24587,42,23,76990.95,2013-04-06
23443,26,18,72498.9666667,2013-04-07
22458,37,12,70787.0333333,2013-04-08
24014,33,21,74734.35,2013-04-09
26258,35,22,79193.5333333,2013-04-10
24854,28,26,76057.7333333,2013-04-11
27309,39,22,82479.85,2013-04-12
28690,41,16,86362.3,2013-04-13
24806,35,24,75249.05,2013-04-14
