dailyViewcount,numShare,numSubscriber,watchTime,date
1100751,24332,1513,3492285.36667,2017-04-14
1309527,22011,1053,4077787.98333,2017-04-15
1437598,19416,850,4219565.96667,2017-04-16
1428040,17575,985,4308249.33333,2017-04-17
1474015,16966,957,4672358.66667,2017-04-18
1399618,14842,860,4534138.03333,2017-04-19
1472394,13739,857,4761444.71667,2017-04-20
1406779,12809,684,4632041.81667,2017-04-21
1422219,11897,624,4698738.23333,2017-04-22
1232064,10961,467,4084633.43333,2017-04-23
1225358,10779,465,4153365.95,2017-04-24
1237528,10252,464,4146043.58333,2017-04-25
1164762,9787,395,4000597.55,2017-04-26
1157028,9393,381,3987470.98333,2017-04-27
1340789,9792,442,4540312.3,2017-04-28
1508519,9730,438,5142176.7,2017-04-29
1352741,9266,451,4598594.4,2017-04-30
1323814,10040,434,4659360.11667,2017-05-01
1252499,9106,419,4517018.21667,2017-05-02
1285992,8928,449,4624758.78333,2017-05-03
1357987,9760,404,4872960.46667,2017-05-04
1436944,9801,397,5153439.28333,2017-05-05
1474188,9222,419,5253993.91667,2017-05-06
1370219,9711,392,4855732.43333,2017-05-07
1402097,10183,488,5054113.55,2017-05-08
1415355,9450,402,5063232.45,2017-05-09
1367713,9006,424,4940373.98333,2017-05-10
1273661,8289,380,4634200.31667,2017-05-11
1535624,9546,416,5426636.98333,2017-05-12
1436228,8370,378,5085506.75,2017-05-13
1265532,8263,346,4496187.31667,2017-05-14
1192156,7958,317,4342091.38333,2017-05-15
1327715,8893,340,4771113.4,2017-05-16
1309287,8676,350,4731485.68333,2017-05-17
1367698,9560,393,4929910.01667,2017-05-18
1493352,9380,376,5327872.85,2017-05-19
1561182,9660,356,5511797.96667,2017-05-20
1367897,9851,366,4853247.73333,2017-05-21
1361524,9058,342,4870235.98333,2017-05-22
