dailyViewcount,numShare,numSubscriber,watchTime,date
653843,7658,313,1537149.51667,2015-11-14
1606383,13140,1068,3721983.53333,2015-11-15
1644548,9495,1138,3728287.65,2015-11-16
1256532,7005,856,2915340.11667,2015-11-17
1114701,5772,546,2599419.23333,2015-11-18
955676,4727,450,2249016.45,2015-11-19
851427,4170,398,1930022.0,2015-11-20
822078,4091,368,1843456.48333,2015-11-21
693337,3727,319,1606365.86667,2015-11-22
598509,3136,213,1434778.11667,2015-11-23
499805,2780,130,1248860.73333,2015-11-24
452018,2457,108,1159405.86667,2015-11-25
503345,2563,140,1226596.03333,2015-11-26
585697,2638,137,1271421.4,2015-11-27
594010,2562,179,1305591.7,2015-11-28
457978,2470,137,1156695.85,2015-11-29
494762,2300,137,1278657.01667,2015-11-30
502859,2041,118,1299677.33333,2015-12-01
448513,2005,116,1149777.21667,2015-12-02
417662,1926,108,1063184.96667,2015-12-03
423219,1689,101,1031307.43333,2015-12-04
507022,1866,111,1231699.41667,2015-12-05
448090,1914,113,1122440.15,2015-12-06
383667,1693,94,976346.35,2015-12-07
367009,1672,91,931350.7,2015-12-08
352119,1568,89,904067.45,2015-12-09
358815,1551,74,904174.55,2015-12-10
342797,1520,84,838172.133333,2015-12-11
363281,1667,85,881309.0,2015-12-12
329273,1677,74,828633.416667,2015-12-13
314967,1471,69,807486.016667,2015-12-14
316164,1407,91,801849.9,2015-12-15
309301,1494,69,780151.333333,2015-12-16
309931,1443,55,773566.116667,2015-12-17
370676,1510,64,911422.133333,2015-12-18
400953,1627,92,980805.583333,2015-12-19
382332,1693,99,951804.55,2015-12-20
417538,1607,93,1061792.18333,2015-12-21
419636,1587,90,1059019.23333,2015-12-22
404540,1621,87,1013864.66667,2015-12-23
358157,1391,75,890641.716667,2015-12-24
307566,1395,59,735294.416667,2015-12-25
325345,1497,52,790506.0,2015-12-26
312275,1421,50,762448.516667,2015-12-27
334290,1543,73,829847.383333,2015-12-28
336321,1597,67,827999.333333,2015-12-29
338728,1567,74,840872.6,2015-12-30
338497,1189,45,845673.2,2015-12-31
291413,1212,48,709279.116667,2016-01-01
332769,1375,60,815617.383333,2016-01-02
315134,1559,70,776711.05,2016-01-03
322152,1487,72,804631.483333,2016-01-04
314286,1420,53,785278.566667,2016-01-05
330043,1557,58,824095.433333,2016-01-06
335224,1478,72,843608.533333,2016-01-07
359986,1481,66,888399.65,2016-01-08
389497,1614,72,946730.416667,2016-01-09
367958,1650,68,907428.383333,2016-01-10
355454,1498,58,898767.233333,2016-01-11
357769,1481,50,902533.65,2016-01-12
353157,1408,53,899114.1,2016-01-13
343058,1398,62,868969.95,2016-01-14
351344,1415,60,864634.166667,2016-01-15
364030,1580,65,872085.45,2016-01-16
336014,1544,66,811370.466667,2016-01-17
