dailyViewcount,numShare,numSubscriber,watchTime,date
3687176,91035,7272,8426045.66667,2017-02-16
3128545,54618,4017,7670972.78333,2017-02-17
2180442,36648,2634,5789848.83333,2017-02-18
2617720,37124,2961,6788956.1,2017-02-19
3206856,38942,3068,8254515.83333,2017-02-20
3158191,35940,2644,8153283.85,2017-02-21
2912072,31563,2145,7722934.9,2017-02-22
2494681,27007,1655,6854604.75,2017-02-23
2334424,25586,1323,6267201.13333,2017-02-24
2500272,24701,1299,6637934.75,2017-02-25
2410425,23620,1188,6528011.58333,2017-02-26
2566015,21921,1174,7097132.85,2017-02-27
2707042,21379,1191,7540025.55,2017-02-28
2808858,21869,1261,7743315.96667,2017-03-01
2857003,20996,1126,7926858.68333,2017-03-02
2928684,20640,1091,7912179.91667,2017-03-03
3157047,21164,1124,8479734.35,2017-03-04
2878592,21765,1051,7855564.85,2017-03-05
2748928,18433,908,7721701.06667,2017-03-06
2819119,17820,969,7925606.8,2017-03-07
2841369,17301,926,7981898.45,2017-03-08
2877698,17729,926,8063607.35,2017-03-09
2971997,18085,960,8147901.53333,2017-03-10
3269731,19963,1057,8824071.48333,2017-03-11
2934309,19634,981,8052796.61667,2017-03-12
2703787,16308,842,7673885.21667,2017-03-13
2788424,15838,780,7900924.0,2017-03-14
2764029,16169,807,7852831.78333,2017-03-15
2855480,16972,880,8034971.93333,2017-03-16
2917104,17460,849,8086534.11667,2017-03-17
3053890,18438,940,8340644.96667,2017-03-18
2809674,18904,792,7765219.68333,2017-03-19
2719425,15893,740,7721706.81667,2017-03-20
2718547,15079,732,7746210.56667,2017-03-21
2758179,15463,748,7835375.91667,2017-03-22
2879718,17080,824,8086935.78333,2017-03-23
2967495,16478,792,8222142.93333,2017-03-24
3303535,18440,815,8877016.11667,2017-03-25
2978451,18838,767,8032848.76667,2017-03-26
2871661,16127,733,7972524.5,2017-03-27
2818155,15731,771,7968156.26667,2017-03-28
2907499,16081,786,8153823.96667,2017-03-29
2884962,16035,749,8095833.4,2017-03-30
3059070,16639,740,8403558.95,2017-03-31
3168717,18059,766,8535498.86667,2017-04-01
2798970,18509,697,7569495.76667,2017-04-02
2794776,15292,689,7804166.81667,2017-04-03
2786574,14907,647,7768617.63333,2017-04-04
2839615,15407,742,7898559.06667,2017-04-05
3030741,17621,718,8330323.81667,2017-04-06
3189512,18371,740,8642735.06667,2017-04-07
3242670,18986,753,8705016.65,2017-04-08
2951837,18342,710,7978299.18333,2017-04-09
3015664,16394,744,8367203.98333,2017-04-10
3115088,16855,695,8618583.18333,2017-04-11
3219217,17273,727,8845107.0,2017-04-12
3387300,18364,865,9237819.15,2017-04-13
3294795,17914,734,8854162.76667,2017-04-14
3297094,17386,797,8835415.35,2017-04-15
3029185,16970,720,8086910.78333,2017-04-16
3246707,17812,755,8809975.46667,2017-04-17
3351047,17087,815,9208475.95,2017-04-18
3237986,16529,791,8946598.76667,2017-04-19
3233018,16449,744,8892726.75,2017-04-20
3208365,16955,720,8720534.36667,2017-04-21
3251047,17935,773,8750581.56667,2017-04-22
2982419,18564,711,8061779.2,2017-04-23
2993166,17348,755,8150402.36667,2017-04-24
3051714,17740,649,8346555.4,2017-04-25
3031473,16633,624,8395302.06667,2017-04-26
3075429,16449,631,8502127.21667,2017-04-27
3267776,17660,702,8870862.18333,2017-04-28
3560094,18824,737,9516869.23333,2017-04-29
3125439,16832,627,8385933.01667,2017-04-30
2970142,16386,651,8164020.56667,2017-05-01
2669193,13912,525,7443362.36667,2017-05-02
2617498,13405,570,7299799.53333,2017-05-03
2601429,13497,533,7258945.53333,2017-05-04
2690080,13581,516,7443979.06667,2017-05-05
2767412,15574,532,7569742.36667,2017-05-06
2472584,16227,474,6800592.08333,2017-05-07
2259229,13917,506,6360486.95,2017-05-08
2154369,12162,434,6092847.78333,2017-05-09
2186259,12656,508,6169872.88333,2017-05-10
2154285,12647,469,6051781.75,2017-05-11
2145197,12953,432,5936218.71667,2017-05-12
2217389,13638,469,6056387.11667,2017-05-13
2109039,13943,466,5733478.13333,2017-05-14
2053217,11966,452,5772358.56667,2017-05-15
2025626,11977,404,5710300.96667,2017-05-16
2066317,12304,412,5837057.98333,2017-05-17
2134121,12392,437,5984344.01667,2017-05-18
2068005,12200,384,5712352.91667,2017-05-19
2167976,13611,427,5920937.01667,2017-05-20
1973598,13117,437,5467158.38333,2017-05-21
2056218,11278,399,5817789.68333,2017-05-22
