dailyViewcount,numShare,numSubscriber,watchTime,date
405693,5409,405,1232368.36667,2016-03-14
491847,3921,320,1312818.58333,2016-03-15
610149,4963,513,1670179.7,2016-03-16
456607,4038,385,1323172.55,2016-03-17
199085,1921,130,641532.2,2016-03-18
634460,5044,563,1757302.78333,2016-03-19
496922,4402,341,1393435.4,2016-03-20
406165,3256,194,1170078.6,2016-03-21
386244,3127,185,1139254.06667,2016-03-22
427036,3283,239,1276733.38333,2016-03-23
460481,3246,265,1377435.2,2016-03-24
551783,3087,303,1785460.8,2016-03-25
435875,2934,191,1368256.95,2016-03-26
361765,2597,160,1105710.71667,2016-03-27
354526,2772,141,1128371.05,2016-03-28
341011,2620,145,1111033.25,2016-03-29
350610,2417,164,1155832.88333,2016-03-30
366788,2452,150,1216999.53333,2016-03-31
457827,2529,192,1574158.35,2016-04-01
466030,2515,243,1567620.06667,2016-04-02
412932,2577,193,1396711.8,2016-04-03
426155,2663,211,1443065.75,2016-04-04
476134,2609,205,1647068.73333,2016-04-05
460358,2455,206,1594950.35,2016-04-06
435896,2319,192,1480684.48333,2016-04-07
551521,2524,218,1934798.51667,2016-04-08
599396,2416,242,2112306.08333,2016-04-09
580196,2495,228,2069314.53333,2016-04-10
364108,2230,167,1189609.3,2016-04-11
585541,2259,223,2110397.6,2016-04-12
613762,2268,267,2234132.91667,2016-04-13
590072,2182,251,2108299.6,2016-04-14
579731,2133,273,2033056.81667,2016-04-15
575515,2291,223,1980989.86667,2016-04-16
479103,2131,202,1653352.53333,2016-04-17
478093,1863,185,1703534.43333,2016-04-18
400402,1830,141,1392375.38333,2016-04-19
377780,1960,145,1313842.98333,2016-04-20
424661,2052,178,1475759.35,2016-04-21
519955,2004,194,1832447.51667,2016-04-22
532567,2030,185,1883227.75,2016-04-23
468566,2008,187,1650413.76667,2016-04-24
439227,1987,155,1554614.18333,2016-04-25
443715,2015,160,1560275.98333,2016-04-26
422833,1988,189,1489531.61667,2016-04-27
450490,2198,190,1595148.41667,2016-04-28
475510,2314,169,1669186.45,2016-04-29
426016,2410,136,1454072.5,2016-04-30
281982,2329,88,901616.766667,2016-05-01
259727,2162,100,835195.333333,2016-05-02
304465,2169,117,1031418.75,2016-05-03
516561,2444,155,1839551.33333,2016-05-04
518614,2436,177,1846574.28333,2016-05-05
437842,2219,117,1495122.4,2016-05-06
472783,2452,127,1594315.75,2016-05-07
417536,2389,107,1393005.9,2016-05-08
388223,2293,135,1313472.28333,2016-05-09
433151,2525,133,1467846.91667,2016-05-10
438139,2424,158,1499285.71667,2016-05-11
442702,2379,133,1504907.73333,2016-05-12
495980,2330,139,1689456.13333,2016-05-13
626698,2407,155,2176242.3,2016-05-14
565731,2423,132,1970338.36667,2016-05-15
508528,2244,147,1762430.63333,2016-05-16
447598,2118,108,1554035.9,2016-05-17
451086,2030,127,1566377.03333,2016-05-18
445244,2182,124,1543401.36667,2016-05-19
483055,2129,116,1664421.55,2016-05-20
493043,2084,116,1689970.3,2016-05-21
442003,2178,102,1509273.38333,2016-05-22
409873,2004,104,1417937.1,2016-05-23
423138,2102,108,1458691.0,2016-05-24
414973,2121,95,1420528.01667,2016-05-25
427165,2145,118,1463035.88333,2016-05-26
489467,2141,142,1699077.95,2016-05-27
482871,1988,115,1685964.75,2016-05-28
431156,1996,99,1483929.6,2016-05-29
368637,2029,95,1263463.88333,2016-05-30
332076,1871,116,1102174.71667,2016-05-31
355567,1916,90,1188278.71667,2016-06-01
415857,1957,101,1411034.55,2016-06-02
476835,1932,132,1619719.3,2016-06-03
494469,2027,114,1670348.11667,2016-06-04
437254,2076,123,1466649.48333,2016-06-05
405225,2004,90,1381059.13333,2016-06-06
395692,1939,105,1368020.51667,2016-06-07
391822,1887,77,1361727.3,2016-06-08
386496,1884,99,1327575.2,2016-06-09
414972,1832,95,1427756.81667,2016-06-10
