dailyViewcount,numShare,numSubscriber,watchTime,date
37,0,0,77.85,2013-05-29
4,0,0,5.93333333333,2013-05-30
2,0,0,0.216666666667,2013-05-31
7,0,0,19.6,2013-06-01
2,0,0,5.21666666667,2013-06-02
6,0,0,12.5666666667,2013-06-03
22,0,0,33.8333333333,2013-06-04
6,0,0,7.38333333333,2013-06-05
3,0,0,7.5,2013-06-06
3,0,0,3.16666666667,2013-06-07
2,0,0,4.63333333333,2013-06-08
9,0,0,11.25,2013-06-09
15,0,0,34.5,2013-06-10
11,0,0,40.9166666667,2013-06-11
12,0,0,19.55,2013-06-12
5,0,0,12.2666666667,2013-06-13
3,0,0,7.91666666667,2013-06-14
6,0,0,3.6,2013-06-15
2,0,0,1.85,2013-06-16
5,0,0,4.8,2013-06-17
4,0,0,0.55,2013-06-18
4,0,0,6.91666666667,2013-06-19
7,0,0,12.8,2013-06-20
3,0,0,6.25,2013-06-21
6,0,0,11.05,2013-06-22
15,1,0,34.95,2013-06-23
9,0,0,16.15,2013-06-24
6,0,0,9.93333333333,2013-06-25
3,0,0,5.35,2013-06-26
9,0,0,20.8166666667,2013-06-27
23,0,0,46.75,2013-06-28
14,0,0,24.75,2013-06-29
5,0,0,1.11666666667,2013-06-30
7,0,0,18.9166666667,2013-07-01
16,0,0,43.6833333333,2013-07-02
13,0,0,50.5333333333,2013-07-03
6,0,0,16.05,2013-07-04
4,0,0,8.5,2013-07-05
8,0,0,13.9666666667,2013-07-06
11,0,0,22.0,2013-07-07
5,0,0,7.01666666667,2013-07-08
13,0,0,32.8666666667,2013-07-09
15,0,0,23.95,2013-07-10
11,1,0,34.4333333333,2013-07-11
15,0,0,30.1333333333,2013-07-12
6,0,0,16.4833333333,2013-07-13
12,0,0,19.8,2013-07-14
25,0,0,41.9333333333,2013-07-15
30,0,0,92.0,2013-07-16
41,0,0,97.65,2013-07-17
37,0,0,76.5,2013-07-18
43,0,0,97.0166666667,2013-07-19
51,0,0,92.5,2013-07-20
31,0,0,65.35,2013-07-21
37,0,0,65.15,2013-07-22
28,0,0,64.2166666667,2013-07-23
46,0,0,115.0,2013-07-24
48,0,0,96.6166666667,2013-07-25
28,0,0,51.25,2013-07-26
29,0,0,115.083333333,2013-07-27
31,0,0,43.7666666667,2013-07-28
19,0,0,25.0,2013-07-29
30,0,0,54.4333333333,2013-07-30
45,0,0,106.983333333,2013-07-31
31,0,0,56.2666666667,2013-08-01
15,0,0,48.0,2013-08-02
33,0,0,64.5333333333,2013-08-03
26,0,0,49.6333333333,2013-08-04
18,0,0,57.65,2013-08-05
25,0,0,42.1333333333,2013-08-06
31,1,0,41.0666666667,2013-08-07
15,0,0,30.5166666667,2013-08-08
17,0,0,33.8166666667,2013-08-09
16,0,0,33.0,2013-08-10
15,1,0,20.8,2013-08-11
21,0,0,33.7833333333,2013-08-12
36,0,0,91.45,2013-08-13
31,0,0,65.45,2013-08-14
28,0,0,60.1833333333,2013-08-15
27,0,0,43.1166666667,2013-08-16
27,0,0,74.0,2013-08-17
17,0,0,37.85,2013-08-18
17,0,0,55.3333333333,2013-08-19
60,0,0,128.433333333,2013-08-20
31,0,0,88.7,2013-08-21
45,0,0,108.116666667,2013-08-22
35,0,0,105.083333333,2013-08-23
31,0,0,92.5666666667,2013-08-24
25,0,0,70.3166666667,2013-08-25
21,0,0,87.3666666667,2013-08-26
33,0,0,68.2666666667,2013-08-27
35,0,0,100.733333333,2013-08-28
22,0,0,50.3666666667,2013-08-29
44,0,0,92.0333333333,2013-08-30
31,0,0,103.766666667,2013-08-31
44,0,0,136.316666667,2013-09-01
43,0,0,90.5,2013-09-02
24,0,0,49.1,2013-09-03
21,0,0,51.1166666667,2013-09-04
22,0,0,51.5,2013-09-05
17,0,0,32.1,2013-09-06
38,0,0,81.5166666667,2013-09-07
34,0,0,61.2666666667,2013-09-08
31,0,0,68.8833333333,2013-09-09
28,0,0,49.85,2013-09-10
30,0,0,60.4166666667,2013-09-11
25,0,0,47.0666666667,2013-09-12
23,0,0,55.2,2013-09-13
58,0,0,159.433333333,2013-09-14
41,0,0,91.1666666667,2013-09-15
30,0,0,50.4,2013-09-16
24,0,0,62.4833333333,2013-09-17
37,0,0,106.95,2013-09-18
26,0,0,69.1166666667,2013-09-19
22,0,0,54.0333333333,2013-09-20
26,0,0,51.0833333333,2013-09-21
43,0,0,72.4166666667,2013-09-22
21,0,0,58.6,2013-09-23
27,0,0,74.8666666667,2013-09-24
