dailyViewcount,numShare,numSubscriber,watchTime,date
4079510,56692,7137,14525130.0667,2013-12-17
4703043,28059,3828,15496993.5667,2013-12-18
3762476,20022,3384,12558190.2167,2013-12-19
3026612,16352,2748,10246879.9667,2013-12-20
2792926,14395,2369,9512457.55,2013-12-21
2477751,12393,2146,8326130.43333,2013-12-22
2246162,11176,1885,7709925.43333,2013-12-23
1976654,7328,1510,6584323.95,2013-12-24
1756265,5655,1279,5608133.15,2013-12-25
1793214,7524,1481,6009566.45,2013-12-26
1756557,7614,1432,5993828.58333,2013-12-27
1689884,7196,1447,5731273.36667,2013-12-28
1484747,6395,1274,5033809.66667,2013-12-29
1478989,6235,1334,5099742.66667,2013-12-30
1557965,4432,1108,5266102.16667,2013-12-31
1172747,4304,924,3978280.71667,2014-01-01
1355090,5784,1235,4691759.5,2014-01-02
1310277,5938,1188,4574135.31667,2014-01-03
1236136,5295,1127,4355413.45,2014-01-04
1115201,5137,1038,3982735.6,2014-01-05
1120578,5232,1121,4018526.9,2014-01-06
1113711,5013,1142,3968955.43333,2014-01-07
1223121,5390,1187,4253854.33333,2014-01-08
1302452,5666,1223,4504120.08333,2014-01-09
1356435,5628,1246,4655457.33333,2014-01-10
1399756,5373,1230,4816200.2,2014-01-11
1264721,5210,1068,4342407.61667,2014-01-12
1191955,5131,1063,4193554.06667,2014-01-13
1211379,4811,1007,4240088.86667,2014-01-14
1215802,4881,958,4263187.23333,2014-01-15
1232245,4816,958,4338078.65,2014-01-16
1297723,5200,1023,4532644.23333,2014-01-17
1480418,5483,1376,5139328.23333,2014-01-18
1255770,4902,1150,4395790.11667,2014-01-19
1132074,4834,1005,4023481.06667,2014-01-20
1119038,4804,1064,3991182.33333,2014-01-21
1112055,4755,1011,3974844.9,2014-01-22
1114617,4720,990,3995977.98333,2014-01-23
1148356,4744,959,4092145.75,2014-01-24
1248440,4624,1046,4369445.88333,2014-01-25
1026368,4318,882,3629825.75,2014-01-26
953257,4240,837,3421058.78333,2014-01-27
991390,4294,863,3545466.9,2014-01-28
1013464,4198,808,3619633.43333,2014-01-29
1025816,4128,869,3650873.08333,2014-01-30
1223876,4674,954,4297664.21667,2014-01-31
1322679,4650,1047,4584429.63333,2014-02-01
1576449,5395,1188,5396288.15,2014-02-02
1359101,4779,1156,4793055.26667,2014-02-03
1228039,4459,1071,4367138.13333,2014-02-04
1121263,4045,1004,3997688.9,2014-02-05
1149967,4079,1058,4087130.48333,2014-02-06
1195083,4167,1138,4200166.48333,2014-02-07
1300876,4220,1085,4525019.65,2014-02-08
1098602,3914,910,3848480.25,2014-02-09
966566,3594,794,3483421.41667,2014-02-10
970096,3305,734,3474340.88333,2014-02-11
1036295,3237,797,3660870.43333,2014-02-12
1024135,3170,773,3619110.13333,2014-02-13
1074879,2904,847,3747805.71667,2014-02-14
1169530,3447,929,4023871.83333,2014-02-15
1029511,3181,811,3554355.46667,2014-02-16
922898,2782,764,3229961.36667,2014-02-17
923500,2883,755,3255985.88333,2014-02-18
933166,3216,723,3285342.55,2014-02-19
937596,2930,753,3290288.93333,2014-02-20
1045677,3092,807,3640764.7,2014-02-21
1004857,3052,757,3482551.35,2014-02-22
847025,2736,643,2950867.41667,2014-02-23
786936,2695,607,2797868.21667,2014-02-24
813651,2571,616,2888192.03333,2014-02-25
846035,2563,687,2991390.15,2014-02-26
876803,2084,715,3088988.45,2014-02-27
981196,2759,799,3417453.0,2014-02-28
1151043,2933,891,3961019.71667,2014-03-01
981500,2589,729,3393146.7,2014-03-02
898765,2522,690,3162727.88333,2014-03-03
884276,2531,653,3114867.11667,2014-03-04
863436,2369,627,3060577.13333,2014-03-05
874122,2510,647,3094075.4,2014-03-06
968022,2580,748,3368336.1,2014-03-07
1045785,2677,817,3606722.48333,2014-03-08
883589,2454,664,3053559.68333,2014-03-09
812669,2139,620,2869433.48333,2014-03-10
792474,2184,634,2781184.91667,2014-03-11
778135,1998,568,2727145.81667,2014-03-12
798418,2076,567,2805565.6,2014-03-13
847521,2256,669,2950511.78333,2014-03-14
968809,2319,713,3326599.43333,2014-03-15
841567,2197,627,2892088.1,2014-03-16
826952,2153,635,2895895.9,2014-03-17
854273,2120,667,2977045.28333,2014-03-18
874736,2337,678,3046954.65,2014-03-19
752071,1945,579,2636892.28333,2014-03-20
794003,2004,623,2726855.35,2014-03-21
921355,2220,668,3146354.4,2014-03-22
782841,2040,554,2691326.1,2014-03-23
692558,1782,530,2434160.58333,2014-03-24
693620,1819,538,2433343.35,2014-03-25
703520,1779,540,2465336.4,2014-03-26
682792,1793,543,2391303.46667,2014-03-27
727963,1875,579,2519084.95,2014-03-28
771735,1796,579,2659741.55,2014-03-29
660377,1609,474,2272221.45,2014-03-30
580616,1538,413,2050944.26667,2014-03-31
578797,1450,421,2030806.11667,2014-04-01
606380,1427,476,2117176.01667,2014-04-02
658600,1548,471,2296874.26667,2014-04-03
729756,1641,502,2513790.55,2014-04-04
778085,1747,582,2662415.71667,2014-04-05
667515,1551,494,2285267.86667,2014-04-06
597910,1421,420,2073032.25,2014-04-07
600696,1468,395,2096216.15,2014-04-08
614327,1534,476,2144100.36667,2014-04-09
586982,1370,431,2040907.83333,2014-04-10
685961,1577,486,2367152.03333,2014-04-11
745677,1385,538,2541454.81667,2014-04-12
