dailyViewcount,numShare,numSubscriber,watchTime,date
112679,1530,88,507367.516667,2015-11-10
140907,1227,127,620904.366667,2015-11-11
112940,815,59,505324.183333,2015-11-12
147006,830,124,630720.65,2015-11-13
132270,649,90,567211.366667,2015-11-14
91891,502,42,388420.916667,2015-11-15
89907,462,42,377999.3,2015-11-16
83236,389,42,346633.5,2015-11-17
77652,365,29,323109.9,2015-11-18
79439,413,34,326415.733333,2015-11-19
99315,412,41,393982.283333,2015-11-20
100035,461,28,390798.233333,2015-11-21
84996,408,30,332829.233333,2015-11-22
84614,413,45,334101.716667,2015-11-23
82109,381,38,326200.683333,2015-11-24
82041,354,28,325721.066667,2015-11-25
87825,330,29,336482.55,2015-11-26
81874,333,29,314112.283333,2015-11-27
81459,333,25,311629.4,2015-11-28
72254,322,31,276425.7,2015-11-29
73432,312,28,285643.7,2015-11-30
75697,377,29,293108.933333,2015-12-01
67690,297,19,265348.9,2015-12-02
72680,295,17,282883.35,2015-12-03
80592,310,34,311327.866667,2015-12-04
82115,299,14,314752.6,2015-12-05
68629,315,21,264174.116667,2015-12-06
67958,304,28,262441.533333,2015-12-07
66788,275,18,259328.416667,2015-12-08
68403,296,24,262442.016667,2015-12-09
69927,295,18,266721.05,2015-12-10
77538,280,20,295332.883333,2015-12-11
75372,291,15,286760.516667,2015-12-12
63107,232,16,238903.433333,2015-12-13
63296,275,19,237854.233333,2015-12-14
64398,287,23,244097.133333,2015-12-15
64418,274,22,244712.933333,2015-12-16
63343,251,23,242273.816667,2015-12-17
71118,242,20,269380.933333,2015-12-18
69538,290,19,265113.266667,2015-12-19
62855,289,15,237095.75,2015-12-20
60690,255,12,231544.7,2015-12-21
64145,269,21,244007.55,2015-12-22
67446,270,13,254949.083333,2015-12-23
71314,258,25,272536.55,2015-12-24
70521,307,10,259101.166667,2015-12-25
63580,260,9,238956.5,2015-12-26
56376,243,15,211192.216667,2015-12-27
55717,229,10,211256.733333,2015-12-28
57507,243,15,217613.916667,2015-12-29
57692,305,10,219673.683333,2015-12-30
76888,252,14,293350.3,2015-12-31
64507,227,12,237426.216667,2016-01-01
67454,273,22,251067.6,2016-01-02
51944,270,13,194989.366667,2016-01-03
51702,251,16,195437.183333,2016-01-04
52847,287,15,201617.683333,2016-01-05
52850,235,10,200142.35,2016-01-06
55576,264,12,209956.866667,2016-01-07
61664,278,13,233967.3,2016-01-08
61311,282,9,231649.666667,2016-01-09
48456,261,12,183188.466667,2016-01-10
47425,246,10,179029.433333,2016-01-11
48539,250,14,182163.616667,2016-01-12
50865,256,8,190918.85,2016-01-13
53750,274,16,200124.083333,2016-01-14
60419,219,12,225852.7,2016-01-15
62793,243,14,231205.383333,2016-01-16
51619,255,11,190216.083333,2016-01-17
47074,222,15,174775.516667,2016-01-18
44092,227,10,165450.7,2016-01-19
44677,197,15,165893.116667,2016-01-20
46370,198,7,171389.166667,2016-01-21
52771,218,20,198563.766667,2016-01-22
53707,221,20,199404.2,2016-01-23
43034,220,10,157095.316667,2016-01-24
44182,225,6,163234.133333,2016-01-25
47964,221,13,177841.166667,2016-01-26
46379,270,13,171695.2,2016-01-27
47551,230,14,177619.616667,2016-01-28
55938,274,12,209528.25,2016-01-29
57319,271,16,213647.5,2016-01-30
45692,226,8,168906.6,2016-01-31
43174,192,10,159678.083333,2016-02-01
44237,231,12,165089.533333,2016-02-02
45339,240,8,167625.716667,2016-02-03
44365,221,9,167548.75,2016-02-04
51413,270,9,190035.4,2016-02-05
52005,268,7,191678.75,2016-02-06
41397,223,9,151926.0,2016-02-07
39048,215,10,142816.516667,2016-02-08
40485,207,12,149505.716667,2016-02-09
41166,225,11,153175.45,2016-02-10
42943,226,11,159704.516667,2016-02-11
49273,224,9,181482.283333,2016-02-12
52065,270,12,191333.566667,2016-02-13
45351,228,9,165580.466667,2016-02-14
44570,201,10,163456.733333,2016-02-15
42259,244,13,155254.65,2016-02-16
43732,218,15,158528.566667,2016-02-17
44732,231,9,162750.3,2016-02-18
52195,234,7,187940.95,2016-02-19
55841,254,10,198673.616667,2016-02-20
46788,287,7,166712.316667,2016-02-21
46102,287,9,163180.033333,2016-02-22
47774,277,10,170337.8,2016-02-23
51143,266,13,180851.85,2016-02-24
51882,281,9,183815.416667,2016-02-25
59862,254,15,210742.25,2016-02-26
61710,281,15,216540.333333,2016-02-27
49199,250,9,172585.283333,2016-02-28
44929,252,11,159691.85,2016-02-29
46864,235,19,164558.05,2016-03-01
48264,293,13,170810.466667,2016-03-02
51560,282,7,182875.4,2016-03-03
61466,279,13,215414.9,2016-03-04
68224,297,10,235530.65,2016-03-05
53068,270,10,184496.616667,2016-03-06
47440,240,17,165257.383333,2016-03-07
49281,271,12,170298.4,2016-03-08
52510,296,12,180143.166667,2016-03-09
52316,260,17,182548.4,2016-03-10
59528,280,18,206426.133333,2016-03-11
65093,324,18,223856.433333,2016-03-12
50597,268,10,173870.266667,2016-03-13
48288,247,10,167616.116667,2016-03-14
61362,333,16,214772.183333,2016-03-15
75375,318,18,268116.383333,2016-03-16
82043,380,26,296137.7,2016-03-17
89436,357,17,319553.183333,2016-03-18
94880,458,15,334125.816667,2016-03-19
82031,408,15,290163.2,2016-03-20
82209,357,18,292073.25,2016-03-21
96388,372,22,367135.266667,2016-03-22
115191,395,28,441287.0,2016-03-23
133955,393,30,512028.9,2016-03-24
150021,432,33,579091.866667,2016-03-25
136619,415,21,522369.166667,2016-03-26
123995,360,20,480794.783333,2016-03-27
121039,411,31,475021.35,2016-03-28
121044,372,21,489296.866667,2016-03-29
125349,341,30,514686.133333,2016-03-30
122669,361,17,496525.733333,2016-03-31
155657,478,19,618262.716667,2016-04-01
149504,444,23,589086.883333,2016-04-02
113884,396,20,437970.3,2016-04-03
112882,395,22,443723.35,2016-04-04
119686,376,12,484102.616667,2016-04-05
125871,373,20,516378.233333,2016-04-06
126783,384,22,523917.783333,2016-04-07
140935,396,9,574100.383333,2016-04-08
152693,435,19,634839.633333,2016-04-09
115169,393,12,463057.566667,2016-04-10
106170,402,17,419662.883333,2016-04-11
112775,397,22,464346.883333,2016-04-12
108471,316,18,447907.183333,2016-04-13
104450,330,17,415392.45,2016-04-14
117277,305,15,457567.366667,2016-04-15
