dailyViewcount,numShare,numSubscriber,watchTime,date
134294,472,55,242406.05,2017-04-17
64198,209,23,107897.366667,2017-04-18
39197,112,11,66429.1166667,2017-04-19
34502,101,13,59750.45,2017-04-20
31920,96,10,55682.4166667,2017-04-21
25409,67,8,44998.0166667,2017-04-22
16571,37,3,29417.25,2017-04-23
11434,22,4,19994.8833333,2017-04-24
11343,31,2,19928.4833333,2017-04-25
12205,33,1,21341.7,2017-04-26
12115,26,3,21652.0166667,2017-04-27
11930,24,3,21195.65,2017-04-28
14278,39,1,24922.25,2017-04-29
15908,31,1,27018.1,2017-04-30
12885,26,3,22193.9833333,2017-05-01
12063,36,1,21033.0666667,2017-05-02
18440,45,5,32247.7666667,2017-05-03
26788,53,9,46566.8166667,2017-05-04
23640,52,7,41121.3333333,2017-05-05
22607,35,6,38684.3,2017-05-06
22886,40,4,38535.95,2017-05-07
20863,34,6,35582.8833333,2017-05-08
17325,18,2,29275.75,2017-05-09
17007,36,5,29131.6666667,2017-05-10
16411,30,1,27405.3333333,2017-05-11
17565,39,5,28947.3333333,2017-05-12
17966,27,3,30016.8,2017-05-13
18034,26,0,29089.5,2017-05-14
18682,33,6,30787.8833333,2017-05-15
20065,34,2,33244.95,2017-05-16
18543,38,3,30233.85,2017-05-17
18824,40,2,30475.6166667,2017-05-18
19462,28,5,31452.95,2017-05-19
20250,30,3,31881.9333333,2017-05-20
18177,30,5,28448.8333333,2017-05-21
22506,35,5,34560.7,2017-05-22
