dailyViewcount,numShare,numSubscriber,watchTime,date
8360,139,0,15992.9333333,2017-02-22
9958,101,6,24445.7666667,2017-02-23
6107,56,7,17509.4,2017-02-24
5650,35,3,15598.75,2017-02-25
4751,32,2,14099.5833333,2017-02-26
4265,39,7,13073.3833333,2017-02-27
3893,23,4,12712.9833333,2017-02-28
4332,27,4,14400.1166667,2017-03-01
6701,33,2,23178.1333333,2017-03-02
6326,34,3,21942.0666667,2017-03-03
5565,33,7,18605.95,2017-03-04
5686,43,7,19722.3166667,2017-03-05
5615,29,5,19029.7,2017-03-06
4585,31,4,15654.5833333,2017-03-07
3928,33,4,13263.6333333,2017-03-08
4662,31,3,16298.45,2017-03-09
4183,23,1,14126.4666667,2017-03-10
4208,36,3,14047.55,2017-03-11
4303,32,3,14379.8833333,2017-03-12
4087,47,1,13432.7,2017-03-13
3961,25,2,12878.95,2017-03-14
3986,29,1,13080.5666667,2017-03-15
3983,21,2,12995.1,2017-03-16
3946,24,4,13084.95,2017-03-17
3984,39,3,13289.7,2017-03-18
3694,28,3,12050.15,2017-03-19
3886,26,0,12792.0666667,2017-03-20
3706,26,1,11971.6166667,2017-03-21
3989,27,0,13328.0166667,2017-03-22
4306,29,2,14649.1833333,2017-03-23
4109,13,1,14213.5166667,2017-03-24
4324,38,1,14531.6833333,2017-03-25
3793,28,1,12533.8166667,2017-03-26
3971,32,0,13141.9166667,2017-03-27
4018,38,2,13730.8,2017-03-28
4239,36,2,13820.85,2017-03-29
4357,23,1,14455.6166667,2017-03-30
4066,27,2,13409.9333333,2017-03-31
3914,31,2,12698.25,2017-04-01
3847,21,4,12606.9833333,2017-04-02
4184,34,3,13563.4166667,2017-04-03
4375,38,1,14181.8333333,2017-04-04
4136,29,2,13570.1333333,2017-04-05
4151,27,1,13321.5333333,2017-04-06
4079,23,2,13743.95,2017-04-07
3782,33,1,11950.1666667,2017-04-08
3672,17,0,11448.6833333,2017-04-09
3727,19,2,12070.0666667,2017-04-10
3868,26,5,12605.0833333,2017-04-11
2921,27,2,9506.86666667,2017-04-12
3316,20,2,11061.9666667,2017-04-13
3117,32,0,9750.4,2017-04-14
2895,23,3,9018.48333333,2017-04-15
2826,27,1,9120.85,2017-04-16
3064,23,3,9719.91666667,2017-04-17
3098,26,3,9695.45,2017-04-18
3336,18,1,11269.4833333,2017-04-19
3431,21,2,11988.1666667,2017-04-20
3338,25,5,10458.0833333,2017-04-21
2972,20,1,9456.0,2017-04-22
2894,20,1,8888.9,2017-04-23
3149,20,2,10374.0166667,2017-04-24
3099,23,1,10349.7833333,2017-04-25
3308,35,2,10966.9666667,2017-04-26
2594,24,0,8449.08333333,2017-04-27
2861,16,1,9586.88333333,2017-04-28
2919,26,1,9534.01666667,2017-04-29
3413,29,3,10692.3166667,2017-04-30
3580,18,5,12365.8,2017-05-01
3316,20,1,11376.5166667,2017-05-02
2635,16,3,8423.33333333,2017-05-03
2951,23,0,9502.88333333,2017-05-04
2491,22,1,8178.61666667,2017-05-05
2798,11,1,9004.88333333,2017-05-06
2765,22,1,8893.26666667,2017-05-07
2931,20,0,9591.78333333,2017-05-08
2949,15,2,9875.16666667,2017-05-09
2536,28,1,7906.58333333,2017-05-10
2284,12,0,7141.83333333,2017-05-11
2479,17,3,8366.45,2017-05-12
2658,13,1,8465.18333333,2017-05-13
2282,13,1,7360.36666667,2017-05-14
2397,12,1,7747.86666667,2017-05-15
2189,16,0,7066.21666667,2017-05-16
2131,12,0,7089.31666667,2017-05-17
2545,18,1,8751.78333333,2017-05-18
2637,17,1,8692.86666667,2017-05-19
2239,13,2,7225.41666667,2017-05-20
2519,14,3,8076.91666667,2017-05-21
2527,28,0,8024.2,2017-05-22
