dailyViewcount,numShare,numSubscriber,watchTime,date
563,18,0,1614.88333333,2015-09-05
1019,9,1,3149.8,2015-09-06
1282,18,1,3449.6,2015-09-07
2818,42,0,8786.23333333,2015-09-08
5619,44,2,17686.4333333,2015-09-09
9124,64,1,29513.7333333,2015-09-10
8890,48,1,31064.2,2015-09-11
7806,40,0,26686.4833333,2015-09-12
11572,74,2,39088.5833333,2015-09-13
12788,55,0,43995.9833333,2015-09-14
8587,37,4,30537.4,2015-09-15
8697,50,0,31024.3833333,2015-09-16
8305,35,1,29534.05,2015-09-17
8185,25,0,29235.25,2015-09-18
7136,33,2,25846.2,2015-09-19
6525,28,2,22374.1833333,2015-09-20
6639,33,0,23740.9666667,2015-09-21
6176,34,3,22924.0833333,2015-09-22
5838,38,0,21703.2,2015-09-23
5619,17,1,20778.4,2015-09-24
5337,15,0,19730.3166667,2015-09-25
5164,16,0,18285.6333333,2015-09-26
4840,29,0,17471.05,2015-09-27
5304,25,1,18877.1666667,2015-09-28
5266,26,1,19627.2333333,2015-09-29
5377,20,1,20107.9166667,2015-09-30
4983,24,1,18528.7,2015-10-01
4783,20,0,17347.5333333,2015-10-02
4713,28,0,16550.4166667,2015-10-03
4695,23,3,16494.45,2015-10-04
4940,19,1,17850.45,2015-10-05
4808,21,2,17309.5833333,2015-10-06
4756,17,0,17403.8333333,2015-10-07
5240,16,1,19116.1666667,2015-10-08
5018,14,1,18093.9,2015-10-09
5102,15,0,17794.8833333,2015-10-10
4565,18,1,16105.0833333,2015-10-11
4899,23,2,17527.4166667,2015-10-12
5280,15,0,18051.7166667,2015-10-13
5541,18,0,18822.85,2015-10-14
5284,22,0,19000.9666667,2015-10-15
5205,14,0,18745.4833333,2015-10-16
5082,16,0,17450.2166667,2015-10-17
4595,17,1,16152.5833333,2015-10-18
5388,19,0,19691.9833333,2015-10-19
5107,12,0,18959.8666667,2015-10-20
4750,17,1,17432.5833333,2015-10-21
4704,14,0,17179.2166667,2015-10-22
4736,8,2,16902.75,2015-10-23
4520,17,0,16019.6833333,2015-10-24
4329,8,0,15245.4,2015-10-25
4820,14,0,17299.7333333,2015-10-26
4329,13,0,15596.0666667,2015-10-27
4307,5,1,15293.4833333,2015-10-28
4652,14,0,16817.7,2015-10-29
4832,17,0,17318.8833333,2015-10-30
4418,7,0,15469.3,2015-10-31
4364,12,0,15768.9666667,2015-11-01
4397,15,0,16412.55,2015-11-02
4191,7,1,15517.65,2015-11-03
4134,9,0,14746.7333333,2015-11-04
4296,11,0,15805.6,2015-11-05
4065,7,2,14917.75,2015-11-06
3851,20,0,13526.2666667,2015-11-07
3545,9,0,12560.8166667,2015-11-08
3704,9,2,13568.3,2015-11-09
3715,12,0,13832.1166667,2015-11-10
3896,12,0,14172.6333333,2015-11-11
3866,13,0,14117.9,2015-11-12
3846,10,1,13810.35,2015-11-13
3973,16,1,13412.7333333,2015-11-14
3447,11,1,12081.1333333,2015-11-15
3695,10,1,12938.5833333,2015-11-16
4074,13,1,14632.8666667,2015-11-17
4225,9,0,15245.3,2015-11-18
4236,15,0,15455.3333333,2015-11-19
4173,7,0,14824.0333333,2015-11-20
3996,12,0,14182.85,2015-11-21
3970,12,0,13864.9666667,2015-11-22
4373,20,1,15451.8,2015-11-23
4293,15,1,15246.8333333,2015-11-24
4670,15,0,16602.95,2015-11-25
4115,13,0,14567.6333333,2015-11-26
3677,3,0,12811.5833333,2015-11-27
3527,7,0,12390.9333333,2015-11-28
3372,5,0,12161.1,2015-11-29
3584,9,0,12646.9833333,2015-11-30
3490,8,0,12432.85,2015-12-01
3567,14,0,12890.6666667,2015-12-02
3666,9,0,13673.8833333,2015-12-03
3661,12,0,13254.2333333,2015-12-04
3325,5,1,11909.65,2015-12-05
3244,12,0,11895.6166667,2015-12-06
3463,11,0,12445.1,2015-12-07
3681,5,0,13611.3833333,2015-12-08
3726,12,1,13552.1166667,2015-12-09
3692,3,0,13245.2833333,2015-12-10
3371,4,1,12195.9166667,2015-12-11
2981,6,1,10722.9666667,2015-12-12
2948,5,0,10391.2833333,2015-12-13
3271,8,0,11683.0166667,2015-12-14
3200,9,0,11475.9,2015-12-15
3147,9,0,11464.3666667,2015-12-16
3273,12,1,12138.55,2015-12-17
3337,10,1,11965.9,2015-12-18
3032,6,0,10802.3,2015-12-19
2619,5,0,9531.05,2015-12-20
2799,7,0,10263.9166667,2015-12-21
3070,2,0,11013.3,2015-12-22
3021,7,0,10663.6666667,2015-12-23
3019,4,0,10692.95,2015-12-24
2365,7,0,8035.85,2015-12-25
2489,9,0,8564.45,2015-12-26
2305,8,0,8177.81666667,2015-12-27
2447,8,0,8515.66666667,2015-12-28
2736,9,0,9434.0,2015-12-29
2729,7,0,9242.93333333,2015-12-30
2961,11,0,10200.3,2015-12-31
2427,2,0,8096.63333333,2016-01-01
2491,12,1,8241.08333333,2016-01-02
2377,5,0,7919.78333333,2016-01-03
2600,5,0,8580.0,2016-01-04
2344,8,0,7914.31666667,2016-01-05
2497,7,0,8319.53333333,2016-01-06
2495,10,0,8496.46666667,2016-01-07
2643,8,1,9056.61666667,2016-01-08
2530,5,1,8440.4,2016-01-09
2388,10,0,8202.56666667,2016-01-10
2523,11,0,8187.96666667,2016-01-11
2442,6,0,8246.56666667,2016-01-12
2622,9,1,9208.8,2016-01-13
2479,12,0,8523.36666667,2016-01-14
2605,7,0,9084.53333333,2016-01-15
2485,11,0,8335.9,2016-01-16
2090,6,0,6857.65,2016-01-17
2026,8,0,6650.76666667,2016-01-18
2005,8,0,6895.46666667,2016-01-19
2032,7,0,7243.96666667,2016-01-20
2186,6,1,7437.75,2016-01-21
2265,8,0,7687.45,2016-01-22
2205,8,0,7261.01666667,2016-01-23
2031,5,0,6850.08333333,2016-01-24
2404,6,0,8421.8,2016-01-25
2292,4,0,7932.1,2016-01-26
2348,8,1,8003.78333333,2016-01-27
2194,6,0,7496.1,2016-01-28
2291,3,0,7637.45,2016-01-29
2109,11,1,7213.2,2016-01-30
1941,14,0,6461.78333333,2016-01-31
