dailyViewcount,numShare,numSubscriber,watchTime,date
130839,1012,175,300506.05,2016-12-10
100247,931,105,210667.433333,2016-12-11
152676,1029,104,278341.35,2016-12-12
135032,975,76,260048.433333,2016-12-13
171004,1184,148,363619.866667,2016-12-14
167270,1198,135,351454.3,2016-12-15
158448,971,84,339247.916667,2016-12-16
203080,1175,97,438207.483333,2016-12-17
156368,916,69,335068.05,2016-12-18
163948,980,77,363080.616667,2016-12-19
183090,1016,109,407446.85,2016-12-20
194469,1015,100,436602.8,2016-12-21
198854,1028,78,451444.316667,2016-12-22
215758,1000,71,498643.216667,2016-12-23
212134,917,54,503584.616667,2016-12-24
211875,974,45,494890.133333,2016-12-25
201657,1071,70,467679.75,2016-12-26
238318,1085,82,550339.133333,2016-12-27
219433,952,81,518801.566667,2016-12-28
224669,1016,80,534134.05,2016-12-29
239364,1057,70,585872.3,2016-12-30
283558,884,49,714095.85,2016-12-31
200035,855,54,475108.066667,2017-01-01
219293,1021,81,513840.433333,2017-01-02
215799,1005,83,506255.55,2017-01-03
