dailyViewcount,numShare,numSubscriber,watchTime,date
612,13,1,1565.81666667,2017-04-07
1782,23,0,4939.76666667,2017-04-08
2333,33,1,6607.63333333,2017-04-09
2280,29,2,6304.91666667,2017-04-10
2961,47,1,8380.06666667,2017-04-11
3483,25,0,10117.8166667,2017-04-12
4114,30,0,12013.1166667,2017-04-13
4170,36,1,12064.5833333,2017-04-14
11193,89,0,35511.1333333,2017-04-15
24083,184,2,81001.0833333,2017-04-16
23672,165,1,79116.2666667,2017-04-17
22839,147,0,75382.4666667,2017-04-18
22962,119,2,74550.0833333,2017-04-19
28932,234,1,92497.3666667,2017-04-20
31846,166,1,100241.45,2017-04-21
36100,204,0,108304.033333,2017-04-22
33765,224,1,102215.9,2017-04-23
35096,286,4,109280.716667,2017-04-24
36278,272,2,114068.566667,2017-04-25
36635,249,1,115251.933333,2017-04-26
37284,212,2,116249.0,2017-04-27
41112,223,0,126649.433333,2017-04-28
38246,172,0,116452.35,2017-04-29
30483,190,1,89352.7833333,2017-04-30
30634,163,2,92671.6333333,2017-05-01
31848,139,2,97196.85,2017-05-02
32294,149,0,98064.3833333,2017-05-03
30731,131,1,93516.1,2017-05-04
36896,194,2,113228.666667,2017-05-05
35178,180,0,107398.983333,2017-05-06
29353,158,1,87138.5666667,2017-05-07
29642,163,3,91276.0166667,2017-05-08
30603,164,1,93101.4833333,2017-05-09
33072,153,1,101345.833333,2017-05-10
34344,132,4,106755.116667,2017-05-11
39715,149,1,123429.95,2017-05-12
38897,173,1,120438.55,2017-05-13
35191,154,2,108906.9,2017-05-14
33785,164,6,105311.05,2017-05-15
36489,171,0,111561.45,2017-05-16
36936,161,2,112161.8,2017-05-17
37117,178,1,110577.983333,2017-05-18
41912,192,2,124942.266667,2017-05-19
43882,186,2,128258.7,2017-05-20
37772,315,2,110004.45,2017-05-21
41452,283,4,121399.3,2017-05-22
